target,target_week,target_year,location,type,quantile,value
1 wk ahead,11,2022,BW,point,NA,2879
1 wk ahead,11,2022,BW,quantile,0.025,2602
1 wk ahead,11,2022,BW,quantile,0.25,2747
1 wk ahead,11,2022,BW,quantile,0.5,2879
1 wk ahead,11,2022,BW,quantile,0.75,2985
1 wk ahead,11,2022,BW,quantile,0.975,3263
2 wk ahead,12,2022,BW,point,NA,2322
2 wk ahead,12,2022,BW,quantile,0.025,1596
2 wk ahead,12,2022,BW,quantile,0.25,2074
2 wk ahead,12,2022,BW,quantile,0.5,2322
2 wk ahead,12,2022,BW,quantile,0.75,2542
2 wk ahead,12,2022,BW,quantile,0.975,3249
,,,,,,
1 wk ahead,11,2022,BY,point,NA,6999
1 wk ahead,11,2022,BY,quantile,0.025,6586
1 wk ahead,11,2022,BY,quantile,0.25,6854
1 wk ahead,11,2022,BY,quantile,0.5,6999
1 wk ahead,11,2022,BY,quantile,0.75,7237
1 wk ahead,11,2022,BY,quantile,0.975,7669
2 wk ahead,12,2022,BY,point,NA,7339
2 wk ahead,12,2022,BY,quantile,0.025,3407
2 wk ahead,12,2022,BY,quantile,0.25,6201
2 wk ahead,12,2022,BY,quantile,0.5,7339
2 wk ahead,12,2022,BY,quantile,0.75,8438
2 wk ahead,12,2022,BY,quantile,0.975,10577
,,,,,,
1 wk ahead,11,2022,BE,point,NA,-
1 wk ahead,11,2022,BE,quantile,0.025,-
1 wk ahead,11,2022,BE,quantile,0.25,-
1 wk ahead,11,2022,BE,quantile,0.5,-
1 wk ahead,11,2022,BE,quantile,0.75,-
1 wk ahead,11,2022,BE,quantile,0.975,-
2 wk ahead,12,2022,BE,point,NA,-
2 wk ahead,12,2022,BE,quantile,0.025,-
2 wk ahead,12,2022,BE,quantile,0.25,-
2 wk ahead,12,2022,BE,quantile,0.5,-
2 wk ahead,12,2022,BE,quantile,0.75,-
2 wk ahead,12,2022,BE,quantile,0.975,-
,,,,,,
1 wk ahead,11,2022,BB,point,NA,1038
1 wk ahead,11,2022,BB,quantile,0.025,915
1 wk ahead,11,2022,BB,quantile,0.25,976
1 wk ahead,11,2022,BB,quantile,0.5,1038
1 wk ahead,11,2022,BB,quantile,0.75,1095
1 wk ahead,11,2022,BB,quantile,0.975,1213
2 wk ahead,12,2022,BB,point,NA,1109
2 wk ahead,12,2022,BB,quantile,0.025,624
2 wk ahead,12,2022,BB,quantile,0.25,982
2 wk ahead,12,2022,BB,quantile,0.5,1109
2 wk ahead,12,2022,BB,quantile,0.75,1252
2 wk ahead,12,2022,BB,quantile,0.975,1569
,,,,,,
1 wk ahead,11,2022,HB,point,NA,44
1 wk ahead,11,2022,HB,quantile,0.025,29
1 wk ahead,11,2022,HB,quantile,0.25,36
1 wk ahead,11,2022,HB,quantile,0.5,44
1 wk ahead,11,2022,HB,quantile,0.75,50
1 wk ahead,11,2022,HB,quantile,0.975,60
2 wk ahead,12,2022,HB,point,NA,57
2 wk ahead,12,2022,HB,quantile,0.025,21
2 wk ahead,12,2022,HB,quantile,0.25,41
2 wk ahead,12,2022,HB,quantile,0.5,57
2 wk ahead,12,2022,HB,quantile,0.75,67
2 wk ahead,12,2022,HB,quantile,0.975,94
,,,,,,
1 wk ahead,11,2022,HH,point,NA,-
1 wk ahead,11,2022,HH,quantile,0.025,-
1 wk ahead,11,2022,HH,quantile,0.25,-
1 wk ahead,11,2022,HH,quantile,0.5,-
1 wk ahead,11,2022,HH,quantile,0.75,-
1 wk ahead,11,2022,HH,quantile,0.975,-
2 wk ahead,12,2022,HH,point,NA,-
2 wk ahead,12,2022,HH,quantile,0.025,-
2 wk ahead,12,2022,HH,quantile,0.25,-
2 wk ahead,12,2022,HH,quantile,0.5,-
2 wk ahead,12,2022,HH,quantile,0.75,-
2 wk ahead,12,2022,HH,quantile,0.975,-
,,,,,,
1 wk ahead,11,2022,HE,point,NA,929
1 wk ahead,11,2022,HE,quantile,0.025,818
1 wk ahead,11,2022,HE,quantile,0.25,857
1 wk ahead,11,2022,HE,quantile,0.5,929
1 wk ahead,11,2022,HE,quantile,0.75,988
1 wk ahead,11,2022,HE,quantile,0.975,1165
2 wk ahead,12,2022,HE,point,NA,1124
2 wk ahead,12,2022,HE,quantile,0.025,784
2 wk ahead,12,2022,HE,quantile,0.25,1004
2 wk ahead,12,2022,HE,quantile,0.5,1124
2 wk ahead,12,2022,HE,quantile,0.75,1230
2 wk ahead,12,2022,HE,quantile,0.975,1515
,,,,,,
1 wk ahead,11,2022,MV,point,NA,219
1 wk ahead,11,2022,MV,quantile,0.025,188
1 wk ahead,11,2022,MV,quantile,0.25,205
1 wk ahead,11,2022,MV,quantile,0.5,219
1 wk ahead,11,2022,MV,quantile,0.75,232
1 wk ahead,11,2022,MV,quantile,0.975,251
2 wk ahead,12,2022,MV,point,NA,257
2 wk ahead,12,2022,MV,quantile,0.025,192
2 wk ahead,12,2022,MV,quantile,0.25,228
2 wk ahead,12,2022,MV,quantile,0.5,257
2 wk ahead,12,2022,MV,quantile,0.75,279
2 wk ahead,12,2022,MV,quantile,0.975,317
,,,,,,
1 wk ahead,11,2022,NI,point,NA,1596
1 wk ahead,11,2022,NI,quantile,0.025,1481
1 wk ahead,11,2022,NI,quantile,0.25,1543
1 wk ahead,11,2022,NI,quantile,0.5,1596
1 wk ahead,11,2022,NI,quantile,0.75,1640
1 wk ahead,11,2022,NI,quantile,0.975,1732
2 wk ahead,12,2022,NI,point,NA,1874
2 wk ahead,12,2022,NI,quantile,0.025,1532
2 wk ahead,12,2022,NI,quantile,0.25,1759
2 wk ahead,12,2022,NI,quantile,0.5,1874
2 wk ahead,12,2022,NI,quantile,0.75,1957
2 wk ahead,12,2022,NI,quantile,0.975,2136
,,,,,,
1 wk ahead,11,2022,NW,point,NA,6967
1 wk ahead,11,2022,NW,quantile,0.025,6229
1 wk ahead,11,2022,NW,quantile,0.25,6718
1 wk ahead,11,2022,NW,quantile,0.5,6967
1 wk ahead,11,2022,NW,quantile,0.75,7176
1 wk ahead,11,2022,NW,quantile,0.975,7577
2 wk ahead,12,2022,NW,point,NA,7472
2 wk ahead,12,2022,NW,quantile,0.025,5461
2 wk ahead,12,2022,NW,quantile,0.25,6893
2 wk ahead,12,2022,NW,quantile,0.5,7472
2 wk ahead,12,2022,NW,quantile,0.75,8064
2 wk ahead,12,2022,NW,quantile,0.975,9775
,,,,,,
1 wk ahead,11,2022,RP,point,NA,2345
1 wk ahead,11,2022,RP,quantile,0.025,2194
1 wk ahead,11,2022,RP,quantile,0.25,2287
1 wk ahead,11,2022,RP,quantile,0.5,2345
1 wk ahead,11,2022,RP,quantile,0.75,2406
1 wk ahead,11,2022,RP,quantile,0.975,2510
2 wk ahead,12,2022,RP,point,NA,2770
2 wk ahead,12,2022,RP,quantile,0.025,2351
2 wk ahead,12,2022,RP,quantile,0.25,2644
2 wk ahead,12,2022,RP,quantile,0.5,2770
2 wk ahead,12,2022,RP,quantile,0.75,2903
2 wk ahead,12,2022,RP,quantile,0.975,3219
,,,,,,
1 wk ahead,11,2022,SL,point,NA,481
1 wk ahead,11,2022,SL,quantile,0.025,423
1 wk ahead,11,2022,SL,quantile,0.25,457
1 wk ahead,11,2022,SL,quantile,0.5,481
1 wk ahead,11,2022,SL,quantile,0.75,505
1 wk ahead,11,2022,SL,quantile,0.975,557
2 wk ahead,12,2022,SL,point,NA,609
2 wk ahead,12,2022,SL,quantile,0.025,461
2 wk ahead,12,2022,SL,quantile,0.25,543
2 wk ahead,12,2022,SL,quantile,0.5,609
2 wk ahead,12,2022,SL,quantile,0.75,675
2 wk ahead,12,2022,SL,quantile,0.975,802
,,,,,,
1 wk ahead,11,2022,SN,point,NA,1731
1 wk ahead,11,2022,SN,quantile,0.025,1436
1 wk ahead,11,2022,SN,quantile,0.25,1648
1 wk ahead,11,2022,SN,quantile,0.5,1731
1 wk ahead,11,2022,SN,quantile,0.75,1840
1 wk ahead,11,2022,SN,quantile,0.975,2111
2 wk ahead,12,2022,SN,point,NA,2012
2 wk ahead,12,2022,SN,quantile,0.025,1505
2 wk ahead,12,2022,SN,quantile,0.25,1783
2 wk ahead,12,2022,SN,quantile,0.5,2012
2 wk ahead,12,2022,SN,quantile,0.75,2263
2 wk ahead,12,2022,SN,quantile,0.975,2611
,,,,,,
1 wk ahead,11,2022,ST,point,NA,808
1 wk ahead,11,2022,ST,quantile,0.025,672
1 wk ahead,11,2022,ST,quantile,0.25,753
1 wk ahead,11,2022,ST,quantile,0.5,808
1 wk ahead,11,2022,ST,quantile,0.75,869
1 wk ahead,11,2022,ST,quantile,0.975,965
2 wk ahead,12,2022,ST,point,NA,952
2 wk ahead,12,2022,ST,quantile,0.025,618
2 wk ahead,12,2022,ST,quantile,0.25,843
2 wk ahead,12,2022,ST,quantile,0.5,952
2 wk ahead,12,2022,ST,quantile,0.75,1069
2 wk ahead,12,2022,ST,quantile,0.975,1308
,,,,,,
1 wk ahead,11,2022,SH,point,NA,662
1 wk ahead,11,2022,SH,quantile,0.025,601
1 wk ahead,11,2022,SH,quantile,0.25,633
1 wk ahead,11,2022,SH,quantile,0.5,662
1 wk ahead,11,2022,SH,quantile,0.75,683
1 wk ahead,11,2022,SH,quantile,0.975,729
2 wk ahead,12,2022,SH,point,NA,731
2 wk ahead,12,2022,SH,quantile,0.025,564
2 wk ahead,12,2022,SH,quantile,0.25,652
2 wk ahead,12,2022,SH,quantile,0.5,731
2 wk ahead,12,2022,SH,quantile,0.75,805
2 wk ahead,12,2022,SH,quantile,0.975,876
,,,,,,
1 wk ahead,11,2022,TH,point,NA,720
1 wk ahead,11,2022,TH,quantile,0.025,599
1 wk ahead,11,2022,TH,quantile,0.25,677
1 wk ahead,11,2022,TH,quantile,0.5,720
1 wk ahead,11,2022,TH,quantile,0.75,755
1 wk ahead,11,2022,TH,quantile,0.975,785
2 wk ahead,12,2022,TH,point,NA,958
2 wk ahead,12,2022,TH,quantile,0.025,780
2 wk ahead,12,2022,TH,quantile,0.25,871
2 wk ahead,12,2022,TH,quantile,0.5,958
2 wk ahead,12,2022,TH,quantile,0.75,1041
2 wk ahead,12,2022,TH,quantile,0.975,1098
