target,target_week,location,type,quantile,value
1 wk ahead,34,BW,point,NA,-
1 wk ahead,34,BW,quantile,0.025,-
1 wk ahead,34,BW,quantile,0.25,-
1 wk ahead,34,BW,quantile,0.5,-
1 wk ahead,34,BW,quantile,0.75,-
1 wk ahead,34,BW,quantile,0.975,-
2 wk ahead,35,BW,point,NA,-
2 wk ahead,35,BW,quantile,0.025,-
2 wk ahead,35,BW,quantile,0.25,-
2 wk ahead,35,BW,quantile,0.5,-
2 wk ahead,35,BW,quantile,0.75,-
2 wk ahead,35,BW,quantile,0.975,-
1 wk ahead,34,BY,point,NA,-
1 wk ahead,34,BY,quantile,0.025,-
1 wk ahead,34,BY,quantile,0.25,-
1 wk ahead,34,BY,quantile,0.5,-
1 wk ahead,34,BY,quantile,0.75,-
1 wk ahead,34,BY,quantile,0.975,-
2 wk ahead,35,BY,point,NA,-
2 wk ahead,35,BY,quantile,0.025,-
2 wk ahead,35,BY,quantile,0.25,-
2 wk ahead,35,BY,quantile,0.5,-
2 wk ahead,35,BY,quantile,0.75,-
2 wk ahead,35,BY,quantile,0.975,-
1 wk ahead,34,BE,point,NA,854
1 wk ahead,34,BE,quantile,0.025,750
1 wk ahead,34,BE,quantile,0.25,792
1 wk ahead,34,BE,quantile,0.5,854
1 wk ahead,34,BE,quantile,0.75,919
1 wk ahead,34,BE,quantile,0.975,963
2 wk ahead,35,BE,point,NA,899
2 wk ahead,35,BE,quantile,0.025,649
2 wk ahead,35,BE,quantile,0.25,828
2 wk ahead,35,BE,quantile,0.5,899
2 wk ahead,35,BE,quantile,0.75,972
2 wk ahead,35,BE,quantile,0.975,1183
1 wk ahead,34,BB,point,NA,267
1 wk ahead,34,BB,quantile,0.025,189
1 wk ahead,34,BB,quantile,0.25,245
1 wk ahead,34,BB,quantile,0.5,267
1 wk ahead,34,BB,quantile,0.75,292
1 wk ahead,34,BB,quantile,0.975,341
2 wk ahead,35,BB,point,NA,328
2 wk ahead,35,BB,quantile,0.025,182
2 wk ahead,35,BB,quantile,0.25,258
2 wk ahead,35,BB,quantile,0.5,328
2 wk ahead,35,BB,quantile,0.75,405
2 wk ahead,35,BB,quantile,0.975,506
1 wk ahead,34,HB,point,NA,-
1 wk ahead,34,HB,quantile,0.025,-
1 wk ahead,34,HB,quantile,0.25,-
1 wk ahead,34,HB,quantile,0.5,-
1 wk ahead,34,HB,quantile,0.75,-
1 wk ahead,34,HB,quantile,0.975,-
2 wk ahead,35,HB,point,NA,-
2 wk ahead,35,HB,quantile,0.025,-
2 wk ahead,35,HB,quantile,0.25,-
2 wk ahead,35,HB,quantile,0.5,-
2 wk ahead,35,HB,quantile,0.75,-
2 wk ahead,35,HB,quantile,0.975,-
1 wk ahead,34,HH,point,NA,431
1 wk ahead,34,HH,quantile,0.025,346
1 wk ahead,34,HH,quantile,0.25,399
1 wk ahead,34,HH,quantile,0.5,431
1 wk ahead,34,HH,quantile,0.75,467
1 wk ahead,34,HH,quantile,0.975,530
2 wk ahead,35,HH,point,NA,462
