target,target_week,target_year,location,type,quantile,value
1 wk ahead,9,2022,BW,point,NA,12522
1 wk ahead,9,2022,BW,quantile,0.025,8556
1 wk ahead,9,2022,BW,quantile,0.25,11340
1 wk ahead,9,2022,BW,quantile,0.5,12522
1 wk ahead,9,2022,BW,quantile,0.75,14063
1 wk ahead,9,2022,BW,quantile,0.975,16513
2 wk ahead,10,2022,BW,point,NA,15152
2 wk ahead,10,2022,BW,quantile,0.025,7321
2 wk ahead,10,2022,BW,quantile,0.25,12940
2 wk ahead,10,2022,BW,quantile,0.5,15152
2 wk ahead,10,2022,BW,quantile,0.75,18143
2 wk ahead,10,2022,BW,quantile,0.975,23249
,,,,,,
1 wk ahead,9,2022,BY,point,NA,-
1 wk ahead,9,2022,BY,quantile,0.025,-
1 wk ahead,9,2022,BY,quantile,0.25,-
1 wk ahead,9,2022,BY,quantile,0.5,-
1 wk ahead,9,2022,BY,quantile,0.75,-
1 wk ahead,9,2022,BY,quantile,0.975,-
2 wk ahead,10,2022,BY,point,NA,26596
2 wk ahead,10,2022,BY,quantile,0.025,3170
2 wk ahead,10,2022,BY,quantile,0.25,20262
2 wk ahead,10,2022,BY,quantile,0.5,26596
2 wk ahead,10,2022,BY,quantile,0.75,34694
2 wk ahead,10,2022,BY,quantile,0.975,48750
,,,,,,
1 wk ahead,9,2022,BE,point,NA,-
1 wk ahead,9,2022,BE,quantile,0.025,-
1 wk ahead,9,2022,BE,quantile,0.25,-
1 wk ahead,9,2022,BE,quantile,0.5,-
1 wk ahead,9,2022,BE,quantile,0.75,-
1 wk ahead,9,2022,BE,quantile,0.975,-
2 wk ahead,10,2022,BE,point,NA,-
2 wk ahead,10,2022,BE,quantile,0.025,-
2 wk ahead,10,2022,BE,quantile,0.25,-
2 wk ahead,10,2022,BE,quantile,0.5,-
2 wk ahead,10,2022,BE,quantile,0.75,-
2 wk ahead,10,2022,BE,quantile,0.975,-
,,,,,,
1 wk ahead,9,2022,BB,point,NA,7816
1 wk ahead,9,2022,BB,quantile,0.025,6357
1 wk ahead,9,2022,BB,quantile,0.25,7195
1 wk ahead,9,2022,BB,quantile,0.5,7816
1 wk ahead,9,2022,BB,quantile,0.75,8668
1 wk ahead,9,2022,BB,quantile,0.975,9851
2 wk ahead,10,2022,BB,point,NA,7604
2 wk ahead,10,2022,BB,quantile,0.025,2026
2 wk ahead,10,2022,BB,quantile,0.25,5958
2 wk ahead,10,2022,BB,quantile,0.5,7604
2 wk ahead,10,2022,BB,quantile,0.75,9560
2 wk ahead,10,2022,BB,quantile,0.975,12353
,,,,,,
1 wk ahead,9,2022,HB,point,NA,258
1 wk ahead,9,2022,HB,quantile,0.025,8
1 wk ahead,9,2022,HB,quantile,0.25,174
1 wk ahead,9,2022,HB,quantile,0.5,258
1 wk ahead,9,2022,HB,quantile,0.75,362
1 wk ahead,9,2022,HB,quantile,0.975,528
2 wk ahead,10,2022,HB,point,NA,230
2 wk ahead,10,2022,HB,quantile,0.025,0
2 wk ahead,10,2022,HB,quantile,0.25,50
2 wk ahead,10,2022,HB,quantile,0.5,230
2 wk ahead,10,2022,HB,quantile,0.75,450
2 wk ahead,10,2022,HB,quantile,0.975,756
,,,,,,
1 wk ahead,9,2022,HH,point,NA,-
1 wk ahead,9,2022,HH,quantile,0.025,-
1 wk ahead,9,2022,HH,quantile,0.25,-
1 wk ahead,9,2022,HH,quantile,0.5,-
1 wk ahead,9,2022,HH,quantile,0.75,-
1 wk ahead,9,2022,HH,quantile,0.975,-
2 wk ahead,10,2022,HH,point,NA,1493
2 wk ahead,10,2022,HH,quantile,0.025,298
2 wk ahead,10,2022,HH,quantile,0.25,542
2 wk ahead,10,2022,HH,quantile,0.5,1493
2 wk ahead,10,2022,HH,quantile,0.75,2499
2 wk ahead,10,2022,HH,quantile,0.975,4947
,,,,,,
1 wk ahead,9,2022,HE,point,NA,6013
1 wk ahead,9,2022,HE,quantile,0.025,4188
1 wk ahead,9,2022,HE,quantile,0.25,5431
1 wk ahead,9,2022,HE,quantile,0.5,6013
1 wk ahead,9,2022,HE,quantile,0.75,6548
1 wk ahead,9,2022,HE,quantile,0.975,10747
2 wk ahead,10,2022,HE,point,NA,5088
