target,target_week,location,type,quantile,value
1 wk ahead,27,BW,point,NA,100
1 wk ahead,27,BW,quantile,0.025,10
1 wk ahead,27,BW,quantile,0.25,88
1 wk ahead,27,BW,quantile,0.5,100
1 wk ahead,27,BW,quantile,0.75,139
1 wk ahead,27,BW,quantile,0.975,273
2 wk ahead,28,BW,point,NA,70
2 wk ahead,28,BW,quantile,0.025,0
2 wk ahead,28,BW,quantile,0.25,32
2 wk ahead,28,BW,quantile,0.5,70
2 wk ahead,28,BW,quantile,0.75,140
2 wk ahead,28,BW,quantile,0.975,281

1 wk ahead,27,BY,point,NA,293
1 wk ahead,27,BY,quantile,0.025,67
1 wk ahead,27,BY,quantile,0.25,204
1 wk ahead,27,BY,quantile,0.5,293
1 wk ahead,27,BY,quantile,0.75,349
1 wk ahead,27,BY,quantile,0.975,651
2 wk ahead,28,BY,point,NA,201
2 wk ahead,28,BY,quantile,0.025,0
2 wk ahead,28,BY,quantile,0.25,0
2 wk ahead,28,BY,quantile,0.5,201
2 wk ahead,28,BY,quantile,0.75,396
2 wk ahead,28,BY,quantile,0.975,823

1 wk ahead,27,BE,point,NA,-
1 wk ahead,27,BE,quantile,0.025,-
1 wk ahead,27,BE,quantile,0.25,-
1 wk ahead,27,BE,quantile,0.5,-
1 wk ahead,27,BE,quantile,0.75,-
1 wk ahead,27,BE,quantile,0.975,-
2 wk ahead,28,BE,point,NA,-
2 wk ahead,28,BE,quantile,0.025,-
2 wk ahead,28,BE,quantile,0.25,-
2 wk ahead,28,BE,quantile,0.5,-
2 wk ahead,28,BE,quantile,0.75,-
2 wk ahead,28,BE,quantile,0.975,-

1 wk ahead,27,BB,point,NA,-
1 wk ahead,27,BB,quantile,0.025,-
1 wk ahead,27,BB,quantile,0.25,-
1 wk ahead,27,BB,quantile,0.5,-
1 wk ahead,27,BB,quantile,0.75,-
1 wk ahead,27,BB,quantile,0.975,-
2 wk ahead,28,BB,point,NA,-
2 wk ahead,28,BB,quantile,0.025,-
2 wk ahead,28,BB,quantile,0.25,-
2 wk ahead,28,BB,quantile,0.5,-
2 wk ahead,28,BB,quantile,0.75,-
2 wk ahead,28,BB,quantile,0.975,-

1 wk ahead,27,HB,point,NA,3
1 wk ahead,27,HB,quantile,0.025,0
1 wk ahead,27,HB,quantile,0.25,1
1 wk ahead,27,HB,quantile,0.5,3
1 wk ahead,27,HB,quantile,0.75,19
1 wk ahead,27,HB,quantile,0.975,42
2 wk ahead,28,HB,point,NA,3
2 wk ahead,28,HB,quantile,0.025,0
2 wk ahead,28,HB,quantile,0.25,0
2 wk ahead,28,HB,quantile,0.5,3
2 wk ahead,28,HB,quantile,0.75,23
2 wk ahead,28,HB,quantile,0.975,53

1 wk ahead,27,HH,point,NA,-
1 wk ahead,27,HH,quantile,0.025,-
1 wk ahead,27,HH,quantile,0.25,-
1 wk ahead,27,HH,quantile,0.5,-
1 wk ahead,27,HH,quantile,0.75,-
1 wk ahead,27,HH,quantile,0.975,-
2 wk ahead,28,HH,point,NA,-
2 wk ahead,28,HH,quantile,0.025,-
2 wk ahead,28,HH,quantile,0.25,-
2 wk ahead,28,HH,quantile,0.5,-
2 wk ahead,28,HH,quantile,0.75,-
2 wk ahead,28,HH,quantile,0.975,-

1 wk ahead,27,HE,point,NA,71
1 wk ahead,27,HE,quantile,0.025,0
1 wk ahead,27,HE,quantile,0.25,40
1 wk ahead,27,HE,quantile,0.5,71
1 wk ahead,27,HE,quantile,0.75,129
1 wk ahead,27,HE,quantile,0.975,153
2 wk ahead,28,HE,point,NA,63
2 wk ahead,28,HE,quantile,0.025,0
2 wk ahead,28,HE,quantile,0.25,3
2 wk ahead,28,HE,quantile,0.5,63
2 wk ahead,28,HE,quantile,0.75,127
2 wk ahead,28,HE,quantile,0.975,238

1 wk ahead,27,MV,point,NA,-
1 wk ahead,27,MV,quantile,0.025,-
1 wk ahead,27,MV,quantile,0.25,-
1 wk ahead,27,MV,quantile,0.5,-
1 wk ahead,27,MV,quantile,0.75,-
1 wk ahead,27,MV,quantile,0.975,-
2 wk ahead,28,MV,point,NA,-
2 wk ahead,28,MV,quantile,0.025,-
2 wk ahead,28,MV,quantile,0.25,-
2 wk ahead,28,MV,quantile,0.5,-
2 wk ahead,28,MV,quantile,0.75,-
2 wk ahead,28,MV,quantile,0.975,-

1 wk ahead,27,NI,point,NA,17
1 wk ahead,27,NI,quantile,0.025,0
1 wk ahead,27,NI,quantile,0.25,1
1 wk ahead,27,NI,quantile,0.5,17
1 wk ahead,27,NI,quantile,0.75,43
1 wk ahead,27,NI,quantile,0.975,56
2 wk ahead,28,NI,point,NA,11
2 wk ahead,28,NI,quantile,0.025,0
2 wk ahead,28,NI,quantile,0.25,0
2 wk ahead,28,NI,quantile,0.5,11
2 wk ahead,28,NI,quantile,0.75,55
2 wk ahead,28,NI,quantile,0.975,104

1 wk ahead,27,NW,point,NA,-
1 wk ahead,27,NW,quantile,0.025,-
1 wk ahead,27,NW,quantile,0.25,-
1 wk ahead,27,NW,quantile,0.5,-
1 wk ahead,27,NW,quantile,0.75,-
1 wk ahead,27,NW,quantile,0.975,-
2 wk ahead,28,NW,point,NA,-
2 wk ahead,28,NW,quantile,0.025,-
2 wk ahead,28,NW,quantile,0.25,-
2 wk ahead,28,NW,quantile,0.5,-
2 wk ahead,28,NW,quantile,0.75,-
2 wk ahead,28,NW,quantile,0.975,-

1 wk ahead,27,RP,point,NA,51
1 wk ahead,27,RP,quantile,0.025,18
1 wk ahead,27,RP,quantile,0.25,40
1 wk ahead,27,RP,quantile,0.5,51
1 wk ahead,27,RP,quantile,0.75,110
1 wk ahead,27,RP,quantile,0.975,171
2 wk ahead,28,RP,point,NA,30
2 wk ahead,28,RP,quantile,0.025,0
2 wk ahead,28,RP,quantile,0.25,0
2 wk ahead,28,RP,quantile,0.5,30
2 wk ahead,28,RP,quantile,0.75,117
2 wk ahead,28,RP,quantile,0.975,313

1 wk ahead,27,SL,point,NA,10
1 wk ahead,27,SL,quantile,0.025,0
1 wk ahead,27,SL,quantile,0.25,8
1 wk ahead,27,SL,quantile,0.5,10
1 wk ahead,27,SL,quantile,0.75,38
1 wk ahead,27,SL,quantile,0.975,79
2 wk ahead,28,SL,point,NA,8
2 wk ahead,28,SL,quantile,0.025,0
2 wk ahead,28,SL,quantile,0.25,4
2 wk ahead,28,SL,quantile,0.5,8
2 wk ahead,28,SL,quantile,0.75,54
2 wk ahead,28,SL,quantile,0.975,86

1 wk ahead,27,SN,point,NA,47
1 wk ahead,27,SN,quantile,0.025,0
1 wk ahead,27,SN,quantile,0.25,34
1 wk ahead,27,SN,quantile,0.5,47
1 wk ahead,27,SN,quantile,0.75,62
1 wk ahead,27,SN,quantile,0.975,147
2 wk ahead,28,SN,point,NA,28
2 wk ahead,28,SN,quantile,0.025,0
2 wk ahead,28,SN,quantile,0.25,8
2 wk ahead,28,SN,quantile,0.5,28
2 wk ahead,28,SN,quantile,0.75,60
2 wk ahead,28,SN,quantile,0.975,146

1 wk ahead,27,ST,point,NA,5
1 wk ahead,27,ST,quantile,0.025,0
1 wk ahead,27,ST,quantile,0.25,1
1 wk ahead,27,ST,quantile,0.5,5
1 wk ahead,27,ST,quantile,0.75,33
1 wk ahead,27,ST,quantile,0.975,63
2 wk ahead,28,ST,point,NA,3
2 wk ahead,28,ST,quantile,0.025,0
2 wk ahead,28,ST,quantile,0.25,0
2 wk ahead,28,ST,quantile,0.5,3
2 wk ahead,28,ST,quantile,0.75,51
2 wk ahead,28,ST,quantile,0.975,77

1 wk ahead,27,SH,point,NA,-
1 wk ahead,27,SH,quantile,0.025,-
1 wk ahead,27,SH,quantile,0.25,-
1 wk ahead,27,SH,quantile,0.5,-
1 wk ahead,27,SH,quantile,0.75,-
1 wk ahead,27,SH,quantile,0.975,-
2 wk ahead,28,SH,point,NA,-
2 wk ahead,28,SH,quantile,0.025,-
2 wk ahead,28,SH,quantile,0.25,-
