target,target_week,location,type,quantile,value
1 wk ahead,43,BW,point,NA,229
1 wk ahead,43,BW,quantile,0.025,153
1 wk ahead,43,BW,quantile,0.25,208
1 wk ahead,43,BW,quantile,0.5,229
1 wk ahead,43,BW,quantile,0.75,247
1 wk ahead,43,BW,quantile,0.975,273
2 wk ahead,44,BW,point,NA,-
2 wk ahead,44,BW,quantile,0.025,-
2 wk ahead,44,BW,quantile,0.25,-
2 wk ahead,44,BW,quantile,0.5,-
2 wk ahead,44,BW,quantile,0.75,-
2 wk ahead,44,BW,quantile,0.975,-

1 wk ahead,43,BY,point,NA,609
1 wk ahead,43,BY,quantile,0.025,509
1 wk ahead,43,BY,quantile,0.25,567
1 wk ahead,43,BY,quantile,0.5,609
1 wk ahead,43,BY,quantile,0.75,643
1 wk ahead,43,BY,quantile,0.975,699
2 wk ahead,44,BY,point,NA,-
2 wk ahead,44,BY,quantile,0.025,-
2 wk ahead,44,BY,quantile,0.25,-
2 wk ahead,44,BY,quantile,0.5,-
2 wk ahead,44,BY,quantile,0.75,-
2 wk ahead,44,BY,quantile,0.975,-
1 wk ahead,43,BE,point,NA,65
1 wk ahead,43,BE,quantile,0.025,43
1 wk ahead,43,BE,quantile,0.25,55
1 wk ahead,43,BE,quantile,0.5,65
1 wk ahead,43,BE,quantile,0.75,72
1 wk ahead,43,BE,quantile,0.975,85
2 wk ahead,44,BE,point,NA,72
2 wk ahead,44,BE,quantile,0.025,27
2 wk ahead,44,BE,quantile,0.25,44
2 wk ahead,44,BE,quantile,0.5,72
2 wk ahead,44,BE,quantile,0.75,94
2 wk ahead,44,BE,quantile,0.975,127
1 wk ahead,43,BB,point,NA,30
1 wk ahead,43,BB,quantile,0.025,10
1 wk ahead,43,BB,quantile,0.25,15
1 wk ahead,43,BB,quantile,0.5,30
1 wk ahead,43,BB,quantile,0.75,42
1 wk ahead,43,BB,quantile,0.975,58
2 wk ahead,44,BB,point,NA,35
2 wk ahead,44,BB,quantile,0.025,3
2 wk ahead,44,BB,quantile,0.25,9
2 wk ahead,44,BB,quantile,0.5,35
2 wk ahead,44,BB,quantile,0.75,56
2 wk ahead,44,BB,quantile,0.975,73
1 wk ahead,43,HB,point,NA,-
1 wk ahead,43,HB,quantile,0.025,-
1 wk ahead,43,HB,quantile,0.25,-
1 wk ahead,43,HB,quantile,0.5,-
1 wk ahead,43,HB,quantile,0.75,-
1 wk ahead,43,HB,quantile,0.975,-
2 wk ahead,44,HB,point,NA,1
2 wk ahead,44,HB,quantile,0.025,0
2 wk ahead,44,HB,quantile,0.25,0
2 wk ahead,44,HB,quantile,0.5,1
2 wk ahead,44,HB,quantile,0.75,5
2 wk ahead,44,HB,quantile,0.975,11
1 wk ahead,43,HH,point,NA,19
