target,target_week,location,type,quantile,value
1 wk ahead,40,BW,point,NA,1729
1 wk ahead,40,BW,quantile,0.025,1283
1 wk ahead,40,BW,quantile,0.25,1638
1 wk ahead,40,BW,quantile,0.5,1729
1 wk ahead,40,BW,quantile,0.75,1819
1 wk ahead,40,BW,quantile,0.975,2189
2 wk ahead,41,BW,point,NA,1781
2 wk ahead,41,BW,quantile,0.025,1202
2 wk ahead,41,BW,quantile,0.25,1651
2 wk ahead,41,BW,quantile,0.5,1781
2 wk ahead,41,BW,quantile,0.75,1954
2 wk ahead,41,BW,quantile,0.975,2440

1 wk ahead,40,BY,point,NA,4314
1 wk ahead,40,BY,quantile,0.025,3486
1 wk ahead,40,BY,quantile,0.25,4089
1 wk ahead,40,BY,quantile,0.5,4314
1 wk ahead,40,BY,quantile,0.75,4639
1 wk ahead,40,BY,quantile,0.975,5247
2 wk ahead,41,BY,point,NA,4566
2 wk ahead,41,BY,quantile,0.025,3392
2 wk ahead,41,BY,quantile,0.25,4094
2 wk ahead,41,BY,quantile,0.5,4566
2 wk ahead,41,BY,quantile,0.75,5033
2 wk ahead,41,BY,quantile,0.975,5865
1 wk ahead,40,BE,point,NA,877
1 wk ahead,40,BE,quantile,0.025,738
1 wk ahead,40,BE,quantile,0.25,813
1 wk ahead,40,BE,quantile,0.5,877
1 wk ahead,40,BE,quantile,0.75,951
1 wk ahead,40,BE,quantile,0.975,1117
2 wk ahead,41,BE,point,NA,866
2 wk ahead,41,BE,quantile,0.025,515
2 wk ahead,41,BE,quantile,0.25,746
2 wk ahead,41,BE,quantile,0.5,866
2 wk ahead,41,BE,quantile,0.75,989
2 wk ahead,41,BE,quantile,0.975,1310
1 wk ahead,40,BB,point,NA,286
1 wk ahead,40,BB,quantile,0.025,209
1 wk ahead,40,BB,quantile,0.25,263
1 wk ahead,40,BB,quantile,0.5,286
1 wk ahead,40,BB,quantile,0.75,312
1 wk ahead,40,BB,quantile,0.975,373
2 wk ahead,41,BB,point,NA,278
2 wk ahead,41,BB,quantile,0.025,96
2 wk ahead,41,BB,quantile,0.25,207
2 wk ahead,41,BB,quantile,0.5,278
2 wk ahead,41,BB,quantile,0.75,350
2 wk ahead,41,BB,quantile,0.975,464
1 wk ahead,40,HB,point,NA,306
1 wk ahead,40,HB,quantile,0.025,239
1 wk ahead,40,HB,quantile,0.25,285
1 wk ahead,40,HB,quantile,0.5,306
1 wk ahead,40,HB,quantile,0.75,326
1 wk ahead,40,HB,quantile,0.975,366
2 wk ahead,41,HB,point,NA,305
2 wk ahead,41,HB,quantile,0.025,215
2 wk ahead,41,HB,quantile,0.25,264
2 wk ahead,41,HB,quantile,0.5,305
2 wk ahead,41,HB,quantile,0.75,345
2 wk ahead,41,HB,quantile,0.975,405
1 wk ahead,40,HH,point,NA,331
1 wk ahead,40,HH,quantile,0.025,235
1 wk ahead,40,HH,quantile,0.25,300
1 wk ahead,40,HH,quantile,0.5,331
1 wk ahead,40,HH,quantile,0.75,369
1 wk ahead,40,HH,quantile,0.975,430
2 wk ahead,41,HH,point,NA,357
2 wk ahead,41,HH,quantile,0.025,185
2 wk ahead,41,HH,quantile,0.25,296
2 wk ahead,41,HH,quantile,0.5,357
2 wk ahead,41,HH,quantile,0.75,423
2 wk ahead,41,HH,quantile,0.975,540
1 wk ahead,40,HE,point,NA,94
1 wk ahead,40,HE,quantile,0.025,2
1 wk ahead,40,HE,quantile,0.25,35
1 wk ahead,40,HE,quantile,0.5,94
1 wk ahead,40,HE,quantile,0.75,174
1 wk ahead,40,HE,quantile,0.975,290
2 wk ahead,41,HE,point,NA,90
2 wk ahead,41,HE,quantile,0.025,0
2 wk ahead,41,HE,quantile,0.25,4
2 wk ahead,41,HE,quantile,0.5,90
2 wk ahead,41,HE,quantile,0.75,275
2 wk ahead,41,HE,quantile,0.975,462
1 wk ahead,40,MV,point,NA,123
1 wk ahead,40,MV,quantile,0.025,86
1 wk ahead,40,MV,quantile,0.25,109
1 wk ahead,40,MV,quantile,0.5,123
1 wk ahead,40,MV,quantile,0.75,141
1 wk ahead,40,MV,quantile,0.975,160
2 wk ahead,41,MV,point,NA,144
2 wk ahead,41,MV,quantile,0.025,75
2 wk ahead,41,MV,quantile,0.25,103
2 wk ahead,41,MV,quantile,0.5,144
2 wk ahead,41,MV,quantile,0.75,195
2 wk ahead,41,MV,quantile,0.975,239
1 wk ahead,40,NI,point,NA,1163
1 wk ahead,40,NI,quantile,0.025,910
1 wk ahead,40,NI,quantile,0.25,1050
1 wk ahead,40,NI,quantile,0.5,1163
1 wk ahead,40,NI,quantile,0.75,1311
1 wk ahead,40,NI,quantile,0.975,1413
2 wk ahead,41,NI,point,NA,1170
2 wk ahead,41,NI,quantile,0.025,782
2 wk ahead,41,NI,quantile,0.25,960
2 wk ahead,41,NI,quantile,0.5,1170
2 wk ahead,41,NI,quantile,0.75,1336
2 wk ahead,41,NI,quantile,0.975,1544
1 wk ahead,40,NW,point,NA,3290
1 wk ahead,40,NW,quantile,0.025,2294
1 wk ahead,40,NW,quantile,0.25,2817
1 wk ahead,40,NW,quantile,0.5,3290
1 wk ahead,40,NW,quantile,0.75,3843
1 wk ahead,40,NW,quantile,0.975,4284
2 wk ahead,41,NW,point,NA,2822
2 wk ahead,41,NW,quantile,0.025,1184
2 wk ahead,41,NW,quantile,0.25,1879
2 wk ahead,41,NW,quantile,0.5,2822
2 wk ahead,41,NW,quantile,0.75,3744
2 wk ahead,41,NW,quantile,0.975,5651
1 wk ahead,40,RP,point,NA,1072
1 wk ahead,40,RP,quantile,0.025,726
1 wk ahead,40,RP,quantile,0.25,926
1 wk ahead,40,RP,quantile,0.5,1072
1 wk ahead,40,RP,quantile,0.75,1206
1 wk ahead,40,RP,quantile,0.975,1566
2 wk ahead,41,RP,point,NA,931
2 wk ahead,41,RP,quantile,0.025,438
2 wk ahead,41,RP,quantile,0.25,722
2 wk ahead,41,RP,quantile,0.5,931
2 wk ahead,41,RP,quantile,0.75,1209
2 wk ahead,41,RP,quantile,0.975,1634
1 wk ahead,40,SL,point,NA,102
1 wk ahead,40,SL,quantile,0.025,37
1 wk ahead,40,SL,quantile,0.25,59
1 wk ahead,40,SL,quantile,0.5,102
1 wk ahead,40,SL,quantile,0.75,154
1 wk ahead,40,SL,quantile,0.975,190
2 wk ahead,41,SL,point,NA,90
2 wk ahead,41,SL,quantile,0.025,16
2 wk ahead,41,SL,quantile,0.25,37
2 wk ahead,41,SL,quantile,0.5,90
2 wk ahead,41,SL,quantile,0.75,164
2 wk ahead,41,SL,quantile,0.975,277
1 wk ahead,40,SN,point,NA,856
1 wk ahead,40,SN,quantile,0.025,665
1 wk ahead,40,SN,quantile,0.25,773
1 wk ahead,40,SN,quantile,0.5,856
1 wk ahead,40,SN,quantile,0.75,943
1 wk ahead,40,SN,quantile,0.975,1065
2 wk ahead,41,SN,point,NA,1022
2 wk ahead,41,SN,quantile,0.025,641
2 wk ahead,41,SN,quantile,0.25,917
2 wk ahead,41,SN,quantile,0.5,1022
2 wk ahead,41,SN,quantile,0.75,1185
2 wk ahead,41,SN,quantile,0.975,1450
1 wk ahead,40,ST,point,NA,399
1 wk ahead,40,ST,quantile,0.025,256
1 wk ahead,40,ST,quantile,0.25,356
1 wk ahead,40,ST,quantile,0.5,399
1 wk ahead,40,ST,quantile,0.75,461
1 wk ahead,40,ST,quantile,0.975,611
2 wk ahead,41,ST,point,NA,494
2 wk ahead,41,ST,quantile,0.025,202
2 wk ahead,41,ST,quantile,0.25,399
2 wk ahead,41,ST,quantile,0.5,494
2 wk ahead,41,ST,quantile,0.75,594
2 wk ahead,41,ST,quantile,0.975,815
1 wk ahead,40,SH,point,NA,161
1 wk ahead,40,SH,quantile,0.025,79
1 wk ahead,40,SH,quantile,0.25,112
1 wk ahead,40,SH,quantile,0.5,161
1 wk ahead,40,SH,quantile,0.75,208
1 wk ahead,40,SH,quantile,0.975,263
2 wk ahead,41,SH,point,NA,160
2 wk ahead,41,SH,quantile,0.025,2
2 wk ahead,41,SH,quantile,0.25,78
2 wk ahead,41,SH,quantile,0.5,160
2 wk ahead,41,SH,quantile,0.75,234
2 wk ahead,41,SH,quantile,0.975,363
1 wk ahead,40,TH,point,NA,178
1 wk ahead,40,TH,quantile,0.025,124
1 wk ahead,40,TH,quantile,0.25,153
1 wk ahead,40,TH,quantile,0.5,178
1 wk ahead,40,TH,quantile,0.75,216
1 wk ahead,40,TH,quantile,0.975,261
2 wk ahead,41,TH,point,NA,191
2 wk ahead,41,TH,quantile,0.025,94
2 wk ahead,41,TH,quantile,0.25,140
2 wk ahead,41,TH,quantile,0.5,191
2 wk ahead,41,TH,quantile,0.75,263
2 wk ahead,41,TH,quantile,0.975,386
