target,target_week,target_year,location,type,quantile,value
1 wk ahead,7,2022,BW,point,NA,2595
1 wk ahead,7,2022,BW,quantile,0.025,2319
1 wk ahead,7,2022,BW,quantile,0.25,2448
1 wk ahead,7,2022,BW,quantile,0.5,2595
1 wk ahead,7,2022,BW,quantile,0.75,2705
1 wk ahead,7,2022,BW,quantile,0.975,2864
2 wk ahead,8,2022,BW,point,NA,2021
2 wk ahead,8,2022,BW,quantile,0.025,1433
2 wk ahead,8,2022,BW,quantile,0.25,1759
2 wk ahead,8,2022,BW,quantile,0.5,2021
2 wk ahead,8,2022,BW,quantile,0.75,2235
2 wk ahead,8,2022,BW,quantile,0.975,2770
,,,,,,
1 wk ahead,7,2022,BY,point,NA,4469
1 wk ahead,7,2022,BY,quantile,0.025,4083
1 wk ahead,7,2022,BY,quantile,0.25,4324
1 wk ahead,7,2022,BY,quantile,0.5,4469
1 wk ahead,7,2022,BY,quantile,0.75,4701
1 wk ahead,7,2022,BY,quantile,0.975,5064
2 wk ahead,8,2022,BY,point,NA,3809
2 wk ahead,8,2022,BY,quantile,0.025,1508
2 wk ahead,8,2022,BY,quantile,0.25,3246
2 wk ahead,8,2022,BY,quantile,0.5,3809
2 wk ahead,8,2022,BY,quantile,0.75,4404
2 wk ahead,8,2022,BY,quantile,0.975,5707
,,,,,,
1 wk ahead,7,2022,BE,point,NA,1121
1 wk ahead,7,2022,BE,quantile,0.025,792
1 wk ahead,7,2022,BE,quantile,0.25,1011
1 wk ahead,7,2022,BE,quantile,0.5,1121
1 wk ahead,7,2022,BE,quantile,0.75,1242
1 wk ahead,7,2022,BE,quantile,0.975,1612
2 wk ahead,8,2022,BE,point,NA,752
2 wk ahead,8,2022,BE,quantile,0.025,223
2 wk ahead,8,2022,BE,quantile,0.25,522
2 wk ahead,8,2022,BE,quantile,0.5,752
2 wk ahead,8,2022,BE,quantile,0.75,976
2 wk ahead,8,2022,BE,quantile,0.975,1459
,,,,,,
1 wk ahead,7,2022,BB,point,NA,800
