target,target_week,target_year,location,type,quantile,value
1 wk ahead,8,2022,BW,point,NA,25327
1 wk ahead,8,2022,BW,quantile,0.025,22188
1 wk ahead,8,2022,BW,quantile,0.25,24212
1 wk ahead,8,2022,BW,quantile,0.5,25327
1 wk ahead,8,2022,BW,quantile,0.75,26556
1 wk ahead,8,2022,BW,quantile,0.975,28664
2 wk ahead,9,2022,BW,point,NA,21234
2 wk ahead,9,2022,BW,quantile,0.025,16081
2 wk ahead,9,2022,BW,quantile,0.25,18924
2 wk ahead,9,2022,BW,quantile,0.5,21234
2 wk ahead,9,2022,BW,quantile,0.75,24020
2 wk ahead,9,2022,BW,quantile,0.975,28955
,,,,,,
1 wk ahead,8,2022,BY,point,NA,55052
1 wk ahead,8,2022,BY,quantile,0.025,52544
1 wk ahead,8,2022,BY,quantile,0.25,53967
1 wk ahead,8,2022,BY,quantile,0.5,55052
1 wk ahead,8,2022,BY,quantile,0.75,57009
1 wk ahead,8,2022,BY,quantile,0.975,61367
2 wk ahead,9,2022,BY,point,NA,-
2 wk ahead,9,2022,BY,quantile,0.025,-
2 wk ahead,9,2022,BY,quantile,0.25,-
2 wk ahead,9,2022,BY,quantile,0.5,-
2 wk ahead,9,2022,BY,quantile,0.75,-
2 wk ahead,9,2022,BY,quantile,0.975,-
,,,,,,
1 wk ahead,8,2022,BE,point,NA,-
1 wk ahead,8,2022,BE,quantile,0.025,-
1 wk ahead,8,2022,BE,quantile,0.25,-
1 wk ahead,8,2022,BE,quantile,0.5,-
1 wk ahead,8,2022,BE,quantile,0.75,-
1 wk ahead,8,2022,BE,quantile,0.975,-
2 wk ahead,9,2022,BE,point,NA,-
2 wk ahead,9,2022,BE,quantile,0.025,-
2 wk ahead,9,2022,BE,quantile,0.25,-
2 wk ahead,9,2022,BE,quantile,0.5,-
2 wk ahead,9,2022,BE,quantile,0.75,-
2 wk ahead,9,2022,BE,quantile,0.975,-
,,,,,,
1 wk ahead,8,2022,BB,point,NA,8362
1 wk ahead,8,2022,BB,quantile,0.025,7349
1 wk ahead,8,2022,BB,quantile,0.25,7835
1 wk ahead,8,2022,BB,quantile,0.5,8362
1 wk ahead,8,2022,BB,quantile,0.75,9054
1 wk ahead,8,2022,BB,quantile,0.975,10455
2 wk ahead,9,2022,BB,point,NA,7353
2 wk ahead,9,2022,BB,quantile,0.025,3916
2 wk ahead,9,2022,BB,quantile,0.25,5802
2 wk ahead,9,2022,BB,quantile,0.5,7353
2 wk ahead,9,2022,BB,quantile,0.75,9062
2 wk ahead,9,2022,BB,quantile,0.975,12644
,,,,,,
1 wk ahead,8,2022,HB,point,NA,338
1 wk ahead,8,2022,HB,quantile,0.025,94
1 wk ahead,8,2022,HB,quantile,0.25,250
1 wk ahead,8,2022,HB,quantile,0.5,338
1 wk ahead,8,2022,HB,quantile,0.75,443
1 wk ahead,8,2022,HB,quantile,0.975,604
2 wk ahead,9,2022,HB,point,NA,358
2 wk ahead,9,2022,HB,quantile,0.025,73
2 wk ahead,9,2022,HB,quantile,0.25,185
2 wk ahead,9,2022,HB,quantile,0.5,358
2 wk ahead,9,2022,HB,quantile,0.75,569
2 wk ahead,9,2022,HB,quantile,0.975,663
,,,,,,
1 wk ahead,8,2022,HH,point,NA,2069
1 wk ahead,8,2022,HH,quantile,0.025,1775
1 wk ahead,8,2022,HH,quantile,0.25,1944
1 wk ahead,8,2022,HH,quantile,0.5,2069
1 wk ahead,8,2022,HH,quantile,0.75,2210
1 wk ahead,8,2022,HH,quantile,0.975,2893
2 wk ahead,9,2022,HH,point,NA,2031
2 wk ahead,9,2022,HH,quantile,0.025,168
2 wk ahead,9,2022,HH,quantile,0.25,1080
2 wk ahead,9,2022,HH,quantile,0.5,2031
2 wk ahead,9,2022,HH,quantile,0.75,3177
2 wk ahead,9,2022,HH,quantile,0.975,5957
,,,,,,
1 wk ahead,8,2022,HE,point,NA,8243
1 wk ahead,8,2022,HE,quantile,0.025,6779
1 wk ahead,8,2022,HE,quantile,0.25,7696
1 wk ahead,8,2022,HE,quantile,0.5,8243
1 wk ahead,8,2022,HE,quantile,0.75,8768
1 wk ahead,8,2022,HE,quantile,0.975,11111
2 wk ahead,9,2022,HE,point,NA,8742
2 wk ahead,9,2022,HE,quantile,0.025,5745
2 wk ahead,9,2022,HE,quantile,0.25,7670
2 wk ahead,9,2022,HE,quantile,0.5,8742
2 wk ahead,9,2022,HE,quantile,0.75,9885
2 wk ahead,9,2022,HE,quantile,0.975,12231
,,,,,,
1 wk ahead,8,2022,MV,point,NA,2023
1 wk ahead,8,2022,MV,quantile,0.025,1584
1 wk ahead,8,2022,MV,quantile,0.25,1928
1 wk ahead,8,2022,MV,quantile,0.5,2023
1 wk ahead,8,2022,MV,quantile,0.75,2131
1 wk ahead,8,2022,MV,quantile,0.975,2411
2 wk ahead,9,2022,MV,point,NA,2005
2 wk ahead,9,2022,MV,quantile,0.025,1343
2 wk ahead,9,2022,MV,quantile,0.25,1764
2 wk ahead,9,2022,MV,quantile,0.5,2005
2 wk ahead,9,2022,MV,quantile,0.75,2247
2 wk ahead,9,2022,MV,quantile,0.975,2610
,,,,,,
1 wk ahead,8,2022,NI,point,NA,12256
1 wk ahead,8,2022,NI,quantile,0.025,11364
1 wk ahead,8,2022,NI,quantile,0.25,11814
1 wk ahead,8,2022,NI,quantile,0.5,12256
1 wk ahead,8,2022,NI,quantile,0.75,12771
1 wk ahead,8,2022,NI,quantile,0.975,13800
2 wk ahead,9,2022,NI,point,NA,14468
2 wk ahead,9,2022,NI,quantile,0.025,12492
2 wk ahead,9,2022,NI,quantile,0.25,13251
2 wk ahead,9,2022,NI,quantile,0.5,14468
2 wk ahead,9,2022,NI,quantile,0.75,15889
2 wk ahead,9,2022,NI,quantile,0.975,17426
,,,,,,
1 wk ahead,8,2022,NW,point,NA,46287
1 wk ahead,8,2022,NW,quantile,0.025,43024
1 wk ahead,8,2022,NW,quantile,0.25,45114
1 wk ahead,8,2022,NW,quantile,0.5,46287
1 wk ahead,8,2022,NW,quantile,0.75,47847
1 wk ahead,8,2022,NW,quantile,0.975,55326
2 wk ahead,9,2022,NW,point,NA,39484
2 wk ahead,9,2022,NW,quantile,0.025,17537
2 wk ahead,9,2022,NW,quantile,0.25,33924
2 wk ahead,9,2022,NW,quantile,0.5,39484
2 wk ahead,9,2022,NW,quantile,0.75,46989
2 wk ahead,9,2022,NW,quantile,0.975,72512
,,,,,,
1 wk ahead,8,2022,RP,point,NA,-
1 wk ahead,8,2022,RP,quantile,0.025,-
1 wk ahead,8,2022,RP,quantile,0.25,-
1 wk ahead,8,2022,RP,quantile,0.5,-
1 wk ahead,8,2022,RP,quantile,0.75,-
1 wk ahead,8,2022,RP,quantile,0.975,-
2 wk ahead,9,2022,RP,point,NA,13779
2 wk ahead,9,2022,RP,quantile,0.025,9412
2 wk ahead,9,2022,RP,quantile,0.25,12505
2 wk ahead,9,2022,RP,quantile,0.5,13779
2 wk ahead,9,2022,RP,quantile,0.75,15590
2 wk ahead,9,2022,RP,quantile,0.975,19003
,,,,,,
1 wk ahead,8,2022,SL,point,NA,-
1 wk ahead,8,2022,SL,quantile,0.025,-
1 wk ahead,8,2022,SL,quantile,0.25,-
1 wk ahead,8,2022,SL,quantile,0.5,-
1 wk ahead,8,2022,SL,quantile,0.75,-
1 wk ahead,8,2022,SL,quantile,0.975,-
2 wk ahead,9,2022,SL,point,NA,3132
2 wk ahead,9,2022,SL,quantile,0.025,1976
2 wk ahead,9,2022,SL,quantile,0.25,2773
2 wk ahead,9,2022,SL,quantile,0.5,3132
2 wk ahead,9,2022,SL,quantile,0.75,3581
2 wk ahead,9,2022,SL,quantile,0.975,4554
,,,,,,
1 wk ahead,8,2022,SN,point,NA,-
1 wk ahead,8,2022,SN,quantile,0.025,-
1 wk ahead,8,2022,SN,quantile,0.25,-
1 wk ahead,8,2022,SN,quantile,0.5,-
1 wk ahead,8,2022,SN,quantile,0.75,-
1 wk ahead,8,2022,SN,quantile,0.975,-
2 wk ahead,9,2022,SN,point,NA,11958
2 wk ahead,9,2022,SN,quantile,0.025,7208
2 wk ahead,9,2022,SN,quantile,0.25,10418
2 wk ahead,9,2022,SN,quantile,0.5,11958
2 wk ahead,9,2022,SN,quantile,0.75,14481
2 wk ahead,9,2022,SN,quantile,0.975,17982
,,,,,,
1 wk ahead,8,2022,ST,point,NA,6773
1 wk ahead,8,2022,ST,quantile,0.025,6057
1 wk ahead,8,2022,ST,quantile,0.25,6421
1 wk ahead,8,2022,ST,quantile,0.5,6773
1 wk ahead,8,2022,ST,quantile,0.75,7191
1 wk ahead,8,2022,ST,quantile,0.975,7523
2 wk ahead,9,2022,ST,point,NA,8420
2 wk ahead,9,2022,ST,quantile,0.025,6495
2 wk ahead,9,2022,ST,quantile,0.25,7557
2 wk ahead,9,2022,ST,quantile,0.5,8420
2 wk ahead,9,2022,ST,quantile,0.75,9398
2 wk ahead,9,2022,ST,quantile,0.975,11667
,,,,,,
1 wk ahead,8,2022,SH,point,NA,2912
1 wk ahead,8,2022,SH,quantile,0.025,2453
1 wk ahead,8,2022,SH,quantile,0.25,2772
1 wk ahead,8,2022,SH,quantile,0.5,2912
1 wk ahead,8,2022,SH,quantile,0.75,3023
1 wk ahead,8,2022,SH,quantile,0.975,3150
2 wk ahead,9,2022,SH,point,NA,3398
2 wk ahead,9,2022,SH,quantile,0.025,1831
2 wk ahead,9,2022,SH,quantile,0.25,2784
2 wk ahead,9,2022,SH,quantile,0.5,3398
2 wk ahead,9,2022,SH,quantile,0.75,3957
2 wk ahead,9,2022,SH,quantile,0.975,5296
,,,,,,
1 wk ahead,8,2022,TH,point,NA,4151
1 wk ahead,8,2022,TH,quantile,0.025,3531
1 wk ahead,8,2022,TH,quantile,0.25,3831
1 wk ahead,8,2022,TH,quantile,0.5,4151
1 wk ahead,8,2022,TH,quantile,0.75,4513
1 wk ahead,8,2022,TH,quantile,0.975,5074
2 wk ahead,9,2022,TH,point,NA,4105
2 wk ahead,9,2022,TH,quantile,0.025,2928
2 wk ahead,9,2022,TH,quantile,0.25,3650
2 wk ahead,9,2022,TH,quantile,0.5,4105
2 wk ahead,9,2022,TH,quantile,0.75,4652
2 wk ahead,9,2022,TH,quantile,0.975,5171
