target,target_week,target_year,location,type,quantile,value
1 wk ahead,3,2022,BW,point,NA,830
1 wk ahead,3,2022,BW,quantile,0.025,653
1 wk ahead,3,2022,BW,quantile,0.25,783
1 wk ahead,3,2022,BW,quantile,0.5,830
1 wk ahead,3,2022,BW,quantile,0.75,892
1 wk ahead,3,2022,BW,quantile,0.975,1027
2 wk ahead,4,2022,BW,point,NA,1023
2 wk ahead,4,2022,BW,quantile,0.025,741
2 wk ahead,4,2022,BW,quantile,0.25,924
2 wk ahead,4,2022,BW,quantile,0.5,1023
2 wk ahead,4,2022,BW,quantile,0.75,1168
2 wk ahead,4,2022,BW,quantile,0.975,1379
,,,,,,
1 wk ahead,3,2022,BY,point,NA,1348
1 wk ahead,3,2022,BY,quantile,0.025,949
1 wk ahead,3,2022,BY,quantile,0.25,1242
1 wk ahead,3,2022,BY,quantile,0.5,1348
1 wk ahead,3,2022,BY,quantile,0.75,1481
1 wk ahead,3,2022,BY,quantile,0.975,1754
2 wk ahead,4,2022,BY,point,NA,1715
2 wk ahead,4,2022,BY,quantile,0.025,1123
2 wk ahead,4,2022,BY,quantile,0.25,1482
2 wk ahead,4,2022,BY,quantile,0.5,1715
2 wk ahead,4,2022,BY,quantile,0.75,2005
2 wk ahead,4,2022,BY,quantile,0.975,2333
,,,,,,
1 wk ahead,3,2022,BE,point,NA,1792
1 wk ahead,3,2022,BE,quantile,0.025,1621
1 wk ahead,3,2022,BE,quantile,0.25,1742
1 wk ahead,3,2022,BE,quantile,0.5,1792
1 wk ahead,3,2022,BE,quantile,0.75,1858
1 wk ahead,3,2022,BE,quantile,0.975,2026
2 wk ahead,4,2022,BE,point,NA,1921
2 wk ahead,4,2022,BE,quantile,0.025,1645
2 wk ahead,4,2022,BE,quantile,0.25,1814
2 wk ahead,4,2022,BE,quantile,0.5,1921
2 wk ahead,4,2022,BE,quantile,0.75,2024
2 wk ahead,4,2022,BE,quantile,0.975,2271
,,,,,,
1 wk ahead,3,2022,BB,point,NA,481
1 wk ahead,3,2022,BB,quantile,0.025,416
1 wk ahead,3,2022,BB,quantile,0.25,443
1 wk ahead,3,2022,BB,quantile,0.5,481
1 wk ahead,3,2022,BB,quantile,0.75,536
1 wk ahead,3,2022,BB,quantile,0.975,603
2 wk ahead,4,2022,BB,point,NA,680
2 wk ahead,4,2022,BB,quantile,0.025,462
2 wk ahead,4,2022,BB,quantile,0.25,564
2 wk ahead,4,2022,BB,quantile,0.5,680
2 wk ahead,4,2022,BB,quantile,0.75,792
2 wk ahead,4,2022,BB,quantile,0.975,901
,,,,,,
1 wk ahead,3,2022,HB,point,NA,30
1 wk ahead,3,2022,HB,quantile,0.025,18
1 wk ahead,3,2022,HB,quantile,0.25,22
1 wk ahead,3,2022,HB,quantile,0.5,30
1 wk ahead,3,2022,HB,quantile,0.75,35
1 wk ahead,3,2022,HB,quantile,0.975,38
2 wk ahead,4,2022,HB,point,NA,43
2 wk ahead,4,2022,HB,quantile,0.025,17
2 wk ahead,4,2022,HB,quantile,0.25,30
2 wk ahead,4,2022,HB,quantile,0.5,43
2 wk ahead,4,2022,HB,quantile,0.75,54
2 wk ahead,4,2022,HB,quantile,0.975,63
,,,,,,
1 wk ahead,3,2022,HH,point,NA,250
1 wk ahead,3,2022,HH,quantile,0.025,216
1 wk ahead,3,2022,HH,quantile,0.25,234
1 wk ahead,3,2022,HH,quantile,0.5,250
1 wk ahead,3,2022,HH,quantile,0.75,261
1 wk ahead,3,2022,HH,quantile,0.975,287
2 wk ahead,4,2022,HH,point,NA,338
2 wk ahead,4,2022,HH,quantile,0.025,243
2 wk ahead,4,2022,HH,quantile,0.25,289
2 wk ahead,4,2022,HH,quantile,0.5,338
2 wk ahead,4,2022,HH,quantile,0.75,381
2 wk ahead,4,2022,HH,quantile,0.975,428
,,,,,,
1 wk ahead,3,2022,HE,point,NA,611
1 wk ahead,3,2022,HE,quantile,0.025,476
1 wk ahead,3,2022,HE,quantile,0.25,526
1 wk ahead,3,2022,HE,quantile,0.5,611
1 wk ahead,3,2022,HE,quantile,0.75,679
1 wk ahead,3,2022,HE,quantile,0.975,728
2 wk ahead,4,2022,HE,point,NA,746
2 wk ahead,4,2022,HE,quantile,0.025,494
2 wk ahead,4,2022,HE,quantile,0.25,594
2 wk ahead,4,2022,HE,quantile,0.5,746
2 wk ahead,4,2022,HE,quantile,0.75,858
2 wk ahead,4,2022,HE,quantile,0.975,983
,,,,,,
1 wk ahead,3,2022,MV,point,NA,54
1 wk ahead,3,2022,MV,quantile,0.025,42
1 wk ahead,3,2022,MV,quantile,0.25,46
1 wk ahead,3,2022,MV,quantile,0.5,54
1 wk ahead,3,2022,MV,quantile,0.75,63
1 wk ahead,3,2022,MV,quantile,0.975,74
2 wk ahead,4,2022,MV,point,NA,75
2 wk ahead,4,2022,MV,quantile,0.025,33
2 wk ahead,4,2022,MV,quantile,0.25,48
2 wk ahead,4,2022,MV,quantile,0.5,75
2 wk ahead,4,2022,MV,quantile,0.75,104
2 wk ahead,4,2022,MV,quantile,0.975,119
,,,,,,
1 wk ahead,3,2022,NI,point,NA,335
1 wk ahead,3,2022,NI,quantile,0.025,300
1 wk ahead,3,2022,NI,quantile,0.25,318
1 wk ahead,3,2022,NI,quantile,0.5,335
1 wk ahead,3,2022,NI,quantile,0.75,352
1 wk ahead,3,2022,NI,quantile,0.975,388
2 wk ahead,4,2022,NI,point,NA,474
2 wk ahead,4,2022,NI,quantile,0.025,345
2 wk ahead,4,2022,NI,quantile,0.25,418
2 wk ahead,4,2022,NI,quantile,0.5,474
2 wk ahead,4,2022,NI,quantile,0.75,551
2 wk ahead,4,2022,NI,quantile,0.975,634
,,,,,,
1 wk ahead,3,2022,NW,point,NA,2579
1 wk ahead,3,2022,NW,quantile,0.025,2291
1 wk ahead,3,2022,NW,quantile,0.25,2463
1 wk ahead,3,2022,NW,quantile,0.5,2579
1 wk ahead,3,2022,NW,quantile,0.75,2700
1 wk ahead,3,2022,NW,quantile,0.975,2917
2 wk ahead,4,2022,NW,point,NA,2989
2 wk ahead,4,2022,NW,quantile,0.025,2613
2 wk ahead,4,2022,NW,quantile,0.25,2827
2 wk ahead,4,2022,NW,quantile,0.5,2989
2 wk ahead,4,2022,NW,quantile,0.75,3285
2 wk ahead,4,2022,NW,quantile,0.975,3551
,,,,,,
1 wk ahead,3,2022,RP,point,NA,449
1 wk ahead,3,2022,RP,quantile,0.025,368
1 wk ahead,3,2022,RP,quantile,0.25,425
1 wk ahead,3,2022,RP,quantile,0.5,449
1 wk ahead,3,2022,RP,quantile,0.75,478
1 wk ahead,3,2022,RP,quantile,0.975,541
2 wk ahead,4,2022,RP,point,NA,630
2 wk ahead,4,2022,RP,quantile,0.025,487
2 wk ahead,4,2022,RP,quantile,0.25,558
2 wk ahead,4,2022,RP,quantile,0.5,630
2 wk ahead,4,2022,RP,quantile,0.75,715
2 wk ahead,4,2022,RP,quantile,0.975,828
,,,,,,
1 wk ahead,3,2022,SL,point,NA,108
1 wk ahead,3,2022,SL,quantile,0.025,88
1 wk ahead,3,2022,SL,quantile,0.25,98
1 wk ahead,3,2022,SL,quantile,0.5,108
1 wk ahead,3,2022,SL,quantile,0.75,118
1 wk ahead,3,2022,SL,quantile,0.975,134
2 wk ahead,4,2022,SL,point,NA,158
2 wk ahead,4,2022,SL,quantile,0.025,124
2 wk ahead,4,2022,SL,quantile,0.25,134
2 wk ahead,4,2022,SL,quantile,0.5,158
2 wk ahead,4,2022,SL,quantile,0.75,183
2 wk ahead,4,2022,SL,quantile,0.975,207
,,,,,,
1 wk ahead,3,2022,SN,point,NA,231
1 wk ahead,3,2022,SN,quantile,0.025,126
1 wk ahead,3,2022,SN,quantile,0.25,172
1 wk ahead,3,2022,SN,quantile,0.5,231
1 wk ahead,3,2022,SN,quantile,0.75,285
1 wk ahead,3,2022,SN,quantile,0.975,715
2 wk ahead,4,2022,SN,point,NA,335
2 wk ahead,4,2022,SN,quantile,0.025,0
2 wk ahead,4,2022,SN,quantile,0.25,215
2 wk ahead,4,2022,SN,quantile,0.5,335
2 wk ahead,4,2022,SN,quantile,0.75,565
2 wk ahead,4,2022,SN,quantile,0.975,1061
,,,,,,
1 wk ahead,3,2022,ST,point,NA,125
1 wk ahead,3,2022,ST,quantile,0.025,56
1 wk ahead,3,2022,ST,quantile,0.25,101
1 wk ahead,3,2022,ST,quantile,0.5,125
1 wk ahead,3,2022,ST,quantile,0.75,150
1 wk ahead,3,2022,ST,quantile,0.975,205
2 wk ahead,4,2022,ST,point,NA,290
2 wk ahead,4,2022,ST,quantile,0.025,159
2 wk ahead,4,2022,ST,quantile,0.25,199
2 wk ahead,4,2022,ST,quantile,0.5,290
2 wk ahead,4,2022,ST,quantile,0.75,378
2 wk ahead,4,2022,ST,quantile,0.975,437
,,,,,,
1 wk ahead,3,2022,SH,point,NA,259
1 wk ahead,3,2022,SH,quantile,0.025,127
1 wk ahead,3,2022,SH,quantile,0.25,202
1 wk ahead,3,2022,SH,quantile,0.5,259
1 wk ahead,3,2022,SH,quantile,0.75,311
1 wk ahead,3,2022,SH,quantile,0.975,381
2 wk ahead,4,2022,SH,point,NA,293
2 wk ahead,4,2022,SH,quantile,0.025,71
2 wk ahead,4,2022,SH,quantile,0.25,192
2 wk ahead,4,2022,SH,quantile,0.5,293
2 wk ahead,4,2022,SH,quantile,0.75,400
2 wk ahead,4,2022,SH,quantile,0.975,536
,,,,,,
1 wk ahead,3,2022,TH,point,NA,89
1 wk ahead,3,2022,TH,quantile,0.025,35
1 wk ahead,3,2022,TH,quantile,0.25,65
1 wk ahead,3,2022,TH,quantile,0.5,89
1 wk ahead,3,2022,TH,quantile,0.75,116
1 wk ahead,3,2022,TH,quantile,0.975,162
2 wk ahead,4,2022,TH,point,NA,110
2 wk ahead,4,2022,TH,quantile,0.025,3
2 wk ahead,4,2022,TH,quantile,0.25,50
2 wk ahead,4,2022,TH,quantile,0.5,110
2 wk ahead,4,2022,TH,quantile,0.75,179
2 wk ahead,4,2022,TH,quantile,0.975,265
