target,target_week,target_year,location,type,quantile,value
1 wk ahead,50,2021,BW,point,NA,8853
1 wk ahead,50,2021,BW,quantile,0.025,7812
1 wk ahead,50,2021,BW,quantile,0.25,8709
1 wk ahead,50,2021,BW,quantile,0.5,8853
1 wk ahead,50,2021,BW,quantile,0.75,9096
1 wk ahead,50,2021,BW,quantile,0.975,10160
2 wk ahead,51,2021,BW,point,NA,7285
2 wk ahead,51,2021,BW,quantile,0.025,4958
2 wk ahead,51,2021,BW,quantile,0.25,6624
2 wk ahead,51,2021,BW,quantile,0.5,7285
2 wk ahead,51,2021,BW,quantile,0.75,8062
2 wk ahead,51,2021,BW,quantile,0.975,10020
,,,,,,
1 wk ahead,50,2021,BY,point,NA,19079
1 wk ahead,50,2021,BY,quantile,0.025,17675
1 wk ahead,50,2021,BY,quantile,0.25,18628
1 wk ahead,50,2021,BY,quantile,0.5,19079
1 wk ahead,50,2021,BY,quantile,0.75,19610
1 wk ahead,50,2021,BY,quantile,0.975,20262
2 wk ahead,51,2021,BY,point,NA,14533
2 wk ahead,51,2021,BY,quantile,0.025,11512
2 wk ahead,51,2021,BY,quantile,0.25,13886
2 wk ahead,51,2021,BY,quantile,0.5,14533
2 wk ahead,51,2021,BY,quantile,0.75,15629
2 wk ahead,51,2021,BY,quantile,0.975,17883
,,,,,,
1 wk ahead,50,2021,BE,point,NA,4191
1 wk ahead,50,2021,BE,quantile,0.025,3327
1 wk ahead,50,2021,BE,quantile,0.25,4126
1 wk ahead,50,2021,BE,quantile,0.5,4191
1 wk ahead,50,2021,BE,quantile,0.75,4268
1 wk ahead,50,2021,BE,quantile,0.975,4964
2 wk ahead,51,2021,BE,point,NA,3612
2 wk ahead,51,2021,BE,quantile,0.025,2432
2 wk ahead,51,2021,BE,quantile,0.25,2980
2 wk ahead,51,2021,BE,quantile,0.5,3612
2 wk ahead,51,2021,BE,quantile,0.75,4269
2 wk ahead,51,2021,BE,quantile,0.975,5875
,,,,,,
1 wk ahead,50,2021,BB,point,NA,5214
1 wk ahead,50,2021,BB,quantile,0.025,4768
1 wk ahead,50,2021,BB,quantile,0.25,5165
1 wk ahead,50,2021,BB,quantile,0.5,5214
1 wk ahead,50,2021,BB,quantile,0.75,5314
1 wk ahead,50,2021,BB,quantile,0.975,6173
2 wk ahead,51,2021,BB,point,NA,4844
2 wk ahead,51,2021,BB,quantile,0.025,3377
2 wk ahead,51,2021,BB,quantile,0.25,4611
2 wk ahead,51,2021,BB,quantile,0.5,4844
2 wk ahead,51,2021,BB,quantile,0.75,5152
2 wk ahead,51,2021,BB,quantile,0.975,6543
,,,,,,
1 wk ahead,50,2021,HB,point,NA,285
1 wk ahead,50,2021,HB,quantile,0.025,176
1 wk ahead,50,2021,HB,quantile,0.25,247
1 wk ahead,50,2021,HB,quantile,0.5,285
1 wk ahead,50,2021,HB,quantile,0.75,312
1 wk ahead,50,2021,HB,quantile,0.975,449
2 wk ahead,51,2021,HB,point,NA,262
2 wk ahead,51,2021,HB,quantile,0.025,35
2 wk ahead,51,2021,HB,quantile,0.25,185
2 wk ahead,51,2021,HB,quantile,0.5,262
2 wk ahead,51,2021,HB,quantile,0.75,355
2 wk ahead,51,2021,HB,quantile,0.975,523
,,,,,,
1 wk ahead,50,2021,HH,point,NA,864
1 wk ahead,50,2021,HH,quantile,0.025,685
1 wk ahead,50,2021,HH,quantile,0.25,808
1 wk ahead,50,2021,HH,quantile,0.5,864
1 wk ahead,50,2021,HH,quantile,0.75,926
1 wk ahead,50,2021,HH,quantile,0.975,1066
2 wk ahead,51,2021,HH,point,NA,797
2 wk ahead,51,2021,HH,quantile,0.025,553
2 wk ahead,51,2021,HH,quantile,0.25,700
2 wk ahead,51,2021,HH,quantile,0.5,797
2 wk ahead,51,2021,HH,quantile,0.75,910
2 wk ahead,51,2021,HH,quantile,0.975,1173
,,,,,,
1 wk ahead,50,2021,HE,point,NA,2940
1 wk ahead,50,2021,HE,quantile,0.025,2113
1 wk ahead,50,2021,HE,quantile,0.25,2808
1 wk ahead,50,2021,HE,quantile,0.5,2940
1 wk ahead,50,2021,HE,quantile,0.75,3039
1 wk ahead,50,2021,HE,quantile,0.975,3691
2 wk ahead,51,2021,HE,point,NA,2630
2 wk ahead,51,2021,HE,quantile,0.025,1374
2 wk ahead,51,2021,HE,quantile,0.25,2156
2 wk ahead,51,2021,HE,quantile,0.5,2630
2 wk ahead,51,2021,HE,quantile,0.75,3163
2 wk ahead,51,2021,HE,quantile,0.975,5515
,,,,,,
1 wk ahead,50,2021,MV,point,NA,749
1 wk ahead,50,2021,MV,quantile,0.025,645
1 wk ahead,50,2021,MV,quantile,0.25,715
1 wk ahead,50,2021,MV,quantile,0.5,749
1 wk ahead,50,2021,MV,quantile,0.75,796
1 wk ahead,50,2021,MV,quantile,0.975,856
2 wk ahead,51,2021,MV,point,NA,679
2 wk ahead,51,2021,MV,quantile,0.025,502
2 wk ahead,51,2021,MV,quantile,0.25,599
2 wk ahead,51,2021,MV,quantile,0.5,679
2 wk ahead,51,2021,MV,quantile,0.75,765
2 wk ahead,51,2021,MV,quantile,0.975,871
,,,,,,
1 wk ahead,50,2021,NI,point,NA,3096
1 wk ahead,50,2021,NI,quantile,0.025,2353
1 wk ahead,50,2021,NI,quantile,0.25,2960
1 wk ahead,50,2021,NI,quantile,0.5,3096
1 wk ahead,50,2021,NI,quantile,0.75,3230
1 wk ahead,50,2021,NI,quantile,0.975,3604
2 wk ahead,51,2021,NI,point,NA,2837
2 wk ahead,51,2021,NI,quantile,0.025,1746
2 wk ahead,51,2021,NI,quantile,0.25,2434
2 wk ahead,51,2021,NI,quantile,0.5,2837
2 wk ahead,51,2021,NI,quantile,0.75,3353
2 wk ahead,51,2021,NI,quantile,0.975,3931
,,,,,,
1 wk ahead,50,2021,NW,point,NA,16896
1 wk ahead,50,2021,NW,quantile,0.025,13928
1 wk ahead,50,2021,NW,quantile,0.25,16246
1 wk ahead,50,2021,NW,quantile,0.5,16896
1 wk ahead,50,2021,NW,quantile,0.75,17512
1 wk ahead,50,2021,NW,quantile,0.975,19919
2 wk ahead,51,2021,NW,point,NA,15554
2 wk ahead,51,2021,NW,quantile,0.025,10632
2 wk ahead,51,2021,NW,quantile,0.25,14161
2 wk ahead,51,2021,NW,quantile,0.5,15554
2 wk ahead,51,2021,NW,quantile,0.75,17237
2 wk ahead,51,2021,NW,quantile,0.975,22121
,,,,,,
1 wk ahead,50,2021,RP,point,NA,5391
1 wk ahead,50,2021,RP,quantile,0.025,4607
1 wk ahead,50,2021,RP,quantile,0.25,5147
1 wk ahead,50,2021,RP,quantile,0.5,5391
1 wk ahead,50,2021,RP,quantile,0.75,5682
1 wk ahead,50,2021,RP,quantile,0.975,6166
2 wk ahead,51,2021,RP,point,NA,4543
2 wk ahead,51,2021,RP,quantile,0.025,3363
2 wk ahead,51,2021,RP,quantile,0.25,4100
2 wk ahead,51,2021,RP,quantile,0.5,4543
2 wk ahead,51,2021,RP,quantile,0.75,5165
2 wk ahead,51,2021,RP,quantile,0.975,6065
,,,,,,
1 wk ahead,50,2021,SL,point,NA,730
1 wk ahead,50,2021,SL,quantile,0.025,547
1 wk ahead,50,2021,SL,quantile,0.25,670
1 wk ahead,50,2021,SL,quantile,0.5,730
1 wk ahead,50,2021,SL,quantile,0.75,804
1 wk ahead,50,2021,SL,quantile,0.975,870
2 wk ahead,51,2021,SL,point,NA,623
2 wk ahead,51,2021,SL,quantile,0.025,319
2 wk ahead,51,2021,SL,quantile,0.25,470
2 wk ahead,51,2021,SL,quantile,0.5,623
2 wk ahead,51,2021,SL,quantile,0.75,781
2 wk ahead,51,2021,SL,quantile,0.975,1147
,,,,,,
1 wk ahead,50,2021,SN,point,NA,8234
1 wk ahead,50,2021,SN,quantile,0.025,6950
1 wk ahead,50,2021,SN,quantile,0.25,7917
1 wk ahead,50,2021,SN,quantile,0.5,8234
1 wk ahead,50,2021,SN,quantile,0.75,8656
1 wk ahead,50,2021,SN,quantile,0.975,10903
2 wk ahead,51,2021,SN,point,NA,7870
2 wk ahead,51,2021,SN,quantile,0.025,4283
2 wk ahead,51,2021,SN,quantile,0.25,7142
2 wk ahead,51,2021,SN,quantile,0.5,7870
2 wk ahead,51,2021,SN,quantile,0.75,8800
2 wk ahead,51,2021,SN,quantile,0.975,14020
,,,,,,
1 wk ahead,50,2021,ST,point,NA,4960
1 wk ahead,50,2021,ST,quantile,0.025,4477
1 wk ahead,50,2021,ST,quantile,0.25,4843
1 wk ahead,50,2021,ST,quantile,0.5,4960
1 wk ahead,50,2021,ST,quantile,0.75,5164
1 wk ahead,50,2021,ST,quantile,0.975,5451
2 wk ahead,51,2021,ST,point,NA,3306
2 wk ahead,51,2021,ST,quantile,0.025,1975
2 wk ahead,51,2021,ST,quantile,0.25,2889
2 wk ahead,51,2021,ST,quantile,0.5,3306
2 wk ahead,51,2021,ST,quantile,0.75,3810
2 wk ahead,51,2021,ST,quantile,0.975,5610
,,,,,,
1 wk ahead,50,2021,SH,point,NA,833
1 wk ahead,50,2021,SH,quantile,0.025,613
1 wk ahead,50,2021,SH,quantile,0.25,752
1 wk ahead,50,2021,SH,quantile,0.5,833
1 wk ahead,50,2021,SH,quantile,0.75,883
1 wk ahead,50,2021,SH,quantile,0.975,992
2 wk ahead,51,2021,SH,point,NA,886
2 wk ahead,51,2021,SH,quantile,0.025,566
2 wk ahead,51,2021,SH,quantile,0.25,710
2 wk ahead,51,2021,SH,quantile,0.5,886
2 wk ahead,51,2021,SH,quantile,0.75,1022
2 wk ahead,51,2021,SH,quantile,0.975,1162
,,,,,,
1 wk ahead,50,2021,TH,point,NA,2889
1 wk ahead,50,2021,TH,quantile,0.025,2528
1 wk ahead,50,2021,TH,quantile,0.25,2848
1 wk ahead,50,2021,TH,quantile,0.5,2889
1 wk ahead,50,2021,TH,quantile,0.75,2962
1 wk ahead,50,2021,TH,quantile,0.975,3219
2 wk ahead,51,2021,TH,point,NA,2843
2 wk ahead,51,2021,TH,quantile,0.025,1945
2 wk ahead,51,2021,TH,quantile,0.25,2700
2 wk ahead,51,2021,TH,quantile,0.5,2843
2 wk ahead,51,2021,TH,quantile,0.75,3040
2 wk ahead,51,2021,TH,quantile,0.975,3511
