target,target_week,target_year,location,type,quantile,value
1 wk ahead,2,2022,BW,point,NA,4374
1 wk ahead,2,2022,BW,quantile,0.025,3197
1 wk ahead,2,2022,BW,quantile,0.25,4029
1 wk ahead,2,2022,BW,quantile,0.5,4374
1 wk ahead,2,2022,BW,quantile,0.75,4718
1 wk ahead,2,2022,BW,quantile,0.975,6684
2 wk ahead,3,2022,BW,point,NA,8553
2 wk ahead,3,2022,BW,quantile,0.025,5245
2 wk ahead,3,2022,BW,quantile,0.25,7907
2 wk ahead,3,2022,BW,quantile,0.5,8553
2 wk ahead,3,2022,BW,quantile,0.75,9443
2 wk ahead,3,2022,BW,quantile,0.975,11894
,,,,,,
1 wk ahead,2,2022,BY,point,NA,12797
1 wk ahead,2,2022,BY,quantile,0.025,10695
1 wk ahead,2,2022,BY,quantile,0.25,12248
1 wk ahead,2,2022,BY,quantile,0.5,12797
1 wk ahead,2,2022,BY,quantile,0.75,13484
1 wk ahead,2,2022,BY,quantile,0.975,15345
2 wk ahead,3,2022,BY,point,NA,22584
2 wk ahead,3,2022,BY,quantile,0.025,15871
2 wk ahead,3,2022,BY,quantile,0.25,21060
2 wk ahead,3,2022,BY,quantile,0.5,22584
2 wk ahead,3,2022,BY,quantile,0.75,23496
2 wk ahead,3,2022,BY,quantile,0.975,26268
,,,,,,
1 wk ahead,2,2022,BE,point,NA,5003
1 wk ahead,2,2022,BE,quantile,0.025,3705
1 wk ahead,2,2022,BE,quantile,0.25,4837
1 wk ahead,2,2022,BE,quantile,0.5,5003
1 wk ahead,2,2022,BE,quantile,0.75,5260
1 wk ahead,2,2022,BE,quantile,0.975,6631
2 wk ahead,3,2022,BE,point,NA,8349
2 wk ahead,3,2022,BE,quantile,0.025,5372
2 wk ahead,3,2022,BE,quantile,0.25,7517
2 wk ahead,3,2022,BE,quantile,0.5,8349
2 wk ahead,3,2022,BE,quantile,0.75,9292
2 wk ahead,3,2022,BE,quantile,0.975,10737
,,,,,,
1 wk ahead,2,2022,BB,point,NA,3353
1 wk ahead,2,2022,BB,quantile,0.025,2908
1 wk ahead,2,2022,BB,quantile,0.25,3332
1 wk ahead,2,2022,BB,quantile,0.5,3353
1 wk ahead,2,2022,BB,quantile,0.75,3420
1 wk ahead,2,2022,BB,quantile,0.975,4917
2 wk ahead,3,2022,BB,point,NA,4490
2 wk ahead,3,2022,BB,quantile,0.025,3352
2 wk ahead,3,2022,BB,quantile,0.25,4444
2 wk ahead,3,2022,BB,quantile,0.5,4490
2 wk ahead,3,2022,BB,quantile,0.75,4589
2 wk ahead,3,2022,BB,quantile,0.975,6345
,,,,,,
1 wk ahead,2,2022,HB,point,NA,317
1 wk ahead,2,2022,HB,quantile,0.025,178
1 wk ahead,2,2022,HB,quantile,0.25,275
1 wk ahead,2,2022,HB,quantile,0.5,317
1 wk ahead,2,2022,HB,quantile,0.75,372
1 wk ahead,2,2022,HB,quantile,0.975,481
2 wk ahead,3,2022,HB,point,NA,503
2 wk ahead,3,2022,HB,quantile,0.025,254
2 wk ahead,3,2022,HB,quantile,0.25,430
2 wk ahead,3,2022,HB,quantile,0.5,503
2 wk ahead,3,2022,HB,quantile,0.75,602
2 wk ahead,3,2022,HB,quantile,0.975,783
,,,,,,
1 wk ahead,2,2022,HH,point,NA,4135
1 wk ahead,2,2022,HH,quantile,0.025,3865
1 wk ahead,2,2022,HH,quantile,0.25,4076
1 wk ahead,2,2022,HH,quantile,0.5,4135
1 wk ahead,2,2022,HH,quantile,0.75,4205
1 wk ahead,2,2022,HH,quantile,0.975,4448
2 wk ahead,3,2022,HH,point,NA,5002
2 wk ahead,3,2022,HH,quantile,0.025,4466
2 wk ahead,3,2022,HH,quantile,0.25,4892
2 wk ahead,3,2022,HH,quantile,0.5,5002
2 wk ahead,3,2022,HH,quantile,0.75,5133
2 wk ahead,3,2022,HH,quantile,0.975,5617
,,,,,,
