target,target_week,target_year,location,type,quantile,value
1 wk ahead,48,2021,BW,point,NA,961
1 wk ahead,48,2021,BW,quantile,0.025,856
1 wk ahead,48,2021,BW,quantile,0.25,912
1 wk ahead,48,2021,BW,quantile,0.5,961
1 wk ahead,48,2021,BW,quantile,0.75,979
1 wk ahead,48,2021,BW,quantile,0.975,1012
2 wk ahead,49,2021,BW,point,NA,977
2 wk ahead,49,2021,BW,quantile,0.025,754
2 wk ahead,49,2021,BW,quantile,0.25,895
2 wk ahead,49,2021,BW,quantile,0.5,977
2 wk ahead,49,2021,BW,quantile,0.75,1027
2 wk ahead,49,2021,BW,quantile,0.975,1131
,,,,,,
1 wk ahead,48,2021,BY,point,NA,1619
1 wk ahead,48,2021,BY,quantile,0.025,1477
1 wk ahead,48,2021,BY,quantile,0.25,1567
1 wk ahead,48,2021,BY,quantile,0.5,1619
1 wk ahead,48,2021,BY,quantile,0.75,1667
1 wk ahead,48,2021,BY,quantile,0.975,1768
2 wk ahead,49,2021,BY,point,NA,1436
2 wk ahead,49,2021,BY,quantile,0.025,1209
2 wk ahead,49,2021,BY,quantile,0.25,1342
2 wk ahead,49,2021,BY,quantile,0.5,1436
2 wk ahead,49,2021,BY,quantile,0.75,1513
2 wk ahead,49,2021,BY,quantile,0.975,1664
,,,,,,
1 wk ahead,48,2021,BE,point,NA,507
1 wk ahead,48,2021,BE,quantile,0.025,477
1 wk ahead,48,2021,BE,quantile,0.25,500
1 wk ahead,48,2021,BE,quantile,0.5,507
1 wk ahead,48,2021,BE,quantile,0.75,514
1 wk ahead,48,2021,BE,quantile,0.975,583
2 wk ahead,49,2021,BE,point,NA,411
2 wk ahead,49,2021,BE,quantile,0.025,280
2 wk ahead,49,2021,BE,quantile,0.25,372
2 wk ahead,49,2021,BE,quantile,0.5,411
2 wk ahead,49,2021,BE,quantile,0.75,445
2 wk ahead,49,2021,BE,quantile,0.975,541
,,,,,,
1 wk ahead,48,2021,BB,point,NA,441
1 wk ahead,48,2021,BB,quantile,0.025,412
1 wk ahead,48,2021,BB,quantile,0.25,426
1 wk ahead,48,2021,BB,quantile,0.5,441
1 wk ahead,48,2021,BB,quantile,0.75,452
1 wk ahead,48,2021,BB,quantile,0.975,469
2 wk ahead,49,2021,BB,point,NA,351
2 wk ahead,49,2021,BB,quantile,0.025,298
2 wk ahead,49,2021,BB,quantile,0.25,318
2 wk ahead,49,2021,BB,quantile,0.5,351
2 wk ahead,49,2021,BB,quantile,0.75,373
2 wk ahead,49,2021,BB,quantile,0.975,409
,,,,,,
1 wk ahead,48,2021,HB,point,NA,23
1 wk ahead,48,2021,HB,quantile,0.025,18
1 wk ahead,48,2021,HB,quantile,0.25,19
1 wk ahead,48,2021,HB,quantile,0.5,23
1 wk ahead,48,2021,HB,quantile,0.75,25
1 wk ahead,48,2021,HB,quantile,0.975,29
2 wk ahead,49,2021,HB,point,NA,25
2 wk ahead,49,2021,HB,quantile,0.025,14
2 wk ahead,49,2021,HB,quantile,0.25,19
2 wk ahead,49,2021,HB,quantile,0.5,25
2 wk ahead,49,2021,HB,quantile,0.75,30
2 wk ahead,49,2021,HB,quantile,0.975,42
,,,,,,
1 wk ahead,48,2021,HH,point,NA,64
1 wk ahead,48,2021,HH,quantile,0.025,54
1 wk ahead,48,2021,HH,quantile,0.25,60
1 wk ahead,48,2021,HH,quantile,0.5,64
1 wk ahead,48,2021,HH,quantile,0.75,67
1 wk ahead,48,2021,HH,quantile,0.975,74
2 wk ahead,49,2021,HH,point,NA,65
2 wk ahead,49,2021,HH,quantile,0.025,50
2 wk ahead,49,2021,HH,quantile,0.25,55
2 wk ahead,49,2021,HH,quantile,0.5,65
2 wk ahead,49,2021,HH,quantile,0.75,73
2 wk ahead,49,2021,HH,quantile,0.975,84
,,,,,,
1 wk ahead,48,2021,HE,point,NA,23
1 wk ahead,48,2021,HE,quantile,0.025,3
1 wk ahead,48,2021,HE,quantile,0.25,17
1 wk ahead,48,2021,HE,quantile,0.5,23
1 wk ahead,48,2021,HE,quantile,0.75,34
1 wk ahead,48,2021,HE,quantile,0.975,50
2 wk ahead,49,2021,HE,point,NA,24
2 wk ahead,49,2021,HE,quantile,0.025,0
2 wk ahead,49,2021,HE,quantile,0.25,0
2 wk ahead,49,2021,HE,quantile,0.5,24
2 wk ahead,49,2021,HE,quantile,0.75,71
2 wk ahead,49,2021,HE,quantile,0.975,105
,,,,,,
1 wk ahead,48,2021,MV,point,NA,37
1 wk ahead,48,2021,MV,quantile,0.025,25
1 wk ahead,48,2021,MV,quantile,0.25,31
1 wk ahead,48,2021,MV,quantile,0.5,37
1 wk ahead,48,2021,MV,quantile,0.75,41
1 wk ahead,48,2021,MV,quantile,0.975,46
2 wk ahead,49,2021,MV,point,NA,40
2 wk ahead,49,2021,MV,quantile,0.025,13
2 wk ahead,49,2021,MV,quantile,0.25,25
2 wk ahead,49,2021,MV,quantile,0.5,40
2 wk ahead,49,2021,MV,quantile,0.75,51
2 wk ahead,49,2021,MV,quantile,0.975,59
,,,,,,
1 wk ahead,48,2021,NI,point,NA,261
1 wk ahead,48,2021,NI,quantile,0.025,231
1 wk ahead,48,2021,NI,quantile,0.25,244
1 wk ahead,48,2021,NI,quantile,0.5,261
1 wk ahead,48,2021,NI,quantile,0.75,275
1 wk ahead,48,2021,NI,quantile,0.975,289
2 wk ahead,49,2021,NI,point,NA,289
2 wk ahead,49,2021,NI,quantile,0.025,245
2 wk ahead,49,2021,NI,quantile,0.25,260
2 wk ahead,49,2021,NI,quantile,0.5,289
2 wk ahead,49,2021,NI,quantile,0.75,311
2 wk ahead,49,2021,NI,quantile,0.975,336
,,,,,,
1 wk ahead,48,2021,NW,point,NA,1236
1 wk ahead,48,2021,NW,quantile,0.025,1105
1 wk ahead,48,2021,NW,quantile,0.25,1177
1 wk ahead,48,2021,NW,quantile,0.5,1236
1 wk ahead,48,2021,NW,quantile,0.75,1269
1 wk ahead,48,2021,NW,quantile,0.975,1325
2 wk ahead,49,2021,NW,point,NA,1381
2 wk ahead,49,2021,NW,quantile,0.025,1159
2 wk ahead,49,2021,NW,quantile,0.25,1280
2 wk ahead,49,2021,NW,quantile,0.5,1381
2 wk ahead,49,2021,NW,quantile,0.75,1471
2 wk ahead,49,2021,NW,quantile,0.975,1523
,,,,,,
1 wk ahead,48,2021,RP,point,NA,456
1 wk ahead,48,2021,RP,quantile,0.025,431
1 wk ahead,48,2021,RP,quantile,0.25,442
1 wk ahead,48,2021,RP,quantile,0.5,456
1 wk ahead,48,2021,RP,quantile,0.75,470
1 wk ahead,48,2021,RP,quantile,0.975,487
2 wk ahead,49,2021,RP,point,NA,482
2 wk ahead,49,2021,RP,quantile,0.025,441
2 wk ahead,49,2021,RP,quantile,0.25,453
2 wk ahead,49,2021,RP,quantile,0.5,482
2 wk ahead,49,2021,RP,quantile,0.75,506
2 wk ahead,49,2021,RP,quantile,0.975,528
,,,,,,
1 wk ahead,48,2021,SL,point,NA,98
1 wk ahead,48,2021,SL,quantile,0.025,89
1 wk ahead,48,2021,SL,quantile,0.25,94
1 wk ahead,48,2021,SL,quantile,0.5,98
1 wk ahead,48,2021,SL,quantile,0.75,102
1 wk ahead,48,2021,SL,quantile,0.975,108
2 wk ahead,49,2021,SL,point,NA,101
2 wk ahead,49,2021,SL,quantile,0.025,74
2 wk ahead,49,2021,SL,quantile,0.25,91
2 wk ahead,49,2021,SL,quantile,0.5,101
2 wk ahead,49,2021,SL,quantile,0.75,109
2 wk ahead,49,2021,SL,quantile,0.975,125
,,,,,,
1 wk ahead,48,2021,SN,point,NA,858
1 wk ahead,48,2021,SN,quantile,0.025,735
1 wk ahead,48,2021,SN,quantile,0.25,800
1 wk ahead,48,2021,SN,quantile,0.5,858
1 wk ahead,48,2021,SN,quantile,0.75,910
1 wk ahead,48,2021,SN,quantile,0.975,1005
2 wk ahead,49,2021,SN,point,NA,424
2 wk ahead,49,2021,SN,quantile,0.025,176
2 wk ahead,49,2021,SN,quantile,0.25,325
2 wk ahead,49,2021,SN,quantile,0.5,424
2 wk ahead,49,2021,SN,quantile,0.75,516
2 wk ahead,49,2021,SN,quantile,0.975,730
,,,,,,
1 wk ahead,48,2021,ST,point,NA,561
1 wk ahead,48,2021,ST,quantile,0.025,540
1 wk ahead,48,2021,ST,quantile,0.25,551
1 wk ahead,48,2021,ST,quantile,0.5,561
1 wk ahead,48,2021,ST,quantile,0.75,570
1 wk ahead,48,2021,ST,quantile,0.975,597
2 wk ahead,49,2021,ST,point,NA,410
2 wk ahead,49,2021,ST,quantile,0.025,374
2 wk ahead,49,2021,ST,quantile,0.25,390
2 wk ahead,49,2021,ST,quantile,0.5,410
2 wk ahead,49,2021,ST,quantile,0.75,427
2 wk ahead,49,2021,ST,quantile,0.975,474
,,,,,,
1 wk ahead,48,2021,SH,point,NA,52
1 wk ahead,48,2021,SH,quantile,0.025,41
1 wk ahead,48,2021,SH,quantile,0.25,47
1 wk ahead,48,2021,SH,quantile,0.5,52
1 wk ahead,48,2021,SH,quantile,0.75,56
1 wk ahead,48,2021,SH,quantile,0.975,62
2 wk ahead,49,2021,SH,point,NA,68
2 wk ahead,49,2021,SH,quantile,0.025,40
2 wk ahead,49,2021,SH,quantile,0.25,56
2 wk ahead,49,2021,SH,quantile,0.5,68
2 wk ahead,49,2021,SH,quantile,0.75,79
2 wk ahead,49,2021,SH,quantile,0.975,87
,,,,,,
1 wk ahead,48,2021,TH,point,NA,236
1 wk ahead,48,2021,TH,quantile,0.025,210
1 wk ahead,48,2021,TH,quantile,0.25,225
1 wk ahead,48,2021,TH,quantile,0.5,236
1 wk ahead,48,2021,TH,quantile,0.75,244
1 wk ahead,48,2021,TH,quantile,0.975,264
2 wk ahead,49,2021,TH,point,NA,260
2 wk ahead,49,2021,TH,quantile,0.025,210
2 wk ahead,49,2021,TH,quantile,0.25,241
2 wk ahead,49,2021,TH,quantile,0.5,260
2 wk ahead,49,2021,TH,quantile,0.75,274
2 wk ahead,49,2021,TH,quantile,0.975,310
