target,target_week,location,type,quantile,value
1 wk ahead,35,BW,point,NA,-
1 wk ahead,35,BW,quantile,0.025,-
1 wk ahead,35,BW,quantile,0.25,-
1 wk ahead,35,BW,quantile,0.5,-
1 wk ahead,35,BW,quantile,0.75,-
1 wk ahead,35,BW,quantile,0.975,-
2 wk ahead,36,BW,point,NA,325
2 wk ahead,36,BW,quantile,0.025,28
2 wk ahead,36,BW,quantile,0.25,209
2 wk ahead,36,BW,quantile,0.5,325
2 wk ahead,36,BW,quantile,0.75,434
2 wk ahead,36,BW,quantile,0.975,594
1 wk ahead,35,BY,point,NA,-
1 wk ahead,35,BY,quantile,0.025,-
1 wk ahead,35,BY,quantile,0.25,-
1 wk ahead,35,BY,quantile,0.5,-
1 wk ahead,35,BY,quantile,0.75,-
1 wk ahead,35,BY,quantile,0.975,-
2 wk ahead,36,BY,point,NA,493
2 wk ahead,36,BY,quantile,0.025,170
2 wk ahead,36,BY,quantile,0.25,280
2 wk ahead,36,BY,quantile,0.5,493
2 wk ahead,36,BY,quantile,0.75,900
2 wk ahead,36,BY,quantile,0.975,1412
1 wk ahead,35,BE,point,NA,1079
1 wk ahead,35,BE,quantile,0.025,977
1 wk ahead,35,BE,quantile,0.25,1029
1 wk ahead,35,BE,quantile,0.5,1079
1 wk ahead,35,BE,quantile,0.75,1158
1 wk ahead,35,BE,quantile,0.975,1244
2 wk ahead,36,BE,point,NA,1101
2 wk ahead,36,BE,quantile,0.025,851
2 wk ahead,36,BE,quantile,0.25,1010
2 wk ahead,36,BE,quantile,0.5,1101
2 wk ahead,36,BE,quantile,0.75,1210
2 wk ahead,36,BE,quantile,0.975,1347
1 wk ahead,35,BB,point,NA,321
1 wk ahead,35,BB,quantile,0.025,253
1 wk ahead,35,BB,quantile,0.25,299
1 wk ahead,35,BB,quantile,0.5,321
1 wk ahead,35,BB,quantile,0.75,346
1 wk ahead,35,BB,quantile,0.975,394
2 wk ahead,36,BB,point,NA,346
2 wk ahead,36,BB,quantile,0.025,201
2 wk ahead,36,BB,quantile,0.25,276
2 wk ahead,36,BB,quantile,0.5,346
2 wk ahead,36,BB,quantile,0.75,423
2 wk ahead,36,BB,quantile,0.975,524
1 wk ahead,35,HB,point,NA,-
1 wk ahead,35,HB,quantile,0.025,-
1 wk ahead,35,HB,quantile,0.25,-
1 wk ahead,35,HB,quantile,0.5,-
1 wk ahead,35,HB,quantile,0.75,-
1 wk ahead,35,HB,quantile,0.975,-
2 wk ahead,36,HB,point,NA,30
2 wk ahead,36,HB,quantile,0.025,0
2 wk ahead,36,HB,quantile,0.25,10
2 wk ahead,36,HB,quantile,0.5,30
2 wk ahead,36,HB,quantile,0.75,55
2 wk ahead,36,HB,quantile,0.975,77
