target,target_week,target_year,location,type,quantile,value
1 wk ahead,51,2021,BW,point,NA,6743
1 wk ahead,51,2021,BW,quantile,0.025,5554
1 wk ahead,51,2021,BW,quantile,0.25,6453
1 wk ahead,51,2021,BW,quantile,0.5,6743
1 wk ahead,51,2021,BW,quantile,0.75,7088
1 wk ahead,51,2021,BW,quantile,0.975,8808
2 wk ahead,52,2021,BW,point,NA,-
2 wk ahead,52,2021,BW,quantile,0.025,-
2 wk ahead,52,2021,BW,quantile,0.25,-
2 wk ahead,52,2021,BW,quantile,0.5,-
2 wk ahead,52,2021,BW,quantile,0.75,-
2 wk ahead,52,2021,BW,quantile,0.975,-
,,,,,,
1 wk ahead,51,2021,BY,point,NA,13293
1 wk ahead,51,2021,BY,quantile,0.025,11263
1 wk ahead,51,2021,BY,quantile,0.25,12830
1 wk ahead,51,2021,BY,quantile,0.5,13293
1 wk ahead,51,2021,BY,quantile,0.75,13814
1 wk ahead,51,2021,BY,quantile,0.975,15419
2 wk ahead,52,2021,BY,point,NA,-
2 wk ahead,52,2021,BY,quantile,0.025,-
2 wk ahead,52,2021,BY,quantile,0.25,-
2 wk ahead,52,2021,BY,quantile,0.5,-
2 wk ahead,52,2021,BY,quantile,0.75,-
2 wk ahead,52,2021,BY,quantile,0.975,-
,,,,,,
1 wk ahead,51,2021,BE,point,NA,3734
1 wk ahead,51,2021,BE,quantile,0.025,2896
1 wk ahead,51,2021,BE,quantile,0.25,3670
1 wk ahead,51,2021,BE,quantile,0.5,3734
1 wk ahead,51,2021,BE,quantile,0.75,3874
1 wk ahead,51,2021,BE,quantile,0.975,4794
2 wk ahead,52,2021,BE,point,NA,-
2 wk ahead,52,2021,BE,quantile,0.025,-
2 wk ahead,52,2021,BE,quantile,0.25,-
2 wk ahead,52,2021,BE,quantile,0.5,-
2 wk ahead,52,2021,BE,quantile,0.75,-
2 wk ahead,52,2021,BE,quantile,0.975,-
,,,,,,
1 wk ahead,51,2021,BB,point,NA,-
1 wk ahead,51,2021,BB,quantile,0.025,-
1 wk ahead,51,2021,BB,quantile,0.25,-
1 wk ahead,51,2021,BB,quantile,0.5,-
1 wk ahead,51,2021,BB,quantile,0.75,-
1 wk ahead,51,2021,BB,quantile,0.975,-
2 wk ahead,52,2021,BB,point,NA,-
2 wk ahead,52,2021,BB,quantile,0.025,-
2 wk ahead,52,2021,BB,quantile,0.25,-
2 wk ahead,52,2021,BB,quantile,0.5,-
2 wk ahead,52,2021,BB,quantile,0.75,-
2 wk ahead,52,2021,BB,quantile,0.975,-
,,,,,,
1 wk ahead,51,2021,HB,point,NA,-
1 wk ahead,51,2021,HB,quantile,0.025,-
1 wk ahead,51,2021,HB,quantile,0.25,-
1 wk ahead,51,2021,HB,quantile,0.5,-
1 wk ahead,51,2021,HB,quantile,0.75,-
1 wk ahead,51,2021,HB,quantile,0.975,-
2 wk ahead,52,2021,HB,point,NA,-
2 wk ahead,52,2021,HB,quantile,0.025,-
2 wk ahead,52,2021,HB,quantile,0.25,-
2 wk ahead,52,2021,HB,quantile,0.5,-
2 wk ahead,52,2021,HB,quantile,0.75,-
2 wk ahead,52,2021,HB,quantile,0.975,-
,,,,,,
1 wk ahead,51,2021,HH,point,NA,1059
1 wk ahead,51,2021,HH,quantile,0.025,880
1 wk ahead,51,2021,HH,quantile,0.25,1002
1 wk ahead,51,2021,HH,quantile,0.5,1059
1 wk ahead,51,2021,HH,quantile,0.75,1120
1 wk ahead,51,2021,HH,quantile,0.975,1260
2 wk ahead,52,2021,HH,point,NA,-
2 wk ahead,52,2021,HH,quantile,0.025,-
2 wk ahead,52,2021,HH,quantile,0.25,-
2 wk ahead,52,2021,HH,quantile,0.5,-
2 wk ahead,52,2021,HH,quantile,0.75,-
2 wk ahead,52,2021,HH,quantile,0.975,-
,,,,,,
1 wk ahead,51,2021,HE,point,NA,-
1 wk ahead,51,2021,HE,quantile,0.025,-
1 wk ahead,51,2021,HE,quantile,0.25,-
1 wk ahead,51,2021,HE,quantile,0.5,-
1 wk ahead,51,2021,HE,quantile,0.75,-
1 wk ahead,51,2021,HE,quantile,0.975,-
2 wk ahead,52,2021,HE,point,NA,-
2 wk ahead,52,2021,HE,quantile,0.025,-
2 wk ahead,52,2021,HE,quantile,0.25,-
2 wk ahead,52,2021,HE,quantile,0.5,-
2 wk ahead,52,2021,HE,quantile,0.75,-
2 wk ahead,52,2021,HE,quantile,0.975,-
,,,,,,
1 wk ahead,51,2021,MV,point,NA,-
1 wk ahead,51,2021,MV,quantile,0.025,-
1 wk ahead,51,2021,MV,quantile,0.25,-
1 wk ahead,51,2021,MV,quantile,0.5,-
1 wk ahead,51,2021,MV,quantile,0.75,-
1 wk ahead,51,2021,MV,quantile,0.975,-
2 wk ahead,52,2021,MV,point,NA,-
2 wk ahead,52,2021,MV,quantile,0.025,-
2 wk ahead,52,2021,MV,quantile,0.25,-
2 wk ahead,52,2021,MV,quantile,0.5,-
2 wk ahead,52,2021,MV,quantile,0.75,-
2 wk ahead,52,2021,MV,quantile,0.975,-
,,,,,,
1 wk ahead,51,2021,NI,point,NA,3022
1 wk ahead,51,2021,NI,quantile,0.025,2240
1 wk ahead,51,2021,NI,quantile,0.25,2878
1 wk ahead,51,2021,NI,quantile,0.5,3022
1 wk ahead,51,2021,NI,quantile,0.75,3135
1 wk ahead,51,2021,NI,quantile,0.975,3545
2 wk ahead,52,2021,NI,point,NA,-
2 wk ahead,52,2021,NI,quantile,0.025,-
2 wk ahead,52,2021,NI,quantile,0.25,-
2 wk ahead,52,2021,NI,quantile,0.5,-
2 wk ahead,52,2021,NI,quantile,0.75,-
2 wk ahead,52,2021,NI,quantile,0.975,-
,,,,,,
1 wk ahead,51,2021,NW,point,NA,16221
1 wk ahead,51,2021,NW,quantile,0.025,13540
1 wk ahead,51,2021,NW,quantile,0.25,15568
1 wk ahead,51,2021,NW,quantile,0.5,16221
1 wk ahead,51,2021,NW,quantile,0.75,16800
1 wk ahead,51,2021,NW,quantile,0.975,19946
2 wk ahead,52,2021,NW,point,NA,-
2 wk ahead,52,2021,NW,quantile,0.025,-
2 wk ahead,52,2021,NW,quantile,0.25,-
2 wk ahead,52,2021,NW,quantile,0.5,-
2 wk ahead,52,2021,NW,quantile,0.75,-
2 wk ahead,52,2021,NW,quantile,0.975,-
,,,,,,
1 wk ahead,51,2021,RP,point,NA,4091
1 wk ahead,51,2021,RP,quantile,0.025,3307
1 wk ahead,51,2021,RP,quantile,0.25,3847
