target,target_week,location,type,quantile,value
1 wk ahead,27,BW,point,NA,2
1 wk ahead,27,BW,quantile,0.025,0
1 wk ahead,27,BW,quantile,0.25,0
1 wk ahead,27,BW,quantile,0.5,2
1 wk ahead,27,BW,quantile,0.75,4
1 wk ahead,27,BW,quantile,0.975,17
2 wk ahead,28,BW,point,NA,1
2 wk ahead,28,BW,quantile,0.025,0
2 wk ahead,28,BW,quantile,0.25,0
2 wk ahead,28,BW,quantile,0.5,1
2 wk ahead,28,BW,quantile,0.75,6
2 wk ahead,28,BW,quantile,0.975,20

1 wk ahead,27,BY,point,NA,44
1 wk ahead,27,BY,quantile,0.025,0
1 wk ahead,27,BY,quantile,0.25,20
1 wk ahead,27,BY,quantile,0.5,44
1 wk ahead,27,BY,quantile,0.75,61
1 wk ahead,27,BY,quantile,0.975,91
2 wk ahead,28,BY,point,NA,32
2 wk ahead,28,BY,quantile,0.025,0
2 wk ahead,28,BY,quantile,0.25,0
2 wk ahead,28,BY,quantile,0.5,32
2 wk ahead,28,BY,quantile,0.75,73
2 wk ahead,28,BY,quantile,0.975,196

1 wk ahead,27,BE,point,NA,-
1 wk ahead,27,BE,quantile,0.025,-
1 wk ahead,27,BE,quantile,0.25,-
1 wk ahead,27,BE,quantile,0.5,-
1 wk ahead,27,BE,quantile,0.75,-
1 wk ahead,27,BE,quantile,0.975,-
2 wk ahead,28,BE,point,NA,-
2 wk ahead,28,BE,quantile,0.025,-
2 wk ahead,28,BE,quantile,0.25,-
2 wk ahead,28,BE,quantile,0.5,-
2 wk ahead,28,BE,quantile,0.75,-
2 wk ahead,28,BE,quantile,0.975,-

1 wk ahead,27,BB,point,NA,-
1 wk ahead,27,BB,quantile,0.025,-
1 wk ahead,27,BB,quantile,0.25,-
1 wk ahead,27,BB,quantile,0.5,-
1 wk ahead,27,BB,quantile,0.75,-
1 wk ahead,27,BB,quantile,0.975,-
2 wk ahead,28,BB,point,NA,-
2 wk ahead,28,BB,quantile,0.025,-
2 wk ahead,28,BB,quantile,0.25,-
2 wk ahead,28,BB,quantile,0.5,-
2 wk ahead,28,BB,quantile,0.75,-
2 wk ahead,28,BB,quantile,0.975,-

1 wk ahead,27,HB,point,NA,0
1 wk ahead,27,HB,quantile,0.025,0
1 wk ahead,27,HB,quantile,0.25,0
1 wk ahead,27,HB,quantile,0.5,0
1 wk ahead,27,HB,quantile,0.75,1
1 wk ahead,27,HB,quantile,0.975,2
2 wk ahead,28,HB,point,NA,0
2 wk ahead,28,HB,quantile,0.025,0
2 wk ahead,28,HB,quantile,0.25,0
2 wk ahead,28,HB,quantile,0.5,0
2 wk ahead,28,HB,quantile,0.75,3
2 wk ahead,28,HB,quantile,0.975,7

1 wk ahead,27,HH,point,NA,-
1 wk ahead,27,HH,quantile,0.025,-
1 wk ahead,27,HH,quantile,0.25,-
1 wk ahead,27,HH,quantile,0.5,-
1 wk ahead,27,HH,quantile,0.75,-
1 wk ahead,27,HH,quantile,0.975,-
2 wk ahead,28,HH,point,NA,-
2 wk ahead,28,HH,quantile,0.025,-
2 wk ahead,28,HH,quantile,0.25,-
2 wk ahead,28,HH,quantile,0.5,-
2 wk ahead,28,HH,quantile,0.75,-
2 wk ahead,28,HH,quantile,0.975,-

1 wk ahead,27,HE,point,NA,3
1 wk ahead,27,HE,quantile,0.025,0
1 wk ahead,27,HE,quantile,0.25,0
1 wk ahead,27,HE,quantile,0.5,3
1 wk ahead,27,HE,quantile,0.75,6
1 wk ahead,27,HE,quantile,0.975,10
2 wk ahead,28,HE,point,NA,4
