target,target_week,target_year,location,type,quantile,value
1 wk ahead,46,2021,BW,point,NA,5722
1 wk ahead,46,2021,BW,quantile,0.025,5218
1 wk ahead,46,2021,BW,quantile,0.25,5603
1 wk ahead,46,2021,BW,quantile,0.5,5722
1 wk ahead,46,2021,BW,quantile,0.75,5849
1 wk ahead,46,2021,BW,quantile,0.975,6300
2 wk ahead,47,2021,BW,point,NA,7500
2 wk ahead,47,2021,BW,quantile,0.025,6589
2 wk ahead,47,2021,BW,quantile,0.25,7065
2 wk ahead,47,2021,BW,quantile,0.5,7500
2 wk ahead,47,2021,BW,quantile,0.75,8014
2 wk ahead,47,2021,BW,quantile,0.975,8417
,,,,,,
1 wk ahead,46,2021,BY,point,NA,19428
1 wk ahead,46,2021,BY,quantile,0.025,18456
1 wk ahead,46,2021,BY,quantile,0.25,19196
1 wk ahead,46,2021,BY,quantile,0.5,19428
1 wk ahead,46,2021,BY,quantile,0.75,19673
1 wk ahead,46,2021,BY,quantile,0.975,20625
2 wk ahead,47,2021,BY,point,NA,23523
2 wk ahead,47,2021,BY,quantile,0.025,21824
2 wk ahead,47,2021,BY,quantile,0.25,22971
2 wk ahead,47,2021,BY,quantile,0.5,23523
2 wk ahead,47,2021,BY,quantile,0.75,24097
2 wk ahead,47,2021,BY,quantile,0.975,25295
,,,,,,
1 wk ahead,46,2021,BE,point,NA,4896
1 wk ahead,46,2021,BE,quantile,0.025,4757
1 wk ahead,46,2021,BE,quantile,0.25,4835
1 wk ahead,46,2021,BE,quantile,0.5,4896
1 wk ahead,46,2021,BE,quantile,0.75,4985
1 wk ahead,46,2021,BE,quantile,0.975,5330
2 wk ahead,47,2021,BE,point,NA,6610
2 wk ahead,47,2021,BE,quantile,0.025,6214
2 wk ahead,47,2021,BE,quantile,0.25,6497
2 wk ahead,47,2021,BE,quantile,0.5,6610
2 wk ahead,47,2021,BE,quantile,0.75,6892
2 wk ahead,47,2021,BE,quantile,0.975,7255
,,,,,,
