target,target_week,target_year,location,type,quantile,value
1 wk ahead,16,2022,BW,point,NA,-
1 wk ahead,16,2022,BW,quantile,0.025,-
1 wk ahead,16,2022,BW,quantile,0.25,-
1 wk ahead,16,2022,BW,quantile,0.5,-
1 wk ahead,16,2022,BW,quantile,0.75,-
1 wk ahead,16,2022,BW,quantile,0.975,-
2 wk ahead,17,2022,BW,point,NA,9081
2 wk ahead,17,2022,BW,quantile,0.025,2139
2 wk ahead,17,2022,BW,quantile,0.25,5442
2 wk ahead,17,2022,BW,quantile,0.5,9081
2 wk ahead,17,2022,BW,quantile,0.75,13195
2 wk ahead,17,2022,BW,quantile,0.975,18517
,,,,,,
1 wk ahead,16,2022,BY,point,NA,-
1 wk ahead,16,2022,BY,quantile,0.025,-
1 wk ahead,16,2022,BY,quantile,0.25,-
1 wk ahead,16,2022,BY,quantile,0.5,-
1 wk ahead,16,2022,BY,quantile,0.75,-
1 wk ahead,16,2022,BY,quantile,0.975,-
2 wk ahead,17,2022,BY,point,NA,38535
2 wk ahead,17,2022,BY,quantile,0.025,18646
2 wk ahead,17,2022,BY,quantile,0.25,31477
2 wk ahead,17,2022,BY,quantile,0.5,38535
2 wk ahead,17,2022,BY,quantile,0.75,46990
2 wk ahead,17,2022,BY,quantile,0.975,63468
,,,,,,
1 wk ahead,16,2022,BE,point,NA,-
1 wk ahead,16,2022,BE,quantile,0.025,-
1 wk ahead,16,2022,BE,quantile,0.25,-
1 wk ahead,16,2022,BE,quantile,0.5,-
1 wk ahead,16,2022,BE,quantile,0.75,-
1 wk ahead,16,2022,BE,quantile,0.975,-
2 wk ahead,17,2022,BE,point,NA,-
2 wk ahead,17,2022,BE,quantile,0.025,-
2 wk ahead,17,2022,BE,quantile,0.25,-
2 wk ahead,17,2022,BE,quantile,0.5,-
2 wk ahead,17,2022,BE,quantile,0.75,-
2 wk ahead,17,2022,BE,quantile,0.975,-
,,,,,,
1 wk ahead,16,2022,BB,point,NA,-
1 wk ahead,16,2022,BB,quantile,0.025,-
1 wk ahead,16,2022,BB,quantile,0.25,-
1 wk ahead,16,2022,BB,quantile,0.5,-
1 wk ahead,16,2022,BB,quantile,0.75,-
1 wk ahead,16,2022,BB,quantile,0.975,-
2 wk ahead,17,2022,BB,point,NA,3937
2 wk ahead,17,2022,BB,quantile,0.025,815
2 wk ahead,17,2022,BB,quantile,0.25,1778
2 wk ahead,17,2022,BB,quantile,0.5,3937
2 wk ahead,17,2022,BB,quantile,0.75,6513
2 wk ahead,17,2022,BB,quantile,0.975,10205
,,,,,,
1 wk ahead,16,2022,HB,point,NA,620
1 wk ahead,16,2022,HB,quantile,0.025,371
1 wk ahead,16,2022,HB,quantile,0.25,516
1 wk ahead,16,2022,HB,quantile,0.5,620
1 wk ahead,16,2022,HB,quantile,0.75,783
1 wk ahead,16,2022,HB,quantile,0.975,877
2 wk ahead,17,2022,HB,point,NA,561
2 wk ahead,17,2022,HB,quantile,0.025,210
2 wk ahead,17,2022,HB,quantile,0.25,343
2 wk ahead,17,2022,HB,quantile,0.5,561
2 wk ahead,17,2022,HB,quantile,0.75,879
2 wk ahead,17,2022,HB,quantile,0.975,1262
,,,,,,
1 wk ahead,16,2022,HH,point,NA,2497
1 wk ahead,16,2022,HH,quantile,0.025,1601
1 wk ahead,16,2022,HH,quantile,0.25,2165
1 wk ahead,16,2022,HH,quantile,0.5,2497
1 wk ahead,16,2022,HH,quantile,0.75,2921
1 wk ahead,16,2022,HH,quantile,0.975,3503
2 wk ahead,17,2022,HH,point,NA,2249
2 wk ahead,17,2022,HH,quantile,0.025,296
2 wk ahead,17,2022,HH,quantile,0.25,1311
2 wk ahead,17,2022,HH,quantile,0.5,2249
2 wk ahead,17,2022,HH,quantile,0.75,3421
2 wk ahead,17,2022,HH,quantile,0.975,5515
,,,,,,
1 wk ahead,16,2022,HE,point,NA,-
1 wk ahead,16,2022,HE,quantile,0.025,-
1 wk ahead,16,2022,HE,quantile,0.25,-
1 wk ahead,16,2022,HE,quantile,0.5,-
1 wk ahead,16,2022,HE,quantile,0.75,-
1 wk ahead,16,2022,HE,quantile,0.975,-
2 wk ahead,17,2022,HE,point,NA,6699
2 wk ahead,17,2022,HE,quantile,0.025,869
2 wk ahead,17,2022,HE,quantile,0.25,4106
2 wk ahead,17,2022,HE,quantile,0.5,6699
2 wk ahead,17,2022,HE,quantile,0.75,9347
2 wk ahead,17,2022,HE,quantile,0.975,15597
,,,,,,
1 wk ahead,16,2022,MV,point,NA,-
1 wk ahead,16,2022,MV,quantile,0.025,-
1 wk ahead,16,2022,MV,quantile,0.25,-
1 wk ahead,16,2022,MV,quantile,0.5,-
1 wk ahead,16,2022,MV,quantile,0.75,-
1 wk ahead,16,2022,MV,quantile,0.975,-
2 wk ahead,17,2022,MV,point,NA,1366
2 wk ahead,17,2022,MV,quantile,0.025,60
2 wk ahead,17,2022,MV,quantile,0.25,938
2 wk ahead,17,2022,MV,quantile,0.5,1366
2 wk ahead,17,2022,MV,quantile,0.75,1939
2 wk ahead,17,2022,MV,quantile,0.975,3073
,,,,,,
1 wk ahead,16,2022,NI,point,NA,14463
1 wk ahead,16,2022,NI,quantile,0.025,13240
1 wk ahead,16,2022,NI,quantile,0.25,13913
1 wk ahead,16,2022,NI,quantile,0.5,14463
1 wk ahead,16,2022,NI,quantile,0.75,15099
1 wk ahead,16,2022,NI,quantile,0.975,16633
2 wk ahead,17,2022,NI,point,NA,13024
2 wk ahead,17,2022,NI,quantile,0.025,7989
2 wk ahead,17,2022,NI,quantile,0.25,10893
2 wk ahead,17,2022,NI,quantile,0.5,13024
2 wk ahead,17,2022,NI,quantile,0.75,15904
