target,target_week,target_year,location,type,quantile,value
1 wk ahead,1,2022,RP,quantile,0.025,135
1 wk ahead,1,2022,RP,quantile,0.25,179
1 wk ahead,1,2022,RP,quantile,0.5,207
1 wk ahead,1,2022,RP,quantile,0.75,231
1 wk ahead,1,2022,RP,quantile,0.975,270
2 wk ahead,2,2022,RP,point,NA,339
2 wk ahead,2,2022,RP,quantile,0.025,212
2 wk ahead,2,2022,RP,quantile,0.25,281
2 wk ahead,2,2022,RP,quantile,0.5,339
2 wk ahead,2,2022,RP,quantile,0.75,385
2 wk ahead,2,2022,RP,quantile,0.975,466
,,,,,,
1 wk ahead,1,2022,SL,point,NA,30
1 wk ahead,1,2022,SL,quantile,0.025,20
1 wk ahead,1,2022,SL,quantile,0.25,24
1 wk ahead,1,2022,SL,quantile,0.5,30
1 wk ahead,1,2022,SL,quantile,0.75,37
1 wk ahead,1,2022,SL,quantile,0.975,57
2 wk ahead,2,2022,SL,point,NA,60
2 wk ahead,2,2022,SL,quantile,0.025,24
2 wk ahead,2,2022,SL,quantile,0.25,47
2 wk ahead,2,2022,SL,quantile,0.5,60
2 wk ahead,2,2022,SL,quantile,0.75,76
2 wk ahead,2,2022,SL,quantile,0.975,109
,,,,,,
1 wk ahead,1,2022,SN,point,NA,114
1 wk ahead,1,2022,SN,quantile,0.025,8
1 wk ahead,1,2022,SN,quantile,0.25,65
1 wk ahead,1,2022,SN,quantile,0.5,114
1 wk ahead,1,2022,SN,quantile,0.75,161
1 wk ahead,1,2022,SN,quantile,0.975,499
2 wk ahead,2,2022,SN,point,NA,326
2 wk ahead,2,2022,SN,quantile,0.025,0
2 wk ahead,2,2022,SN,quantile,0.25,207
2 wk ahead,2,2022,SN,quantile,0.5,326
2 wk ahead,2,2022,SN,quantile,0.75,458
2 wk ahead,2,2022,SN,quantile,0.975,1067
,,,,,,
1 wk ahead,1,2022,ST,point,NA,-
1 wk ahead,1,2022,ST,quantile,0.025,-
1 wk ahead,1,2022,ST,quantile,0.25,-
1 wk ahead,1,2022,ST,quantile,0.5,-
1 wk ahead,1,2022,ST,quantile,0.75,-
1 wk ahead,1,2022,ST,quantile,0.975,-
2 wk ahead,2,2022,ST,point,NA,275
2 wk ahead,2,2022,ST,quantile,0.025,142
2 wk ahead,2,2022,ST,quantile,0.25,205
2 wk ahead,2,2022,ST,quantile,0.5,275
2 wk ahead,2,2022,ST,quantile,0.75,343
2 wk ahead,2,2022,ST,quantile,0.975,422
,,,,,,
1 wk ahead,1,2022,SH,point,NA,-
1 wk ahead,1,2022,SH,quantile,0.025,-
1 wk ahead,1,2022,SH,quantile,0.25,-
1 wk ahead,1,2022,SH,quantile,0.5,-
1 wk ahead,1,2022,SH,quantile,0.75,-
1 wk ahead,1,2022,SH,quantile,0.975,-
2 wk ahead,2,2022,SH,point,NA,36
2 wk ahead,2,2022,SH,quantile,0.025,14
2 wk ahead,2,2022,SH,quantile,0.25,25
2 wk ahead,2,2022,SH,quantile,0.5,36
2 wk ahead,2,2022,SH,quantile,0.75,52
2 wk ahead,2,2022,SH,quantile,0.975,80
,,,,,,
1 wk ahead,1,2022,TH,point,NA,54
1 wk ahead,1,2022,TH,quantile,0.025,0
1 wk ahead,1,2022,TH,quantile,0.25,41
1 wk ahead,1,2022,TH,quantile,0.5,54
1 wk ahead,1,2022,TH,quantile,0.75,80
1 wk ahead,1,2022,TH,quantile,0.975,127
2 wk ahead,2,2022,TH,point,NA,146
2 wk ahead,2,2022,TH,quantile,0.025,37
2 wk ahead,2,2022,TH,quantile,0.25,96
2 wk ahead,2,2022,TH,quantile,0.5,146
2 wk ahead,2,2022,TH,quantile,0.75,205
2 wk ahead,2,2022,TH,quantile,0.975,302
