target,target_week,location,type,quantile,value
1 wk ahead,29,BW,point,NA,4
1 wk ahead,29,BW,quantile,0.025,0
1 wk ahead,29,BW,quantile,0.25,1
1 wk ahead,29,BW,quantile,0.5,4
1 wk ahead,29,BW,quantile,0.75,6
1 wk ahead,29,BW,quantile,0.975,31
2 wk ahead,30,BW,point,NA,5
2 wk ahead,30,BW,quantile,0.025,0
2 wk ahead,30,BW,quantile,0.25,0
2 wk ahead,30,BW,quantile,0.5,5
2 wk ahead,30,BW,quantile,0.75,37
2 wk ahead,30,BW,quantile,0.975,63
1 wk ahead,29,BY,point,NA,55
1 wk ahead,29,BY,quantile,0.025,9
1 wk ahead,29,BY,quantile,0.25,40
1 wk ahead,29,BY,quantile,0.5,55
1 wk ahead,29,BY,quantile,0.75,65
1 wk ahead,29,BY,quantile,0.975,105
2 wk ahead,30,BY,point,NA,58
2 wk ahead,30,BY,quantile,0.025,0
2 wk ahead,30,BY,quantile,0.25,24
2 wk ahead,30,BY,quantile,0.5,58
2 wk ahead,30,BY,quantile,0.75,93
2 wk ahead,30,BY,quantile,0.975,156
1 wk ahead,29,BE,point,NA,-
1 wk ahead,29,BE,quantile,0.025,-
1 wk ahead,29,BE,quantile,0.25,-
1 wk ahead,29,BE,quantile,0.5,-
1 wk ahead,29,BE,quantile,0.75,-
1 wk ahead,29,BE,quantile,0.975,-
2 wk ahead,30,BE,point,NA,-
2 wk ahead,30,BE,quantile,0.025,-
2 wk ahead,30,BE,quantile,0.25,-
2 wk ahead,30,BE,quantile,0.5,-
2 wk ahead,30,BE,quantile,0.75,-
2 wk ahead,30,BE,quantile,0.975,-
1 wk ahead,29,BB,point,NA,-
1 wk ahead,29,BB,quantile,0.025,-
1 wk ahead,29,BB,quantile,0.25,-
1 wk ahead,29,BB,quantile,0.5,-
1 wk ahead,29,BB,quantile,0.75,-
1 wk ahead,29,BB,quantile,0.975,-
2 wk ahead,30,BB,point,NA,-
2 wk ahead,30,BB,quantile,0.025,-
2 wk ahead,30,BB,quantile,0.25,-
2 wk ahead,30,BB,quantile,0.5,-
2 wk ahead,30,BB,quantile,0.75,-
2 wk ahead,30,BB,quantile,0.975,-
1 wk ahead,29,HB,point,NA,-
1 wk ahead,29,HB,quantile,0.025,-
1 wk ahead,29,HB,quantile,0.25,-
1 wk ahead,29,HB,quantile,0.5,-
1 wk ahead,29,HB,quantile,0.75,-
1 wk ahead,29,HB,quantile,0.975,-
2 wk ahead,30,HB,point,NA,-
2 wk ahead,30,HB,quantile,0.025,-
2 wk ahead,30,HB,quantile,0.25,-
2 wk ahead,30,HB,quantile,0.5,-
2 wk ahead,30,HB,quantile,0.75,-
2 wk ahead,30,HB,quantile,0.975,-
1 wk ahead,29,HH,point,NA,-
1 wk ahead,29,HH,quantile,0.025,-
1 wk ahead,29,HH,quantile,0.25,-
1 wk ahead,29,HH,quantile,0.5,-
1 wk ahead,29,HH,quantile,0.75,-
1 wk ahead,29,HH,quantile,0.975,-
2 wk ahead,30,HH,point,NA,-
2 wk ahead,30,HH,quantile,0.025,-
2 wk ahead,30,HH,quantile,0.25,-
2 wk ahead,30,HH,quantile,0.5,-
2 wk ahead,30,HH,quantile,0.75,-
2 wk ahead,30,HH,quantile,0.975,-
1 wk ahead,29,HE,point,NA,-
1 wk ahead,29,HE,quantile,0.025,-
1 wk ahead,29,HE,quantile,0.25,-
1 wk ahead,29,HE,quantile,0.5,-
1 wk ahead,29,HE,quantile,0.75,-
1 wk ahead,29,HE,quantile,0.975,-
2 wk ahead,30,HE,point,NA,-
2 wk ahead,30,HE,quantile,0.025,-
2 wk ahead,30,HE,quantile,0.25,-
2 wk ahead,30,HE,quantile,0.5,-
2 wk ahead,30,HE,quantile,0.75,-
2 wk ahead,30,HE,quantile,0.975,-
1 wk ahead,29,MV,point,NA,-
1 wk ahead,29,MV,quantile,0.025,-
1 wk ahead,29,MV,quantile,0.25,-
1 wk ahead,29,MV,quantile,0.5,-
1 wk ahead,29,MV,quantile,0.75,-
1 wk ahead,29,MV,quantile,0.975,-
2 wk ahead,30,MV,point,NA,-
2 wk ahead,30,MV,quantile,0.025,-
2 wk ahead,30,MV,quantile,0.25,-
