target,target_week,target_year,location,type,quantile,value
1 wk ahead,47,2021,BW,point,NA,872
1 wk ahead,47,2021,BW,quantile,0.025,791
1 wk ahead,47,2021,BW,quantile,0.25,838
1 wk ahead,47,2021,BW,quantile,0.5,872
1 wk ahead,47,2021,BW,quantile,0.75,890
1 wk ahead,47,2021,BW,quantile,0.975,923
2 wk ahead,48,2021,BW,point,NA,967
2 wk ahead,48,2021,BW,quantile,0.025,857
2 wk ahead,48,2021,BW,quantile,0.25,898
2 wk ahead,48,2021,BW,quantile,0.5,967
2 wk ahead,48,2021,BW,quantile,0.75,1007
2 wk ahead,48,2021,BW,quantile,0.975,1051
,,,,,,
1 wk ahead,47,2021,BY,point,NA,1743
1 wk ahead,47,2021,BY,quantile,0.025,1599
1 wk ahead,47,2021,BY,quantile,0.25,1684
1 wk ahead,47,2021,BY,quantile,0.5,1743
1 wk ahead,47,2021,BY,quantile,0.75,1781
1 wk ahead,47,2021,BY,quantile,0.975,1895
2 wk ahead,48,2021,BY,point,NA,1771
2 wk ahead,48,2021,BY,quantile,0.025,1514
2 wk ahead,48,2021,BY,quantile,0.25,1678
2 wk ahead,48,2021,BY,quantile,0.5,1771
2 wk ahead,48,2021,BY,quantile,0.75,1825
2 wk ahead,48,2021,BY,quantile,0.975,2021
,,,,,,
1 wk ahead,47,2021,BE,point,NA,590
1 wk ahead,47,2021,BE,quantile,0.025,568
1 wk ahead,47,2021,BE,quantile,0.25,584
1 wk ahead,47,2021,BE,quantile,0.5,590
1 wk ahead,47,2021,BE,quantile,0.75,596
1 wk ahead,47,2021,BE,quantile,0.975,615
2 wk ahead,48,2021,BE,point,NA,616
2 wk ahead,48,2021,BE,quantile,0.025,562
2 wk ahead,48,2021,BE,quantile,0.25,588
2 wk ahead,48,2021,BE,quantile,0.5,616
2 wk ahead,48,2021,BE,quantile,0.75,640
2 wk ahead,48,2021,BE,quantile,0.975,677
,,,,,,
1 wk ahead,47,2021,BB,point,NA,487
1 wk ahead,47,2021,BB,quantile,0.025,458
1 wk ahead,47,2021,BB,quantile,0.25,472
1 wk ahead,47,2021,BB,quantile,0.5,487
1 wk ahead,47,2021,BB,quantile,0.75,498
1 wk ahead,47,2021,BB,quantile,0.975,515
2 wk ahead,48,2021,BB,point,NA,490
2 wk ahead,48,2021,BB,quantile,0.025,439
2 wk ahead,48,2021,BB,quantile,0.25,461
2 wk ahead,48,2021,BB,quantile,0.5,490
2 wk ahead,48,2021,BB,quantile,0.75,512
2 wk ahead,48,2021,BB,quantile,0.975,539
,,,,,,
1 wk ahead,47,2021,HB,point,NA,19
1 wk ahead,47,2021,HB,quantile,0.025,14
1 wk ahead,47,2021,HB,quantile,0.25,15
1 wk ahead,47,2021,HB,quantile,0.5,19
1 wk ahead,47,2021,HB,quantile,0.75,21
1 wk ahead,47,2021,HB,quantile,0.975,25
2 wk ahead,48,2021,HB,point,NA,23
2 wk ahead,48,2021,HB,quantile,0.025,12
2 wk ahead,48,2021,HB,quantile,0.25,17
2 wk ahead,48,2021,HB,quantile,0.5,23
2 wk ahead,48,2021,HB,quantile,0.75,27
2 wk ahead,48,2021,HB,quantile,0.975,36
,,,,,,
1 wk ahead,47,2021,HH,point,NA,61
1 wk ahead,47,2021,HH,quantile,0.025,51
1 wk ahead,47,2021,HH,quantile,0.25,56
1 wk ahead,47,2021,HH,quantile,0.5,61
1 wk ahead,47,2021,HH,quantile,0.75,64
1 wk ahead,47,2021,HH,quantile,0.975,69
2 wk ahead,48,2021,HH,point,NA,67
2 wk ahead,48,2021,HH,quantile,0.025,53
2 wk ahead,48,2021,HH,quantile,0.25,58
2 wk ahead,48,2021,HH,quantile,0.5,67
2 wk ahead,48,2021,HH,quantile,0.75,75
