target,target_week,target_year,location,type,quantile,value
1 wk ahead,46,2021,BW,point,NA,601
1 wk ahead,46,2021,BW,quantile,0.025,518
1 wk ahead,46,2021,BW,quantile,0.25,562
1 wk ahead,46,2021,BW,quantile,0.5,601
1 wk ahead,46,2021,BW,quantile,0.75,619
1 wk ahead,46,2021,BW,quantile,0.975,651
2 wk ahead,47,2021,BW,point,NA,791
2 wk ahead,47,2021,BW,quantile,0.025,681
2 wk ahead,47,2021,BW,quantile,0.25,731
2 wk ahead,47,2021,BW,quantile,0.5,791
2 wk ahead,47,2021,BW,quantile,0.75,831
2 wk ahead,47,2021,BW,quantile,0.975,872
,,,,,,
1 wk ahead,46,2021,BY,point,NA,1522
1 wk ahead,46,2021,BY,quantile,0.025,1403
1 wk ahead,46,2021,BY,quantile,0.25,1468
1 wk ahead,46,2021,BY,quantile,0.5,1522
1 wk ahead,46,2021,BY,quantile,0.75,1560
1 wk ahead,46,2021,BY,quantile,0.975,1678
2 wk ahead,47,2021,BY,point,NA,1753
2 wk ahead,47,2021,BY,quantile,0.025,1498
2 wk ahead,47,2021,BY,quantile,0.25,1663
2 wk ahead,47,2021,BY,quantile,0.5,1753
2 wk ahead,47,2021,BY,quantile,0.75,1808
2 wk ahead,47,2021,BY,quantile,0.975,2018
,,,,,,
1 wk ahead,46,2021,BE,point,NA,527
1 wk ahead,46,2021,BE,quantile,0.025,505
1 wk ahead,46,2021,BE,quantile,0.25,521
1 wk ahead,46,2021,BE,quantile,0.5,527
1 wk ahead,46,2021,BE,quantile,0.75,534
1 wk ahead,46,2021,BE,quantile,0.975,556
2 wk ahead,47,2021,BE,point,NA,661
2 wk ahead,47,2021,BE,quantile,0.025,607
2 wk ahead,47,2021,BE,quantile,0.25,633
2 wk ahead,47,2021,BE,quantile,0.5,661
2 wk ahead,47,2021,BE,quantile,0.75,684
2 wk ahead,47,2021,BE,quantile,0.975,716
,,,,,,
1 wk ahead,46,2021,BB,point,NA,389
1 wk ahead,46,2021,BB,quantile,0.025,361
1 wk ahead,46,2021,BB,quantile,0.25,374
1 wk ahead,46,2021,BB,quantile,0.5,389
1 wk ahead,46,2021,BB,quantile,0.75,400
1 wk ahead,46,2021,BB,quantile,0.975,418
2 wk ahead,47,2021,BB,point,NA,504
2 wk ahead,47,2021,BB,quantile,0.025,456
2 wk ahead,47,2021,BB,quantile,0.25,478
2 wk ahead,47,2021,BB,quantile,0.5,504
2 wk ahead,47,2021,BB,quantile,0.75,525
2 wk ahead,47,2021,BB,quantile,0.975,553
,,,,,,
1 wk ahead,46,2021,HB,point,NA,12
1 wk ahead,46,2021,HB,quantile,0.025,6
1 wk ahead,46,2021,HB,quantile,0.25,8
1 wk ahead,46,2021,HB,quantile,0.5,12
1 wk ahead,46,2021,HB,quantile,0.75,14
1 wk ahead,46,2021,HB,quantile,0.975,18
2 wk ahead,47,2021,HB,point,NA,14
2 wk ahead,47,2021,HB,quantile,0.025,4
2 wk ahead,47,2021,HB,quantile,0.25,8
2 wk ahead,47,2021,HB,quantile,0.5,14
2 wk ahead,47,2021,HB,quantile,0.75,18
2 wk ahead,47,2021,HB,quantile,0.975,25
,,,,,,
1 wk ahead,46,2021,HH,point,NA,52
1 wk ahead,46,2021,HH,quantile,0.025,42
1 wk ahead,46,2021,HH,quantile,0.25,48
1 wk ahead,46,2021,HH,quantile,0.5,52
1 wk ahead,46,2021,HH,quantile,0.75,55
1 wk ahead,46,2021,HH,quantile,0.975,60
2 wk ahead,47,2021,HH,point,NA,62
2 wk ahead,47,2021,HH,quantile,0.025,48
2 wk ahead,47,2021,HH,quantile,0.25,53
2 wk ahead,47,2021,HH,quantile,0.5,62
2 wk ahead,47,2021,HH,quantile,0.75,70
2 wk ahead,47,2021,HH,quantile,0.975,81
,,,,,,
1 wk ahead,46,2021,HE,point,NA,12
1 wk ahead,46,2021,HE,quantile,0.025,0
1 wk ahead,46,2021,HE,quantile,0.25,8
1 wk ahead,46,2021,HE,quantile,0.5,12
1 wk ahead,46,2021,HE,quantile,0.75,21
1 wk ahead,46,2021,HE,quantile,0.975,28
2 wk ahead,47,2021,HE,point,NA,19
2 wk ahead,47,2021,HE,quantile,0.025,0
2 wk ahead,47,2021,HE,quantile,0.25,4
2 wk ahead,47,2021,HE,quantile,0.5,19
2 wk ahead,47,2021,HE,quantile,0.75,33
2 wk ahead,47,2021,HE,quantile,0.975,39
,,,,,,
1 wk ahead,46,2021,MV,point,NA,24
1 wk ahead,46,2021,MV,quantile,0.025,13
1 wk ahead,46,2021,MV,quantile,0.25,18
1 wk ahead,46,2021,MV,quantile,0.5,24
1 wk ahead,46,2021,MV,quantile,0.75,28
1 wk ahead,46,2021,MV,quantile,0.975,33
2 wk ahead,47,2021,MV,point,NA,25
2 wk ahead,47,2021,MV,quantile,0.025,2
2 wk ahead,47,2021,MV,quantile,0.25,12
2 wk ahead,47,2021,MV,quantile,0.5,25
2 wk ahead,47,2021,MV,quantile,0.75,36
2 wk ahead,47,2021,MV,quantile,0.975,44
,,,,,,
1 wk ahead,46,2021,NI,point,NA,176
1 wk ahead,46,2021,NI,quantile,0.025,146
1 wk ahead,46,2021,NI,quantile,0.25,161
1 wk ahead,46,2021,NI,quantile,0.5,176
1 wk ahead,46,2021,NI,quantile,0.75,190
1 wk ahead,46,2021,NI,quantile,0.975,204
2 wk ahead,47,2021,NI,point,NA,204
2 wk ahead,47,2021,NI,quantile,0.025,162
2 wk ahead,47,2021,NI,quantile,0.25,176
2 wk ahead,47,2021,NI,quantile,0.5,204
2 wk ahead,47,2021,NI,quantile,0.75,226
2 wk ahead,47,2021,NI,quantile,0.975,242
,,,,,,
1 wk ahead,46,2021,NW,point,NA,707
1 wk ahead,46,2021,NW,quantile,0.025,575
1 wk ahead,46,2021,NW,quantile,0.25,666
1 wk ahead,46,2021,NW,quantile,0.5,707
1 wk ahead,46,2021,NW,quantile,0.75,739
1 wk ahead,46,2021,NW,quantile,0.975,795
2 wk ahead,47,2021,NW,point,NA,865
2 wk ahead,47,2021,NW,quantile,0.025,641
2 wk ahead,47,2021,NW,quantile,0.25,756
2 wk ahead,47,2021,NW,quantile,0.5,865
2 wk ahead,47,2021,NW,quantile,0.75,933
2 wk ahead,47,2021,NW,quantile,0.975,1008
,,,,,,
1 wk ahead,46,2021,RP,point,NA,306
1 wk ahead,46,2021,RP,quantile,0.025,281
1 wk ahead,46,2021,RP,quantile,0.25,293
1 wk ahead,46,2021,RP,quantile,0.5,306
1 wk ahead,46,2021,RP,quantile,0.75,320
1 wk ahead,46,2021,RP,quantile,0.975,338
2 wk ahead,47,2021,RP,point,NA,392
2 wk ahead,47,2021,RP,quantile,0.025,343
2 wk ahead,47,2021,RP,quantile,0.25,364
2 wk ahead,47,2021,RP,quantile,0.5,392
2 wk ahead,47,2021,RP,quantile,0.75,417
2 wk ahead,47,2021,RP,quantile,0.975,440
,,,,,,
1 wk ahead,46,2021,SL,point,NA,54
1 wk ahead,46,2021,SL,quantile,0.025,46
1 wk ahead,46,2021,SL,quantile,0.25,50
1 wk ahead,46,2021,SL,quantile,0.5,54
1 wk ahead,46,2021,SL,quantile,0.75,58
1 wk ahead,46,2021,SL,quantile,0.975,61
2 wk ahead,47,2021,SL,point,NA,78
2 wk ahead,47,2021,SL,quantile,0.025,63
2 wk ahead,47,2021,SL,quantile,0.25,69
2 wk ahead,47,2021,SL,quantile,0.5,78
2 wk ahead,47,2021,SL,quantile,0.75,85
