target,target_week,target_year,location,type,quantile,value
1 wk ahead,49,2021,BW,point,NA,753
1 wk ahead,49,2021,BW,quantile,0.025,662
1 wk ahead,49,2021,BW,quantile,0.25,697
1 wk ahead,49,2021,BW,quantile,0.5,753
1 wk ahead,49,2021,BW,quantile,0.75,790
1 wk ahead,49,2021,BW,quantile,0.975,819
2 wk ahead,50,2021,BW,point,NA,605
2 wk ahead,50,2021,BW,quantile,0.025,442
2 wk ahead,50,2021,BW,quantile,0.25,520
2 wk ahead,50,2021,BW,quantile,0.5,605
2 wk ahead,50,2021,BW,quantile,0.75,667
2 wk ahead,50,2021,BW,quantile,0.975,732
,,,,,,
1 wk ahead,49,2021,BY,point,NA,1414
1 wk ahead,49,2021,BY,quantile,0.025,1245
1 wk ahead,49,2021,BY,quantile,0.25,1362
1 wk ahead,49,2021,BY,quantile,0.5,1414
1 wk ahead,49,2021,BY,quantile,0.75,1465
1 wk ahead,49,2021,BY,quantile,0.975,1650
2 wk ahead,50,2021,BY,point,NA,1129
2 wk ahead,50,2021,BY,quantile,0.025,577
2 wk ahead,50,2021,BY,quantile,0.25,971
2 wk ahead,50,2021,BY,quantile,0.5,1129
2 wk ahead,50,2021,BY,quantile,0.75,1280
2 wk ahead,50,2021,BY,quantile,0.975,1544
,,,,,,
1 wk ahead,49,2021,BE,point,NA,422
1 wk ahead,49,2021,BE,quantile,0.025,337
1 wk ahead,49,2021,BE,quantile,0.25,415
1 wk ahead,49,2021,BE,quantile,0.5,422
1 wk ahead,49,2021,BE,quantile,0.75,433
1 wk ahead,49,2021,BE,quantile,0.975,518
2 wk ahead,50,2021,BE,point,NA,314
2 wk ahead,50,2021,BE,quantile,0.025,90
2 wk ahead,50,2021,BE,quantile,0.25,273
2 wk ahead,50,2021,BE,quantile,0.5,314
2 wk ahead,50,2021,BE,quantile,0.75,361
2 wk ahead,50,2021,BE,quantile,0.975,509
,,,,,,
1 wk ahead,49,2021,BB,point,NA,335
1 wk ahead,49,2021,BB,quantile,0.025,302
1 wk ahead,49,2021,BB,quantile,0.25,318
1 wk ahead,49,2021,BB,quantile,0.5,335
1 wk ahead,49,2021,BB,quantile,0.75,349
1 wk ahead,49,2021,BB,quantile,0.975,390
2 wk ahead,50,2021,BB,point,NA,227
2 wk ahead,50,2021,BB,quantile,0.025,125
2 wk ahead,50,2021,BB,quantile,0.25,177
2 wk ahead,50,2021,BB,quantile,0.5,227
2 wk ahead,50,2021,BB,quantile,0.75,273
2 wk ahead,50,2021,BB,quantile,0.975,343
,,,,,,
1 wk ahead,49,2021,HB,point,NA,17
1 wk ahead,49,2021,HB,quantile,0.025,10
1 wk ahead,49,2021,HB,quantile,0.25,13
1 wk ahead,49,2021,HB,quantile,0.5,17
1 wk ahead,49,2021,HB,quantile,0.75,19
1 wk ahead,49,2021,HB,quantile,0.975,23
2 wk ahead,50,2021,HB,point,NA,16
2 wk ahead,50,2021,HB,quantile,0.025,5
2 wk ahead,50,2021,HB,quantile,0.25,8
2 wk ahead,50,2021,HB,quantile,0.5,16
2 wk ahead,50,2021,HB,quantile,0.75,21
2 wk ahead,50,2021,HB,quantile,0.975,32
,,,,,,
1 wk ahead,49,2021,HH,point,NA,55
1 wk ahead,49,2021,HH,quantile,0.025,44
1 wk ahead,49,2021,HH,quantile,0.25,50
1 wk ahead,49,2021,HH,quantile,0.5,55
1 wk ahead,49,2021,HH,quantile,0.75,58
1 wk ahead,49,2021,HH,quantile,0.975,66
2 wk ahead,50,2021,HH,point,NA,49
2 wk ahead,50,2021,HH,quantile,0.025,29
2 wk ahead,50,2021,HH,quantile,0.25,39
2 wk ahead,50,2021,HH,quantile,0.5,49
2 wk ahead,50,2021,HH,quantile,0.75,55
2 wk ahead,50,2021,HH,quantile,0.975,64
,,,,,,
1 wk ahead,49,2021,HE,point,NA,238
1 wk ahead,49,2021,HE,quantile,0.025,169
1 wk ahead,49,2021,HE,quantile,0.25,211
1 wk ahead,49,2021,HE,quantile,0.5,238
1 wk ahead,49,2021,HE,quantile,0.75,252
1 wk ahead,49,2021,HE,quantile,0.975,310
2 wk ahead,50,2021,HE,point,NA,217
2 wk ahead,50,2021,HE,quantile,0.025,97
2 wk ahead,50,2021,HE,quantile,0.25,132
2 wk ahead,50,2021,HE,quantile,0.5,217
2 wk ahead,50,2021,HE,quantile,0.75,279
2 wk ahead,50,2021,HE,quantile,0.975,326
,,,,,,
1 wk ahead,49,2021,MV,point,NA,45
1 wk ahead,49,2021,MV,quantile,0.025,29
1 wk ahead,49,2021,MV,quantile,0.25,38
1 wk ahead,49,2021,MV,quantile,0.5,45
1 wk ahead,49,2021,MV,quantile,0.75,49
1 wk ahead,49,2021,MV,quantile,0.975,57
2 wk ahead,50,2021,MV,point,NA,43
2 wk ahead,50,2021,MV,quantile,0.025,20
2 wk ahead,50,2021,MV,quantile,0.25,29
2 wk ahead,50,2021,MV,quantile,0.5,43
2 wk ahead,50,2021,MV,quantile,0.75,54
2 wk ahead,50,2021,MV,quantile,0.975,63
,,,,,,
1 wk ahead,49,2021,NI,point,NA,294
1 wk ahead,49,2021,NI,quantile,0.025,249
1 wk ahead,49,2021,NI,quantile,0.25,273
1 wk ahead,49,2021,NI,quantile,0.5,294
1 wk ahead,49,2021,NI,quantile,0.75,310
1 wk ahead,49,2021,NI,quantile,0.975,331
2 wk ahead,50,2021,NI,point,NA,286
2 wk ahead,50,2021,NI,quantile,0.025,201
2 wk ahead,50,2021,NI,quantile,0.25,255
2 wk ahead,50,2021,NI,quantile,0.5,286
2 wk ahead,50,2021,NI,quantile,0.75,313
2 wk ahead,50,2021,NI,quantile,0.975,350
,,,,,,
1 wk ahead,49,2021,NW,point,NA,1039
1 wk ahead,49,2021,NW,quantile,0.025,871
1 wk ahead,49,2021,NW,quantile,0.25,983
