target,target_week,target_year,location,type,quantile,value
1 wk ahead,2,2022,BW,point,NA,385
1 wk ahead,2,2022,BW,quantile,0.025,261
1 wk ahead,2,2022,BW,quantile,0.25,355
1 wk ahead,2,2022,BW,quantile,0.5,385
1 wk ahead,2,2022,BW,quantile,0.75,397
1 wk ahead,2,2022,BW,quantile,0.975,447
2 wk ahead,3,2022,BW,point,NA,572
2 wk ahead,3,2022,BW,quantile,0.025,295
2 wk ahead,3,2022,BW,quantile,0.25,476
2 wk ahead,3,2022,BW,quantile,0.5,572
2 wk ahead,3,2022,BW,quantile,0.75,689
2 wk ahead,3,2022,BW,quantile,0.975,854
,,,,,,
1 wk ahead,2,2022,BY,point,NA,809
1 wk ahead,2,2022,BY,quantile,0.025,488
1 wk ahead,2,2022,BY,quantile,0.25,731
1 wk ahead,2,2022,BY,quantile,0.5,809
1 wk ahead,2,2022,BY,quantile,0.75,911
1 wk ahead,2,2022,BY,quantile,0.975,1219
2 wk ahead,3,2022,BY,point,NA,1304
2 wk ahead,3,2022,BY,quantile,0.025,892
2 wk ahead,3,2022,BY,quantile,0.25,1174
2 wk ahead,3,2022,BY,quantile,0.5,1304
2 wk ahead,3,2022,BY,quantile,0.75,1502
2 wk ahead,3,2022,BY,quantile,0.975,1895
,,,,,,
1 wk ahead,2,2022,BE,point,NA,367
1 wk ahead,2,2022,BE,quantile,0.025,224
1 wk ahead,2,2022,BE,quantile,0.25,337
1 wk ahead,2,2022,BE,quantile,0.5,367
1 wk ahead,2,2022,BE,quantile,0.75,400
1 wk ahead,2,2022,BE,quantile,0.975,538
2 wk ahead,3,2022,BE,point,NA,509
2 wk ahead,3,2022,BE,quantile,0.025,297
2 wk ahead,3,2022,BE,quantile,0.25,429
2 wk ahead,3,2022,BE,quantile,0.5,509
2 wk ahead,3,2022,BE,quantile,0.75,598
2 wk ahead,3,2022,BE,quantile,0.975,743
,,,,,,
1 wk ahead,2,2022,BB,point,NA,325
1 wk ahead,2,2022,BB,quantile,0.025,258
1 wk ahead,2,2022,BB,quantile,0.25,317
1 wk ahead,2,2022,BB,quantile,0.5,325
1 wk ahead,2,2022,BB,quantile,0.75,334
1 wk ahead,2,2022,BB,quantile,0.975,401
2 wk ahead,3,2022,BB,point,NA,405
2 wk ahead,3,2022,BB,quantile,0.025,294
2 wk ahead,3,2022,BB,quantile,0.25,366
2 wk ahead,3,2022,BB,quantile,0.5,405
2 wk ahead,3,2022,BB,quantile,0.75,454
2 wk ahead,3,2022,BB,quantile,0.975,527
,,,,,,
1 wk ahead,2,2022,HB,point,NA,15
1 wk ahead,2,2022,HB,quantile,0.025,3
1 wk ahead,2,2022,HB,quantile,0.25,9
1 wk ahead,2,2022,HB,quantile,0.5,15
1 wk ahead,2,2022,HB,quantile,0.75,19
1 wk ahead,2,2022,HB,quantile,0.975,23
2 wk ahead,3,2022,HB,point,NA,18
2 wk ahead,3,2022,HB,quantile,0.025,0
2 wk ahead,3,2022,HB,quantile,0.25,5
2 wk ahead,3,2022,HB,quantile,0.5,18
2 wk ahead,3,2022,HB,quantile,0.75,29
2 wk ahead,3,2022,HB,quantile,0.975,38
,,,,,,
1 wk ahead,2,2022,HH,point,NA,142
1 wk ahead,2,2022,HH,quantile,0.025,122
1 wk ahead,2,2022,HH,quantile,0.25,131
1 wk ahead,2,2022,HH,quantile,0.5,142
1 wk ahead,2,2022,HH,quantile,0.75,158
1 wk ahead,2,2022,HH,quantile,0.975,165
2 wk ahead,3,2022,HH,point,NA,193
2 wk ahead,3,2022,HH,quantile,0.025,148
2 wk ahead,3,2022,HH,quantile,0.25,170
2 wk ahead,3,2022,HH,quantile,0.5,193
2 wk ahead,3,2022,HH,quantile,0.75,222
2 wk ahead,3,2022,HH,quantile,0.975,247
,,,,,,
1 wk ahead,2,2022,HE,point,NA,272
1 wk ahead,2,2022,HE,quantile,0.025,187
1 wk ahead,2,2022,HE,quantile,0.25,259
1 wk ahead,2,2022,HE,quantile,0.5,272
1 wk ahead,2,2022,HE,quantile,0.75,292
1 wk ahead,2,2022,HE,quantile,0.975,366
2 wk ahead,3,2022,HE,point,NA,337
2 wk ahead,3,2022,HE,quantile,0.025,204
2 wk ahead,3,2022,HE,quantile,0.25,254
2 wk ahead,3,2022,HE,quantile,0.5,337
2 wk ahead,3,2022,HE,quantile,0.75,441
2 wk ahead,3,2022,HE,quantile,0.975,591
,,,,,,
1 wk ahead,2,2022,MV,point,NA,32
