target,target_week,target_year,location,type,quantile,value
1 wk ahead,5,2022,BW,point,NA,35434
1 wk ahead,5,2022,BW,quantile,0.025,32227
1 wk ahead,5,2022,BW,quantile,0.25,34408
1 wk ahead,5,2022,BW,quantile,0.5,35434
1 wk ahead,5,2022,BW,quantile,0.75,36509
1 wk ahead,5,2022,BW,quantile,0.975,38773
2 wk ahead,6,2022,BW,point,NA,44530
2 wk ahead,6,2022,BW,quantile,0.025,38427
2 wk ahead,6,2022,BW,quantile,0.25,42169
2 wk ahead,6,2022,BW,quantile,0.5,44530
2 wk ahead,6,2022,BW,quantile,0.75,47037
2 wk ahead,6,2022,BW,quantile,0.975,50824
,,,,,,
1 wk ahead,5,2022,BY,point,NA,54358
1 wk ahead,5,2022,BY,quantile,0.025,51829
1 wk ahead,5,2022,BY,quantile,0.25,53272
1 wk ahead,5,2022,BY,quantile,0.5,54358
1 wk ahead,5,2022,BY,quantile,0.75,56069
1 wk ahead,5,2022,BY,quantile,0.975,61115
2 wk ahead,6,2022,BY,point,NA,63248
2 wk ahead,6,2022,BY,quantile,0.025,52756
2 wk ahead,6,2022,BY,quantile,0.25,60915
2 wk ahead,6,2022,BY,quantile,0.5,63248
2 wk ahead,6,2022,BY,quantile,0.75,66309
2 wk ahead,6,2022,BY,quantile,0.975,76932
,,,,,,
1 wk ahead,5,2022,BE,point,NA,-
1 wk ahead,5,2022,BE,quantile,0.025,-
1 wk ahead,5,2022,BE,quantile,0.25,-
1 wk ahead,5,2022,BE,quantile,0.5,-
1 wk ahead,5,2022,BE,quantile,0.75,-
1 wk ahead,5,2022,BE,quantile,0.975,-
2 wk ahead,6,2022,BE,point,NA,10118
2 wk ahead,6,2022,BE,quantile,0.025,5428
2 wk ahead,6,2022,BE,quantile,0.25,7966
2 wk ahead,6,2022,BE,quantile,0.5,10118
2 wk ahead,6,2022,BE,quantile,0.75,12417
2 wk ahead,6,2022,BE,quantile,0.975,16308
,,,,,,
1 wk ahead,5,2022,BB,point,NA,-
1 wk ahead,5,2022,BB,quantile,0.025,-
1 wk ahead,5,2022,BB,quantile,0.25,-
1 wk ahead,5,2022,BB,quantile,0.5,-
1 wk ahead,5,2022,BB,quantile,0.75,-
1 wk ahead,5,2022,BB,quantile,0.975,-
2 wk ahead,6,2022,BB,point,NA,10358
2 wk ahead,6,2022,BB,quantile,0.025,8207
2 wk ahead,6,2022,BB,quantile,0.25,9311
2 wk ahead,6,2022,BB,quantile,0.5,10358
2 wk ahead,6,2022,BB,quantile,0.75,12060
2 wk ahead,6,2022,BB,quantile,0.975,13428
,,,,,,
1 wk ahead,5,2022,HB,point,NA,1078
1 wk ahead,5,2022,HB,quantile,0.025,832
1 wk ahead,5,2022,HB,quantile,0.25,969
1 wk ahead,5,2022,HB,quantile,0.5,1078
1 wk ahead,5,2022,HB,quantile,0.75,1204
1 wk ahead,5,2022,HB,quantile,0.975,1353
2 wk ahead,6,2022,HB,point,NA,962
2 wk ahead,6,2022,HB,quantile,0.025,184
2 wk ahead,6,2022,HB,quantile,0.25,740
2 wk ahead,6,2022,HB,quantile,0.5,962
