target,target_week,location,type,quantile,value
1 wk ahead,26,BW,point,NA,4
1 wk ahead,26,BW,quantile,0.025,0
1 wk ahead,26,BW,quantile,0.25,0
1 wk ahead,26,BW,quantile,0.5,4
1 wk ahead,26,BW,quantile,0.75,6
1 wk ahead,26,BW,quantile,0.975,18
2 wk ahead,27,BW,point,NA,2
2 wk ahead,27,BW,quantile,0.025,0
2 wk ahead,27,BW,quantile,0.25,0
2 wk ahead,27,BW,quantile,0.5,2
2 wk ahead,27,BW,quantile,0.75,6
2 wk ahead,27,BW,quantile,0.975,42

1 wk ahead,26,BY,point,NA,69
1 wk ahead,26,BY,quantile,0.025,1
1 wk ahead,26,BY,quantile,0.25,36
1 wk ahead,26,BY,quantile,0.5,69
1 wk ahead,26,BY,quantile,0.75,79
1 wk ahead,26,BY,quantile,0.975,162
2 wk ahead,27,BY,point,NA,60
2 wk ahead,27,BY,quantile,0.025,0
2 wk ahead,27,BY,quantile,0.25,8
2 wk ahead,27,BY,quantile,0.5,59
2 wk ahead,27,BY,quantile,0.75,88
2 wk ahead,27,BY,quantile,0.975,197

1 wk ahead,26,BE,point,NA,-
1 wk ahead,26,BE,quantile,0.025,-
1 wk ahead,26,BE,quantile,0.25,-
1 wk ahead,26,BE,quantile,0.5,-
1 wk ahead,26,BE,quantile,0.75,-
1 wk ahead,26,BE,quantile,0.975,-
2 wk ahead,27,BE,point,NA,-
2 wk ahead,27,BE,quantile,0.025,-
2 wk ahead,27,BE,quantile,0.25,-
2 wk ahead,27,BE,quantile,0.5,-
2 wk ahead,27,BE,quantile,0.75,-
2 wk ahead,27,BE,quantile,0.975,-

1 wk ahead,26,BB,point,NA,-
1 wk ahead,26,BB,quantile,0.025,-
1 wk ahead,26,BB,quantile,0.25,-
1 wk ahead,26,BB,quantile,0.5,-
1 wk ahead,26,BB,quantile,0.75,-
1 wk ahead,26,BB,quantile,0.975,-
2 wk ahead,27,BB,point,NA,-
2 wk ahead,27,BB,quantile,0.025,-
2 wk ahead,27,BB,quantile,0.25,-
2 wk ahead,27,BB,quantile,0.5,-
2 wk ahead,27,BB,quantile,0.75,-
2 wk ahead,27,BB,quantile,0.975,-

1 wk ahead,26,HB,point,NA,0
1 wk ahead,26,HB,quantile,0.025,0
1 wk ahead,26,HB,quantile,0.25,0
1 wk ahead,26,HB,quantile,0.5,0
1 wk ahead,26,HB,quantile,0.75,1
1 wk ahead,26,HB,quantile,0.975,2
2 wk ahead,27,HB,point,NA,0
2 wk ahead,27,HB,quantile,0.025,0
2 wk ahead,27,HB,quantile,0.25,0
2 wk ahead,27,HB,quantile,0.5,0
2 wk ahead,27,HB,quantile,0.75,2
2 wk ahead,27,HB,quantile,0.975,7

1 wk ahead,26,HH,point,NA,-
1 wk ahead,26,HH,quantile,0.025,-
1 wk ahead,26,HH,quantile,0.25,-
1 wk ahead,26,HH,quantile,0.5,-
1 wk ahead,26,HH,quantile,0.75,-
1 wk ahead,26,HH,quantile,0.975,-
2 wk ahead,27,HH,point,NA,-
2 wk ahead,27,HH,quantile,0.025,-
2 wk ahead,27,HH,quantile,0.25,-
2 wk ahead,27,HH,quantile,0.5,-
2 wk ahead,27,HH,quantile,0.75,-
2 wk ahead,27,HH,quantile,0.975,-

1 wk ahead,26,HE,point,NA,7
1 wk ahead,26,HE,quantile,0.025,0
1 wk ahead,26,HE,quantile,0.25,2
1 wk ahead,26,HE,quantile,0.5,7
1 wk ahead,26,HE,quantile,0.75,10
1 wk ahead,26,HE,quantile,0.975,41
2 wk ahead,27,HE,point,NA,6
2 wk ahead,27,HE,quantile,0.025,0
2 wk ahead,27,HE,quantile,0.25,1
2 wk ahead,27,HE,quantile,0.5,6
2 wk ahead,27,HE,quantile,0.75,12
2 wk ahead,27,HE,quantile,0.975,45

1 wk ahead,26,MV,point,NA,-
1 wk ahead,26,MV,quantile,0.025,-
1 wk ahead,26,MV,quantile,0.25,-
1 wk ahead,26,MV,quantile,0.5,-
1 wk ahead,26,MV,quantile,0.75,-
1 wk ahead,26,MV,quantile,0.975,-
2 wk ahead,27,MV,point,NA,-
2 wk ahead,27,MV,quantile,0.025,-
2 wk ahead,27,MV,quantile,0.25,-
2 wk ahead,27,MV,quantile,0.5,-
2 wk ahead,27,MV,quantile,0.75,-
2 wk ahead,27,MV,quantile,0.975,-

1 wk ahead,26,NI,point,NA,3
1 wk ahead,26,NI,quantile,0.025,0
1 wk ahead,26,NI,quantile,0.25,1
1 wk ahead,26,NI,quantile,0.5,3
1 wk ahead,26,NI,quantile,0.75,7
1 wk ahead,26,NI,quantile,0.975,14
2 wk ahead,27,NI,point,NA,2
2 wk ahead,27,NI,quantile,0.025,0
2 wk ahead,27,NI,quantile,0.25,0
2 wk ahead,27,NI,quantile,0.5,2
2 wk ahead,27,NI,quantile,0.75,10
2 wk ahead,27,NI,quantile,0.975,23

1 wk ahead,26,NW,point,NA,14
1 wk ahead,26,NW,quantile,0.025,0
1 wk ahead,26,NW,quantile,0.25,5
1 wk ahead,26,NW,quantile,0.5,14
1 wk ahead,26,NW,quantile,0.75,19
1 wk ahead,26,NW,quantile,0.975,51
2 wk ahead,27,NW,point,NA,-
2 wk ahead,27,NW,quantile,0.025,-
2 wk ahead,27,NW,quantile,0.25,-
2 wk ahead,27,NW,quantile,0.5,-
2 wk ahead,27,NW,quantile,0.75,-
2 wk ahead,27,NW,quantile,0.975,-

1 wk ahead,26,RP,point,NA,5
1 wk ahead,26,RP,quantile,0.025,0
1 wk ahead,26,RP,quantile,0.25,0
1 wk ahead,26,RP,quantile,0.5,5
1 wk ahead,26,RP,quantile,0.75,8
1 wk ahead,26,RP,quantile,0.975,19
2 wk ahead,27,RP,point,NA,3
2 wk ahead,27,RP,quantile,0.025,0
2 wk ahead,27,RP,quantile,0.25,0
2 wk ahead,27,RP,quantile,0.5,3
2 wk ahead,27,RP,quantile,0.75,8
2 wk ahead,27,RP,quantile,0.975,25

1 wk ahead,26,SL,point,NA,2
1 wk ahead,26,SL,quantile,0.025,0
1 wk ahead,26,SL,quantile,0.25,0
1 wk ahead,26,SL,quantile,0.5,2
1 wk ahead,26,SL,quantile,0.75,4
1 wk ahead,26,SL,quantile,0.975,5
2 wk ahead,27,SL,point,NA,1
2 wk ahead,27,SL,quantile,0.025,0
2 wk ahead,27,SL,quantile,0.25,0
2 wk ahead,27,SL,quantile,0.5,1
2 wk ahead,27,SL,quantile,0.75,3
2 wk ahead,27,SL,quantile,0.975,8

1 wk ahead,26,SN,point,NA,0
1 wk ahead,26,SN,quantile,0.025,0
1 wk ahead,26,SN,quantile,0.25,0
1 wk ahead,26,SN,quantile,0.5,0
1 wk ahead,26,SN,quantile,0.75,4
1 wk ahead,26,SN,quantile,0.975,15
2 wk ahead,27,SN,point,NA,0
2 wk ahead,27,SN,quantile,0.025,0
2 wk ahead,27,SN,quantile,0.25,0
2 wk ahead,27,SN,quantile,0.5,0
2 wk ahead,27,SN,quantile,0.75,7
2 wk ahead,27,SN,quantile,0.975,25

1 wk ahead,26,ST,point,NA,0
1 wk ahead,26,ST,quantile,0.025,0
1 wk ahead,26,ST,quantile,0.25,0
1 wk ahead,26,ST,quantile,0.5,0
1 wk ahead,26,ST,quantile,0.75,1
1 wk ahead,26,ST,quantile,0.975,8
2 wk ahead,27,ST,point,NA,0
2 wk ahead,27,ST,quantile,0.025,0
2 wk ahead,27,ST,quantile,0.25,0
2 wk ahead,27,ST,quantile,0.5,0
2 wk ahead,27,ST,quantile,0.75,5
2 wk ahead,27,ST,quantile,0.975,19

1 wk ahead,26,SH,point,NA,-
1 wk ahead,26,SH,quantile,0.025,-
1 wk ahead,26,SH,quantile,0.25,-
1 wk ahead,26,SH,quantile,0.5,-
1 wk ahead,26,SH,quantile,0.75,-
1 wk ahead,26,SH,quantile,0.975,-
2 wk ahead,27,SH,point,NA,-
2 wk ahead,27,SH,quantile,0.025,-
