target,target_week,target_year,location,type,quantile,value
1 wk ahead,49,2021,BW,point,NA,10450
1 wk ahead,49,2021,BW,quantile,0.025,9346
1 wk ahead,49,2021,BW,quantile,0.25,10320
1 wk ahead,49,2021,BW,quantile,0.5,10450
1 wk ahead,49,2021,BW,quantile,0.75,10722
1 wk ahead,49,2021,BW,quantile,0.975,11877
2 wk ahead,50,2021,BW,point,NA,9164
2 wk ahead,50,2021,BW,quantile,0.025,6808
2 wk ahead,50,2021,BW,quantile,0.25,8524
2 wk ahead,50,2021,BW,quantile,0.5,9164
2 wk ahead,50,2021,BW,quantile,0.75,9992
2 wk ahead,50,2021,BW,quantile,0.975,12216
,,,,,,
1 wk ahead,49,2021,BY,point,NA,21506
1 wk ahead,49,2021,BY,quantile,0.025,20335
1 wk ahead,49,2021,BY,quantile,0.25,21049
1 wk ahead,49,2021,BY,quantile,0.5,21506
1 wk ahead,49,2021,BY,quantile,0.75,22010
1 wk ahead,49,2021,BY,quantile,0.975,22689
2 wk ahead,50,2021,BY,point,NA,18365
2 wk ahead,50,2021,BY,quantile,0.025,15507
2 wk ahead,50,2021,BY,quantile,0.25,17693
2 wk ahead,50,2021,BY,quantile,0.5,18365
2 wk ahead,50,2021,BY,quantile,0.75,19456
2 wk ahead,50,2021,BY,quantile,0.975,21840
,,,,,,
1 wk ahead,49,2021,BE,point,NA,4362
1 wk ahead,49,2021,BE,quantile,0.025,3500
1 wk ahead,49,2021,BE,quantile,0.25,4296
1 wk ahead,49,2021,BE,quantile,0.5,4362
1 wk ahead,49,2021,BE,quantile,0.75,4449
1 wk ahead,49,2021,BE,quantile,0.975,5140
2 wk ahead,50,2021,BE,point,NA,3717
2 wk ahead,50,2021,BE,quantile,0.025,2521
2 wk ahead,50,2021,BE,quantile,0.25,3088
2 wk ahead,50,2021,BE,quantile,0.5,3717
2 wk ahead,50,2021,BE,quantile,0.75,4402
2 wk ahead,50,2021,BE,quantile,0.975,4983
,,,,,,
