target,target_week,target_year,location,type,quantile,value
1 wk ahead,8,2022,BW,point,NA,2198
1 wk ahead,8,2022,BW,quantile,0.025,1922
1 wk ahead,8,2022,BW,quantile,0.25,2051
1 wk ahead,8,2022,BW,quantile,0.5,2198
1 wk ahead,8,2022,BW,quantile,0.75,2308
1 wk ahead,8,2022,BW,quantile,0.975,2467
2 wk ahead,9,2022,BW,point,NA,2053
2 wk ahead,9,2022,BW,quantile,0.025,1465
2 wk ahead,9,2022,BW,quantile,0.25,1791
2 wk ahead,9,2022,BW,quantile,0.5,2053
2 wk ahead,9,2022,BW,quantile,0.75,2267
2 wk ahead,9,2022,BW,quantile,0.975,2802
,,,,,,
1 wk ahead,8,2022,BY,point,NA,4387
1 wk ahead,8,2022,BY,quantile,0.025,4001
1 wk ahead,8,2022,BY,quantile,0.25,4242
1 wk ahead,8,2022,BY,quantile,0.5,4387
1 wk ahead,8,2022,BY,quantile,0.75,4619
1 wk ahead,8,2022,BY,quantile,0.975,4982
2 wk ahead,9,2022,BY,point,NA,-
2 wk ahead,9,2022,BY,quantile,0.025,-
2 wk ahead,9,2022,BY,quantile,0.25,-
2 wk ahead,9,2022,BY,quantile,0.5,-
2 wk ahead,9,2022,BY,quantile,0.75,-
2 wk ahead,9,2022,BY,quantile,0.975,-
,,,,,,
1 wk ahead,8,2022,BE,point,NA,-
1 wk ahead,8,2022,BE,quantile,0.025,-
1 wk ahead,8,2022,BE,quantile,0.25,-
1 wk ahead,8,2022,BE,quantile,0.5,-
1 wk ahead,8,2022,BE,quantile,0.75,-
1 wk ahead,8,2022,BE,quantile,0.975,-
2 wk ahead,9,2022,BE,point,NA,-
2 wk ahead,9,2022,BE,quantile,0.025,-
2 wk ahead,9,2022,BE,quantile,0.25,-
2 wk ahead,9,2022,BE,quantile,0.5,-
2 wk ahead,9,2022,BE,quantile,0.75,-
2 wk ahead,9,2022,BE,quantile,0.975,-
,,,,,,
1 wk ahead,8,2022,BB,point,NA,900
1 wk ahead,8,2022,BB,quantile,0.025,819
1 wk ahead,8,2022,BB,quantile,0.25,842
1 wk ahead,8,2022,BB,quantile,0.5,900
1 wk ahead,8,2022,BB,quantile,0.75,961
1 wk ahead,8,2022,BB,quantile,0.975,1066
2 wk ahead,9,2022,BB,point,NA,824
2 wk ahead,9,2022,BB,quantile,0.025,490
2 wk ahead,9,2022,BB,quantile,0.25,699
2 wk ahead,9,2022,BB,quantile,0.5,824
2 wk ahead,9,2022,BB,quantile,0.75,944
2 wk ahead,9,2022,BB,quantile,0.975,1231
,,,,,,
1 wk ahead,8,2022,HB,point,NA,21
1 wk ahead,8,2022,HB,quantile,0.025,6
1 wk ahead,8,2022,HB,quantile,0.25,13
1 wk ahead,8,2022,HB,quantile,0.5,21
1 wk ahead,8,2022,HB,quantile,0.75,27
1 wk ahead,8,2022,HB,quantile,0.975,31
2 wk ahead,9,2022,HB,point,NA,16
2 wk ahead,9,2022,HB,quantile,0.025,0
2 wk ahead,9,2022,HB,quantile,0.25,5
2 wk ahead,9,2022,HB,quantile,0.5,16
2 wk ahead,9,2022,HB,quantile,0.75,29
2 wk ahead,9,2022,HB,quantile,0.975,43
,,,,,,
1 wk ahead,8,2022,HH,point,NA,106
1 wk ahead,8,2022,HH,quantile,0.025,63
1 wk ahead,8,2022,HH,quantile,0.25,89
1 wk ahead,8,2022,HH,quantile,0.5,106
1 wk ahead,8,2022,HH,quantile,0.75,118
1 wk ahead,8,2022,HH,quantile,0.975,144
2 wk ahead,9,2022,HH,point,NA,127
2 wk ahead,9,2022,HH,quantile,0.025,56
2 wk ahead,9,2022,HH,quantile,0.25,78
2 wk ahead,9,2022,HH,quantile,0.5,127
2 wk ahead,9,2022,HH,quantile,0.75,190
2 wk ahead,9,2022,HH,quantile,0.975,236
,,,,,,
1 wk ahead,8,2022,HE,point,NA,652
1 wk ahead,8,2022,HE,quantile,0.025,513
1 wk ahead,8,2022,HE,quantile,0.25,571
1 wk ahead,8,2022,HE,quantile,0.5,652
1 wk ahead,8,2022,HE,quantile,0.75,707
1 wk ahead,8,2022,HE,quantile,0.975,803
2 wk ahead,9,2022,HE,point,NA,597
2 wk ahead,9,2022,HE,quantile,0.025,348
