target,target_week,target_year,location,type,quantile,value
1 wk ahead,9,2022,BW,point,NA,1124
1 wk ahead,9,2022,BW,quantile,0.025,847
1 wk ahead,9,2022,BW,quantile,0.25,992
1 wk ahead,9,2022,BW,quantile,0.5,1124
1 wk ahead,9,2022,BW,quantile,0.75,1230
1 wk ahead,9,2022,BW,quantile,0.975,1508
2 wk ahead,10,2022,BW,point,NA,1879
2 wk ahead,10,2022,BW,quantile,0.025,1153
2 wk ahead,10,2022,BW,quantile,0.25,1631
2 wk ahead,10,2022,BW,quantile,0.5,1879
2 wk ahead,10,2022,BW,quantile,0.75,2099
2 wk ahead,10,2022,BW,quantile,0.975,2806
,,,,,,
1 wk ahead,9,2022,BY,point,NA,-
1 wk ahead,9,2022,BY,quantile,0.025,-
1 wk ahead,9,2022,BY,quantile,0.25,-
1 wk ahead,9,2022,BY,quantile,0.5,-
1 wk ahead,9,2022,BY,quantile,0.75,-
1 wk ahead,9,2022,BY,quantile,0.975,-
2 wk ahead,10,2022,BY,point,NA,3870
2 wk ahead,10,2022,BY,quantile,0.025,632
2 wk ahead,10,2022,BY,quantile,0.25,2732
2 wk ahead,10,2022,BY,quantile,0.5,3870
2 wk ahead,10,2022,BY,quantile,0.75,4969
2 wk ahead,10,2022,BY,quantile,0.975,7802
,,,,,,
1 wk ahead,9,2022,BE,point,NA,-
1 wk ahead,9,2022,BE,quantile,0.025,-
1 wk ahead,9,2022,BE,quantile,0.25,-
1 wk ahead,9,2022,BE,quantile,0.5,-
1 wk ahead,9,2022,BE,quantile,0.75,-
1 wk ahead,9,2022,BE,quantile,0.975,-
2 wk ahead,10,2022,BE,point,NA,-
2 wk ahead,10,2022,BE,quantile,0.025,-
2 wk ahead,10,2022,BE,quantile,0.25,-
2 wk ahead,10,2022,BE,quantile,0.5,-
2 wk ahead,10,2022,BE,quantile,0.75,-
2 wk ahead,10,2022,BE,quantile,0.975,-
,,,,,,
1 wk ahead,9,2022,BB,point,NA,888
1 wk ahead,9,2022,BB,quantile,0.025,765
1 wk ahead,9,2022,BB,quantile,0.25,826
1 wk ahead,9,2022,BB,quantile,0.5,888
1 wk ahead,9,2022,BB,quantile,0.75,945
1 wk ahead,9,2022,BB,quantile,0.975,1063
2 wk ahead,10,2022,BB,point,NA,830
2 wk ahead,10,2022,BB,quantile,0.025,345
2 wk ahead,10,2022,BB,quantile,0.25,703
2 wk ahead,10,2022,BB,quantile,0.5,830
2 wk ahead,10,2022,BB,quantile,0.75,973
2 wk ahead,10,2022,BB,quantile,0.975,1290
,,,,,,
1 wk ahead,9,2022,HB,point,NA,28
1 wk ahead,9,2022,HB,quantile,0.025,13
1 wk ahead,9,2022,HB,quantile,0.25,20
1 wk ahead,9,2022,HB,quantile,0.5,28
1 wk ahead,9,2022,HB,quantile,0.75,34
1 wk ahead,9,2022,HB,quantile,0.975,39
2 wk ahead,10,2022,HB,point,NA,27
2 wk ahead,10,2022,HB,quantile,0.025,0
2 wk ahead,10,2022,HB,quantile,0.25,11
2 wk ahead,10,2022,HB,quantile,0.5,27
2 wk ahead,10,2022,HB,quantile,0.75,37
2 wk ahead,10,2022,HB,quantile,0.975,64
,,,,,,
1 wk ahead,9,2022,HH,point,NA,-
1 wk ahead,9,2022,HH,quantile,0.025,-
1 wk ahead,9,2022,HH,quantile,0.25,-
1 wk ahead,9,2022,HH,quantile,0.5,-
1 wk ahead,9,2022,HH,quantile,0.75,-
1 wk ahead,9,2022,HH,quantile,0.975,-
2 wk ahead,10,2022,HH,point,NA,127
2 wk ahead,10,2022,HH,quantile,0.025,65
2 wk ahead,10,2022,HH,quantile,0.25,79
2 wk ahead,10,2022,HH,quantile,0.5,127
2 wk ahead,10,2022,HH,quantile,0.75,182
2 wk ahead,10,2022,HH,quantile,0.975,216
,,,,,,
1 wk ahead,9,2022,HE,point,NA,534
1 wk ahead,9,2022,HE,quantile,0.025,423
1 wk ahead,9,2022,HE,quantile,0.25,462
1 wk ahead,9,2022,HE,quantile,0.5,534
1 wk ahead,9,2022,HE,quantile,0.75,593
1 wk ahead,9,2022,HE,quantile,0.975,770
2 wk ahead,10,2022,HE,point,NA,437
2 wk ahead,10,2022,HE,quantile,0.025,197
2 wk ahead,10,2022,HE,quantile,0.25,317
2 wk ahead,10,2022,HE,quantile,0.5,437
2 wk ahead,10,2022,HE,quantile,0.75,543
2 wk ahead,10,2022,HE,quantile,0.975,828
,,,,,,
1 wk ahead,9,2022,MV,point,NA,134
1 wk ahead,9,2022,MV,quantile,0.025,103
1 wk ahead,9,2022,MV,quantile,0.25,120
1 wk ahead,9,2022,MV,quantile,0.5,134
1 wk ahead,9,2022,MV,quantile,0.75,147
1 wk ahead,9,2022,MV,quantile,0.975,166
2 wk ahead,10,2022,MV,point,NA,120
2 wk ahead,10,2022,MV,quantile,0.025,55
2 wk ahead,10,2022,MV,quantile,0.25,91
2 wk ahead,10,2022,MV,quantile,0.5,120
2 wk ahead,10,2022,MV,quantile,0.75,142
2 wk ahead,10,2022,MV,quantile,0.975,180
,,,,,,
1 wk ahead,9,2022,NI,point,NA,889
1 wk ahead,9,2022,NI,quantile,0.025,774
1 wk ahead,9,2022,NI,quantile,0.25,836
1 wk ahead,9,2022,NI,quantile,0.5,889
