target,target_week,target_year,location,type,quantile,value
1 wk ahead,5,2022,BW,point,NA,2552
1 wk ahead,5,2022,BW,quantile,0.025,2275
1 wk ahead,5,2022,BW,quantile,0.25,2454
1 wk ahead,5,2022,BW,quantile,0.5,2552
1 wk ahead,5,2022,BW,quantile,0.75,2613
1 wk ahead,5,2022,BW,quantile,0.975,2748
2 wk ahead,6,2022,BW,point,NA,2951
2 wk ahead,6,2022,BW,quantile,0.025,2466
2 wk ahead,6,2022,BW,quantile,0.25,2687
2 wk ahead,6,2022,BW,quantile,0.5,2951
2 wk ahead,6,2022,BW,quantile,0.75,3167
2 wk ahead,6,2022,BW,quantile,0.975,3415
,,,,,,
1 wk ahead,5,2022,BY,point,NA,3491
1 wk ahead,5,2022,BY,quantile,0.025,3095
1 wk ahead,5,2022,BY,quantile,0.25,3348
1 wk ahead,5,2022,BY,quantile,0.5,3491
1 wk ahead,5,2022,BY,quantile,0.75,3711
1 wk ahead,5,2022,BY,quantile,0.975,4080
2 wk ahead,6,2022,BY,point,NA,4604
2 wk ahead,6,2022,BY,quantile,0.025,3810
2 wk ahead,6,2022,BY,quantile,0.25,4232
2 wk ahead,6,2022,BY,quantile,0.5,4604
2 wk ahead,6,2022,BY,quantile,0.75,5087
2 wk ahead,6,2022,BY,quantile,0.975,6018
,,,,,,
1 wk ahead,5,2022,BE,point,NA,-
1 wk ahead,5,2022,BE,quantile,0.025,-
1 wk ahead,5,2022,BE,quantile,0.25,-
1 wk ahead,5,2022,BE,quantile,0.5,-
1 wk ahead,5,2022,BE,quantile,0.75,-
1 wk ahead,5,2022,BE,quantile,0.975,-
2 wk ahead,6,2022,BE,point,NA,1053
2 wk ahead,6,2022,BE,quantile,0.025,550
2 wk ahead,6,2022,BE,quantile,0.25,823
2 wk ahead,6,2022,BE,quantile,0.5,1053
2 wk ahead,6,2022,BE,quantile,0.75,1284
2 wk ahead,6,2022,BE,quantile,0.975,1788
,,,,,,
1 wk ahead,5,2022,BB,point,NA,-
1 wk ahead,5,2022,BB,quantile,0.025,-
1 wk ahead,5,2022,BB,quantile,0.25,-
1 wk ahead,5,2022,BB,quantile,0.5,-
1 wk ahead,5,2022,BB,quantile,0.75,-
1 wk ahead,5,2022,BB,quantile,0.975,-
2 wk ahead,6,2022,BB,point,NA,689
2 wk ahead,6,2022,BB,quantile,0.025,446
2 wk ahead,6,2022,BB,quantile,0.25,574
2 wk ahead,6,2022,BB,quantile,0.5,689
2 wk ahead,6,2022,BB,quantile,0.75,812
2 wk ahead,6,2022,BB,quantile,0.975,1101
,,,,,,
1 wk ahead,5,2022,HB,point,NA,39
1 wk ahead,5,2022,HB,quantile,0.025,24
1 wk ahead,5,2022,HB,quantile,0.25,31
1 wk ahead,5,2022,HB,quantile,0.5,39
1 wk ahead,5,2022,HB,quantile,0.75,44
