target,target_week,location,type,quantile,value
1 wk ahead,28,BW,point,NA,2
1 wk ahead,28,BW,quantile,0.025,0
1 wk ahead,28,BW,quantile,0.25,0
1 wk ahead,28,BW,quantile,0.5,2
1 wk ahead,28,BW,quantile,0.75,4
1 wk ahead,28,BW,quantile,0.975,11
2 wk ahead,29,BW,point,NA,1
2 wk ahead,29,BW,quantile,0.025,0
2 wk ahead,29,BW,quantile,0.25,0
2 wk ahead,29,BW,quantile,0.5,1
2 wk ahead,29,BW,quantile,0.75,6
2 wk ahead,29,BW,quantile,0.975,17
1 wk ahead,28,BY,point,NA,44
1 wk ahead,28,BY,quantile,0.025,0
1 wk ahead,28,BY,quantile,0.25,29
1 wk ahead,28,BY,quantile,0.5,44
1 wk ahead,28,BY,quantile,0.75,58
1 wk ahead,28,BY,quantile,0.975,93
2 wk ahead,29,BY,point,NA,32
2 wk ahead,29,BY,quantile,0.025,0
2 wk ahead,29,BY,quantile,0.25,14
2 wk ahead,29,BY,quantile,0.5,32
2 wk ahead,29,BY,quantile,0.75,69
2 wk ahead,29,BY,quantile,0.975,112
1 wk ahead,28,BE,point,NA,-
1 wk ahead,28,BE,quantile,0.025,-
1 wk ahead,28,BE,quantile,0.25,-
1 wk ahead,28,BE,quantile,0.5,-
1 wk ahead,28,BE,quantile,0.75,-
1 wk ahead,28,BE,quantile,0.975,-
2 wk ahead,29,BE,point,NA,-
2 wk ahead,29,BE,quantile,0.025,-
2 wk ahead,29,BE,quantile,0.25,-
2 wk ahead,29,BE,quantile,0.5,-
2 wk ahead,29,BE,quantile,0.75,-
2 wk ahead,29,BE,quantile,0.975,-
1 wk ahead,28,BB,point,NA,-
1 wk ahead,28,BB,quantile,0.025,-
1 wk ahead,28,BB,quantile,0.25,-
1 wk ahead,28,BB,quantile,0.5,-
1 wk ahead,28,BB,quantile,0.75,-
1 wk ahead,28,BB,quantile,0.975,-
2 wk ahead,29,BB,point,NA,-
2 wk ahead,29,BB,quantile,0.025,-
2 wk ahead,29,BB,quantile,0.25,-
2 wk ahead,29,BB,quantile,0.5,-
2 wk ahead,29,BB,quantile,0.75,-
2 wk ahead,29,BB,quantile,0.975,-
1 wk ahead,28,HB,point,NA,0
1 wk ahead,28,HB,quantile,0.025,0
1 wk ahead,28,HB,quantile,0.25,0
1 wk ahead,28,HB,quantile,0.5,0
1 wk ahead,28,HB,quantile,0.75,2
1 wk ahead,28,HB,quantile,0.975,7
2 wk ahead,29,HB,point,NA,-
2 wk ahead,29,HB,quantile,0.025,-
2 wk ahead,29,HB,quantile,0.25,-
2 wk ahead,29,HB,quantile,0.5,-
2 wk ahead,29,HB,quantile,0.75,-
2 wk ahead,29,HB,quantile,0.975,-
1 wk ahead,28,HH,point,NA,-
1 wk ahead,28,HH,quantile,0.025,-
1 wk ahead,28,HH,quantile,0.25,-
1 wk ahead,28,HH,quantile,0.5,-
1 wk ahead,28,HH,quantile,0.75,-
1 wk ahead,28,HH,quantile,0.975,-
2 wk ahead,29,HH,point,NA,-
2 wk ahead,29,HH,quantile,0.025,-
2 wk ahead,29,HH,quantile,0.25,-
2 wk ahead,29,HH,quantile,0.5,-
2 wk ahead,29,HH,quantile,0.75,-
2 wk ahead,29,HH,quantile,0.975,-
1 wk ahead,28,HE,point,NA,4
1 wk ahead,28,HE,quantile,0.025,0
1 wk ahead,28,HE,quantile,0.25,0
1 wk ahead,28,HE,quantile,0.5,4
1 wk ahead,28,HE,quantile,0.75,6
1 wk ahead,28,HE,quantile,0.975,13
2 wk ahead,29,HE,point,NA,-
2 wk ahead,29,HE,quantile,0.025,-
2 wk ahead,29,HE,quantile,0.25,-
2 wk ahead,29,HE,quantile,0.5,-
2 wk ahead,29,HE,quantile,0.75,-
2 wk ahead,29,HE,quantile,0.975,-
1 wk ahead,28,MV,point,NA,-
1 wk ahead,28,MV,quantile,0.025,-
1 wk ahead,28,MV,quantile,0.25,-
1 wk ahead,28,MV,quantile,0.5,-
1 wk ahead,28,MV,quantile,0.75,-
1 wk ahead,28,MV,quantile,0.975,-
2 wk ahead,29,MV,point,NA,-
2 wk ahead,29,MV,quantile,0.025,-
2 wk ahead,29,MV,quantile,0.25,-
2 wk ahead,29,MV,quantile,0.5,-
2 wk ahead,29,MV,quantile,0.75,-
2 wk ahead,29,MV,quantile,0.975,-
1 wk ahead,28,NI,point,NA,0
1 wk ahead,28,NI,quantile,0.025,0
1 wk ahead,28,NI,quantile,0.25,0
1 wk ahead,28,NI,quantile,0.5,0
1 wk ahead,28,NI,quantile,0.75,4
1 wk ahead,28,NI,quantile,0.975,12
2 wk ahead,29,NI,point,NA,-
2 wk ahead,29,NI,quantile,0.025,-
2 wk ahead,29,NI,quantile,0.25,-
2 wk ahead,29,NI,quantile,0.5,-
2 wk ahead,29,NI,quantile,0.75,-
2 wk ahead,29,NI,quantile,0.975,-
1 wk ahead,28,NW,point,NA,-
1 wk ahead,28,NW,quantile,0.025,-
1 wk ahead,28,NW,quantile,0.25,-
1 wk ahead,28,NW,quantile,0.5,-
1 wk ahead,28,NW,quantile,0.75,-
1 wk ahead,28,NW,quantile,0.975,-
2 wk ahead,29,NW,point,NA,-
2 wk ahead,29,NW,quantile,0.025,-
2 wk ahead,29,NW,quantile,0.25,-
2 wk ahead,29,NW,quantile,0.5,-
2 wk ahead,29,NW,quantile,0.75,-
2 wk ahead,29,NW,quantile,0.975,-
1 wk ahead,28,RP,point,NA,0
1 wk ahead,28,RP,quantile,0.025,0
1 wk ahead,28,RP,quantile,0.25,0
1 wk ahead,28,RP,quantile,0.5,0
1 wk ahead,28,RP,quantile,0.75,4
1 wk ahead,28,RP,quantile,0.975,14
2 wk ahead,29,RP,point,NA,-
2 wk ahead,29,RP,quantile,0.025,-
2 wk ahead,29,RP,quantile,0.25,-
2 wk ahead,29,RP,quantile,0.5,-
2 wk ahead,29,RP,quantile,0.75,-
2 wk ahead,29,RP,quantile,0.975,-
1 wk ahead,28,SL,point,NA,2
1 wk ahead,28,SL,quantile,0.025,0
1 wk ahead,28,SL,quantile,0.25,1
1 wk ahead,28,SL,quantile,0.5,2
1 wk ahead,28,SL,quantile,0.75,5
1 wk ahead,28,SL,quantile,0.975,15
2 wk ahead,29,SL,point,NA,-
2 wk ahead,29,SL,quantile,0.025,-
2 wk ahead,29,SL,quantile,0.25,-
2 wk ahead,29,SL,quantile,0.5,-
2 wk ahead,29,SL,quantile,0.75,-
2 wk ahead,29,SL,quantile,0.975,-
1 wk ahead,28,SN,point,NA,1
1 wk ahead,28,SN,quantile,0.025,0
1 wk ahead,28,SN,quantile,0.25,0
1 wk ahead,28,SN,quantile,0.5,1
1 wk ahead,28,SN,quantile,0.75,4
1 wk ahead,28,SN,quantile,0.975,13
2 wk ahead,29,SN,point,NA,0
2 wk ahead,29,SN,quantile,0.025,0
2 wk ahead,29,SN,quantile,0.25,0
2 wk ahead,29,SN,quantile,0.5,0
2 wk ahead,29,SN,quantile,0.75,7
2 wk ahead,29,SN,quantile,0.975,19
1 wk ahead,28,ST,point,NA,0
1 wk ahead,28,ST,quantile,0.025,0
1 wk ahead,28,ST,quantile,0.25,0
1 wk ahead,28,ST,quantile,0.5,0
1 wk ahead,28,ST,quantile,0.75,4
1 wk ahead,28,ST,quantile,0.975,19
2 wk ahead,29,ST,point,NA,-
2 wk ahead,29,ST,quantile,0.025,-
2 wk ahead,29,ST,quantile,0.25,-
2 wk ahead,29,ST,quantile,0.5,-
2 wk ahead,29,ST,quantile,0.75,-
2 wk ahead,29,ST,quantile,0.975,-
1 wk ahead,28,SH,point,NA,-
1 wk ahead,28,SH,quantile,0.025,-
1 wk ahead,28,SH,quantile,0.25,-
1 wk ahead,28,SH,quantile,0.5,-
1 wk ahead,28,SH,quantile,0.75,-
1 wk ahead,28,SH,quantile,0.975,-
2 wk ahead,29,SH,point,NA,-
2 wk ahead,29,SH,quantile,0.025,-
2 wk ahead,29,SH,quantile,0.25,-
2 wk ahead,29,SH,quantile,0.5,-
2 wk ahead,29,SH,quantile,0.75,-
2 wk ahead,29,SH,quantile,0.975,-
1 wk ahead,28,TH,point,NA,2
1 wk ahead,28,TH,quantile,0.025,0
1 wk ahead,28,TH,quantile,0.25,0
1 wk ahead,28,TH,quantile,0.5,2
1 wk ahead,28,TH,quantile,0.75,7
1 wk ahead,28,TH,quantile,0.975,18
2 wk ahead,29,TH,point,NA,1
2 wk ahead,29,TH,quantile,0.025,0
2 wk ahead,29,TH,quantile,0.25,0
2 wk ahead,29,TH,quantile,0.5,1
2 wk ahead,29,TH,quantile,0.75,8
2 wk ahead,29,TH,quantile,0.975,23
