week,year,student,teacher,location
22,2021,59,0,HH
22,2021,475,13,HE
22,2021,31,2,MV
22,2021,241,7,NI
22,2021,1639,66,NW
22,2021,-,-,RP
22,2021,72,0,SL
22,2021,271,21,SN
22,2021,87,8,ST
22,2021,14,1,SH
22,2021,67,16,TH
23,2021,137,8,BW
23,2021,1116,121,BY
23,2021,293,20,BE
23,2021,98,9,BB
23,2021,30,1,HB
23,2021,41,2,HH
23,2021,345,7,HE
23,2021,12,1,MV
23,2021,210,2,NI
23,2021,1254,47,NW
23,2021,292,11,RP
23,2021,59,3,SL
23,2021,190,11,SN
23,2021,73,3,ST
23,2021,3,0,SH
23,2021,68,8,TH
24,2021,277,9,BW
24,2021,995,92,BY
24,2021,134,10,BE
24,2021,70,5,BB
24,2021,13,0,HB
24,2021,42,1,HH
24,2021,240,6,HE
24,2021,9,1,MV
24,2021,134,4,NI
24,2021,782,28,NW
24,2021,265,11,RP
24,2021,53,3,SL
24,2021,119,3,SN
24,2021,32,6,ST
24,2021,3,0,SH
24,2021,51,3,TH
25,2021,217,5,BW
25,2021,581,56,BY
25,2021,-,-,BE
25,2021,-,-,BB
25,2021,7,0,HB
25,2021,-,-,HH
25,2021,161,7,HE
25,2021,-,-,MV
25,2021,100,4,NI
25,2021,488,17,NW
25,2021,172,7,RP
25,2021,39,2,SL
25,2021,97,0,SN
25,2021,13,1,ST
25,2021,-,-,SH
25,2021,27,1,TH
26,2021,147,3,BW
26,2021,418,51,BY
26,2021,-,-,BE
26,2021,-,-,BB
26,2021,4,0,HB
26,2021,-,-,HH
26,2021,101,4,HE
26,2021,-,-,MV
26,2021,47,1,NI
26,2021,296,13,NW
26,2021,90,1,RP
26,2021,17,2,SL
26,2021,73,1,SN
26,2021,8,0,ST
26,2021,-,-,SH
26,2021,15,2,TH
27,2021,85,4,BW
27,2021,327,47,BY
27,2021,-,-,BE
27,2021,-,-,BB
27,2021,4,0,HB
27,2021,-,-,HH
27,2021,110,3,HE
27,2021,-,-,MV
27,2021,49,1,NI
27,2021,-,-,NW
27,2021,76,2,RP
27,2021,11,1,SL
27,2021,43,3,SN
27,2021,8,2,ST
27,2021,-,-,SH
27,2021,16,2,TH
28,2021,71,2,BW
28,2021,326,46,BY
28,2021,-,-,BE
28,2021,-,-,BB
28,2021,7,0,HB
28,2021,-,-,HH
28,2021,111,6,HE
28,2021,-,-,MV
28,2021,60,1,NI
28,2021,-,-,NW
28,2021,98,2,RP
28,2021,12,1,SL
28,2021,25,1,SN
28,2021,5,3,ST
28,2021,-,-,SH
28,2021,31,3,TH
29,2021,96,2,BW
29,2021,367,52,BY
29,2021,-,-,BE
29,2021,-,-,BB
29,2021,-,-,HB
29,2021,-,-,HH
29,2021,-,-,HE
29,2021,-,-,MV
29,2021,97,3,NI
29,2021,-,-,NW
29,2021,-,-,RP
29,2021,-,-,SL
29,2021,25,1,SN
29,2021,-,-,ST
29,2021,-,-,SH
29,2021,31,1,TH
30,2021,121,5,BW
30,2021,417,51,BY
30,2021,-,-,BE
30,2021,-,-,BB
30,2021,-,-,HB
30,2021,-,-,HH
30,2021,-,-,HE
30,2021,-,-,MV
30,2021,-,-,NI
30,2021,-,-,NW
30,2021,-,-,RP
30,2021,-,-,SL
30,2021,-,-,SN
30,2021,-,-,ST
30,2021,-,-,SH
30,2021,-,-,TH
31,2021,-,-,BW
31,2021,-,-,BY
31,2021,-,-,BE
31,2021,-,-,BB
31,2021,-,-,HB
31,2021,-,-,HH
31,2021,-,-,HE
31,2021,18,1,MV
31,2021,-,-,NI
31,2021,-,-,NW
31,2021,-,-,RP
31,2021,-,-,SL
31,2021,-,-,SN
31,2021,-,-,ST
31,2021,210,2,SH
31,2021,-,-,TH
32,2021,-,-,BW
32,2021,-,-,BY
32,2021,157,13,BE
32,2021,84,6,BB
32,2021,-,-,HB
32,2021,280,6,HH
32,2021,-,-,HE
32,2021,60,2,MV
32,2021,-,-,NI
32,2021,-,-,NW
32,2021,-,-,RP
32,2021,-,-,SL
32,2021,-,-,SN
32,2021,-,-,ST
32,2021,320,1,SH
32,2021,-,-,TH
33,2021,-,-,BW
33,2021,-,-,BY
33,2021,742,31,BE
33,2021,200,14,BB
33,2021,-,-,HB
33,2021,379,9,HH
33,2021,-,-,HE
33,2021,85,4,MV
33,2021,-,-,NI
33,2021,-,-,NW
33,2021,-,-,RP
33,2021,-,-,SL
33,2021,-,-,SN
33,2021,-,-,ST
33,2021,368,0,SH
33,2021,-,-,TH
34,2021,-,-,BW
34,2021,-,-,BY
34,2021,1036,43,BE
34,2021,268,12,BB
34,2021,-,-,HB
34,2021,437,10,HH
34,2021,-,-,HE
34,2021,85,2,MV
34,2021,-,-,NI
34,2021,6561,112,NW
34,2021,-,-,RP
34,2021,-,-,SL
34,2021,-,-,SN
34,2021,-,-,ST
34,2021,280,2,SH
34,2021,-,-,TH
35,2021,-,-,BW
35,2021,-,-,BY
35,2021,1057,57,BE
35,2021,318,25,BB
35,2021,-,-,HB
35,2021,451,11,HH
35,2021,144,2,HE
35,2021,84,5,MV
35,2021,-,-,NI
35,2021,9390,139,NW
35,2021,1266,34,RP
35,2021,59,3,SL
35,2021,-,-,SN
35,2021,-,-,ST
35,2021,272,0,SH
35,2021,-,-,TH
36,2021,-,-,BW
36,2021,-,-,BY
36,2021,1106,75,BE
36,2021,385,34,BB
36,2021,115,1,HB
36,2021,415,13,HH
36,2021,160,4,HE
