target,target_week,location,type,quantile,value
1 wk ahead,36,BW,point,NA,36
1 wk ahead,36,BW,quantile,0.025,5
1 wk ahead,36,BW,quantile,0.25,18
1 wk ahead,36,BW,quantile,0.5,36
1 wk ahead,36,BW,quantile,0.75,50
1 wk ahead,36,BW,quantile,0.975,68
2 wk ahead,37,BW,point,NA,55
2 wk ahead,37,BW,quantile,0.025,8
2 wk ahead,37,BW,quantile,0.25,36
2 wk ahead,37,BW,quantile,0.5,55
2 wk ahead,37,BW,quantile,0.75,80
2 wk ahead,37,BW,quantile,0.975,111
1 wk ahead,36,BY,point,NA,60
1 wk ahead,36,BY,quantile,0.025,0
1 wk ahead,36,BY,quantile,0.25,25
1 wk ahead,36,BY,quantile,0.5,60
1 wk ahead,36,BY,quantile,0.75,104
1 wk ahead,36,BY,quantile,0.975,158
2 wk ahead,37,BY,point,NA,99
2 wk ahead,37,BY,quantile,0.025,0
2 wk ahead,37,BY,quantile,0.25,18
2 wk ahead,37,BY,quantile,0.5,99
2 wk ahead,37,BY,quantile,0.75,188
2 wk ahead,37,BY,quantile,0.975,216
1 wk ahead,36,BE,point,NA,73
1 wk ahead,36,BE,quantile,0.025,37
1 wk ahead,36,BE,quantile,0.25,60
1 wk ahead,36,BE,quantile,0.5,73
1 wk ahead,36,BE,quantile,0.75,88
1 wk ahead,36,BE,quantile,0.975,108
2 wk ahead,37,BE,point,NA,87
2 wk ahead,37,BE,quantile,0.025,46
2 wk ahead,37,BE,quantile,0.25,70
2 wk ahead,37,BE,quantile,0.5,87
2 wk ahead,37,BE,quantile,0.75,108
2 wk ahead,37,BE,quantile,0.975,130
1 wk ahead,36,BB,point,NA,40
1 wk ahead,36,BB,quantile,0.025,17
1 wk ahead,36,BB,quantile,0.25,26
1 wk ahead,36,BB,quantile,0.5,40
1 wk ahead,36,BB,quantile,0.75,51
1 wk ahead,36,BB,quantile,0.975,60
2 wk ahead,37,BB,point,NA,51
2 wk ahead,37,BB,quantile,0.025,11
2 wk ahead,37,BB,quantile,0.25,27
2 wk ahead,37,BB,quantile,0.5,51
2 wk ahead,37,BB,quantile,0.75,71
2 wk ahead,37,BB,quantile,0.975,82
1 wk ahead,36,HB,point,NA,4
1 wk ahead,36,HB,quantile,0.025,0
1 wk ahead,36,HB,quantile,0.25,2
1 wk ahead,36,HB,quantile,0.5,4
1 wk ahead,36,HB,quantile,0.75,6
1 wk ahead,36,HB,quantile,0.975,9
2 wk ahead,37,HB,point,NA,3
2 wk ahead,37,HB,quantile,0.025,0
2 wk ahead,37,HB,quantile,0.25,0
2 wk ahead,37,HB,quantile,0.5,3
2 wk ahead,37,HB,quantile,0.75,7
2 wk ahead,37,HB,quantile,0.975,12
1 wk ahead,36,HH,point,NA,13
1 wk ahead,36,HH,quantile,0.025,3
1 wk ahead,36,HH,quantile,0.25,9
1 wk ahead,36,HH,quantile,0.5,13
1 wk ahead,36,HH,quantile,0.75,16
1 wk ahead,36,HH,quantile,0.975,22
2 wk ahead,37,HH,point,NA,14
2 wk ahead,37,HH,quantile,0.025,1
2 wk ahead,37,HH,quantile,0.25,7
2 wk ahead,37,HH,quantile,0.5,14
2 wk ahead,37,HH,quantile,0.75,20
2 wk ahead,37,HH,quantile,0.975,29
1 wk ahead,36,HE,point,NA,8
1 wk ahead,36,HE,quantile,0.025,0
1 wk ahead,36,HE,quantile,0.25,1
1 wk ahead,36,HE,quantile,0.5,8
1 wk ahead,36,HE,quantile,0.75,15
1 wk ahead,36,HE,quantile,0.975,26
2 wk ahead,37,HE,point,NA,13
2 wk ahead,37,HE,quantile,0.025,0
2 wk ahead,37,HE,quantile,0.25,5
2 wk ahead,37,HE,quantile,0.5,13
2 wk ahead,37,HE,quantile,0.75,26
2 wk ahead,37,HE,quantile,0.975,39
1 wk ahead,36,MV,point,NA,8
1 wk ahead,36,MV,quantile,0.025,0
1 wk ahead,36,MV,quantile,0.25,6
1 wk ahead,36,MV,quantile,0.5,8
1 wk ahead,36,MV,quantile,0.75,11
1 wk ahead,36,MV,quantile,0.975,17
2 wk ahead,37,MV,point,NA,9
2 wk ahead,37,MV,quantile,0.025,0
2 wk ahead,37,MV,quantile,0.25,5
2 wk ahead,37,MV,quantile,0.5,9
2 wk ahead,37,MV,quantile,0.75,15
2 wk ahead,37,MV,quantile,0.975,23
1 wk ahead,36,NI,point,NA,25
1 wk ahead,36,NI,quantile,0.025,6
1 wk ahead,36,NI,quantile,0.25,11
1 wk ahead,36,NI,quantile,0.5,25
1 wk ahead,36,NI,quantile,0.75,38
1 wk ahead,36,NI,quantile,0.975,51
2 wk ahead,37,NI,point,NA,33
2 wk ahead,37,NI,quantile,0.025,1
2 wk ahead,37,NI,quantile,0.25,12
2 wk ahead,37,NI,quantile,0.5,33
2 wk ahead,37,NI,quantile,0.75,55
2 wk ahead,37,NI,quantile,0.975,79
1 wk ahead,36,NW,point,NA,122
1 wk ahead,36,NW,quantile,0.025,46
1 wk ahead,36,NW,quantile,0.25,101
1 wk ahead,36,NW,quantile,0.5,122
1 wk ahead,36,NW,quantile,0.75,148
1 wk ahead,36,NW,quantile,0.975,169
2 wk ahead,37,NW,point,NA,136
2 wk ahead,37,NW,quantile,0.025,43
2 wk ahead,37,NW,quantile,0.25,86
2 wk ahead,37,NW,quantile,0.5,136
2 wk ahead,37,NW,quantile,0.75,167
2 wk ahead,37,NW,quantile,0.975,212
1 wk ahead,36,RP,point,NA,49
1 wk ahead,36,RP,quantile,0.025,26
1 wk ahead,36,RP,quantile,0.25,36
1 wk ahead,36,RP,quantile,0.5,49
1 wk ahead,36,RP,quantile,0.75,63
1 wk ahead,36,RP,quantile,0.975,73
2 wk ahead,37,RP,point,NA,55
2 wk ahead,37,RP,quantile,0.025,12
2 wk ahead,37,RP,quantile,0.25,29
2 wk ahead,37,RP,quantile,0.5,55
2 wk ahead,37,RP,quantile,0.75,77
2 wk ahead,37,RP,quantile,0.975,99
1 wk ahead,36,SL,point,NA,8
1 wk ahead,36,SL,quantile,0.025,1
1 wk ahead,36,SL,quantile,0.25,5
1 wk ahead,36,SL,quantile,0.5,8
1 wk ahead,36,SL,quantile,0.75,12
1 wk ahead,36,SL,quantile,0.975,16
2 wk ahead,37,SL,point,NA,10
2 wk ahead,37,SL,quantile,0.025,0
2 wk ahead,37,SL,quantile,0.25,3
2 wk ahead,37,SL,quantile,0.5,10
2 wk ahead,37,SL,quantile,0.75,16
2 wk ahead,37,SL,quantile,0.975,23
1 wk ahead,36,SN,point,NA,4
1 wk ahead,36,SN,quantile,0.025,0
1 wk ahead,36,SN,quantile,0.25,0
1 wk ahead,36,SN,quantile,0.5,4
1 wk ahead,36,SN,quantile,0.75,15
1 wk ahead,36,SN,quantile,0.975,24
2 wk ahead,37,SN,point,NA,17
2 wk ahead,37,SN,quantile,0.025,0
2 wk ahead,37,SN,quantile,0.25,5
2 wk ahead,37,SN,quantile,0.5,17
2 wk ahead,37,SN,quantile,0.75,38
2 wk ahead,37,SN,quantile,0.975,52
1 wk ahead,36,ST,point,NA,12
1 wk ahead,36,ST,quantile,0.025,0
1 wk ahead,36,ST,quantile,0.25,8
1 wk ahead,36,ST,quantile,0.5,12
1 wk ahead,36,ST,quantile,0.75,15
1 wk ahead,36,ST,quantile,0.975,30
2 wk ahead,37,ST,point,NA,21
2 wk ahead,37,ST,quantile,0.025,0
2 wk ahead,37,ST,quantile,0.25,7
2 wk ahead,37,ST,quantile,0.5,21
2 wk ahead,37,ST,quantile,0.75,32
2 wk ahead,37,ST,quantile,0.975,49
1 wk ahead,36,SH,point,NA,2
1 wk ahead,36,SH,quantile,0.025,0
1 wk ahead,36,SH,quantile,0.25,0
1 wk ahead,36,SH,quantile,0.5,2
1 wk ahead,36,SH,quantile,0.75,4
1 wk ahead,36,SH,quantile,0.975,7
2 wk ahead,37,SH,point,NA,2
2 wk ahead,37,SH,quantile,0.025,0
2 wk ahead,37,SH,quantile,0.25,0
2 wk ahead,37,SH,quantile,0.5,2
2 wk ahead,37,SH,quantile,0.75,7
2 wk ahead,37,SH,quantile,0.975,15
1 wk ahead,36,TH,point,NA,5
1 wk ahead,36,TH,quantile,0.025,0
1 wk ahead,36,TH,quantile,0.25,1
1 wk ahead,36,TH,quantile,0.5,5
1 wk ahead,36,TH,quantile,0.75,11
1 wk ahead,36,TH,quantile,0.975,26
2 wk ahead,37,TH,point,NA,6
2 wk ahead,37,TH,quantile,0.025,0
2 wk ahead,37,TH,quantile,0.25,0
2 wk ahead,37,TH,quantile,0.5,6
2 wk ahead,37,TH,quantile,0.75,17
2 wk ahead,37,TH,quantile,0.975,43
